Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-15.6967,Tx-I-Rx,1,-52.3054,"-7.30900 0.90000 -2.93800, -5.74485 3.00000 4.20059, -5.00000 2.00000 7.60000"
1,-60.3889,Tx-I-I-Rx,2,-52.3054,"-7.30900 0.90000 -2.93800, -8.00000 3.00000 -1.41024, -0.00000 2.38462 4.13451, -5.00000 2.00000 7.60000"
1,-59.3985,Tx-I-I-I-Rx,3,-52.3054,"-7.30900 0.90000 -2.93800, -7.04051 3.00000 -3.27764, -6.75501 0.76698 -3.63880, -6.46951 3.00000 -4.00000, -5.00000 2.00000 7.60000"
1,-73.6850,Tx-I-I-I-Rx,3,-52.3054,"-7.30900 0.90000 -2.93800, -5.75410 3.00000 -3.37528, -3.53277 0.00000 -4.00000, -0.00000 0.82804 0.80265, -5.00000 2.00000 7.60000"
1,-74.5058,Tx-I-I-I-Rx,3,-52.3054,"-7.30900 0.90000 -2.93800, -7.18457 3.00000 -3.09317, -7.05238 0.76698 -3.25882, -5.07042 1.95770 8.00000, -5.00000 2.00000 7.60000"
1,-75.7354,Tx-I-I-I-Rx,3,-52.3054,"-7.30900 0.90000 -2.93800, -7.59353 3.00000 -0.19270, -8.00000 0.00000 3.72918, -5.25692 1.82872 8.00000, -5.00000 2.00000 7.60000"
1,-71.7144,Tx-I-I-I-Rx,3,-52.3054,"-7.30900 0.90000 -2.93800, -8.00000 3.00000 -1.84100, -0.00000 2.57895 2.13415, -8.00000 2.15790 6.10930, -5.00000 2.00000 7.60000"
1,-44.9102,Tx-I-I-I-I-Rx,4,-52.3054,"-7.30900 0.90000 -2.93800, -6.93886 3.00000 -1.24871, -6.41008 0.00000 1.16459, -5.88130 3.00000 3.57786, -5.35252 0.00000 5.99114, -5.00000 2.00000 7.60000"
1,-84.0586,Tx-I-I-I-I-Rx,4,-52.3054,"-7.30900 0.90000 -2.93800, -7.20155 3.00000 -3.00902, -7.04804 0.00000 -3.11047, -6.89454 3.00000 -3.21193, -6.78039 0.76698 -3.28812, -5.00000 2.00000 7.60000"
1,-85.8926,Tx-I-I-I-I-Rx,4,-52.3054,"-7.30900 0.90000 -2.93800, -7.48815 3.00000 -1.34706, -7.74407 0.00000 0.92573, -8.00000 3.00000 3.19850, -6.20001 0.00000 5.83938, -5.00000 2.00000 7.60000"
