Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 9.95000 0.10000 7.95000"
2,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 9.85000 0.10000 7.95000"
3,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 9.75000 0.10000 7.95000"
4,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 9.65000 0.10000 7.95000"
5,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 9.55000 0.10000 7.95000"
6,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 9.45000 0.10000 7.95000"
7,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 9.35000 0.10000 7.95000"
8,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 9.25000 0.10000 7.95000"
9,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 9.15000 0.10000 7.95000"
10,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 9.05000 0.10000 7.95000"
11,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 8.95000 0.10000 7.95000"
12,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 8.85000 0.10000 7.95000"
13,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 8.75000 0.10000 7.95000"
14,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 8.65000 0.10000 7.95000"
15,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 8.55000 0.10000 7.95000"
16,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 8.45000 0.10000 7.95000"
17,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 8.35000 0.10000 7.95000"
18,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 8.25000 0.10000 7.95000"
19,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 8.15000 0.10000 7.95000"
20,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 8.05000 0.10000 7.95000"
21,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 7.95000 0.10000 7.95000"
22,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 7.85000 0.10000 7.95000"
23,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 7.75000 0.10000 7.95000"
24,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 7.65000 0.10000 7.95000"
25,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 7.55000 0.10000 7.95000"
26,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 7.45000 0.10000 7.95000"
27,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 7.35000 0.10000 7.95000"
28,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 7.25000 0.10000 7.95000"
29,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 7.15000 0.10000 7.95000"
30,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 7.05000 0.10000 7.95000"
31,0.0000,Tx-Rx,0,-270.0000,"-7.30900 0.90000 -2.93800, 6.95000 0.10000 7.95000"
