Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-58.3034,Tx-I-I-I-I-Rx,4,-63.0605,"7.30900 2.93800 0.90000, 7.49611 2.80174 0.91967, 3.82460 -0.25446 3.00000, 0.00000 -3.43802 0.83302, 1.47015 -4.66177 0.00000, 5.00000 -7.60000 2.00000"
1,-58.2894,Tx-I-I-I-I-Rx,4,-63.0605,"7.30900 2.93800 0.90000, 7.49624 2.80159 0.92030, 3.82547 -0.25391 3.00000, 0.00000 -3.43812 0.83274, 1.46980 -4.66155 0.00000, 5.00000 -7.60000 2.00000"
1,-16.5065,Tx-I-I-I-I-Rx,4,-63.0605,"7.30900 2.93800 0.90000, 5.86468 4.00000 0.98677, 0.00000 -0.31204 1.33912, 8.00000 -6.19414 1.81976, 5.54403 -8.00000 1.96732, 5.00000 -7.60000 2.00000"
1,-58.3152,Tx-I-I-I-I-Rx,4,-63.0605,"7.30900 2.93800 0.90000, 7.49607 2.80211 0.91948, 3.82432 -0.25441 3.00000, 0.00000 -3.43786 0.83311, 1.47026 -4.66175 0.00000, 5.00000 -7.60000 2.00000"
1,0.0000,Tx-I-I-I-Rx,3,-63.0605,"7.30900 2.93800 0.90000, 8.00000 0.16034 1.10592, 5.97014 -8.00000 1.71088, 5.43532 -5.85000 1.87027, 5.00000 -7.60000 2.00000"
1,-8.2579,Tx-I-I-I-I-Rx,4,-63.0605,"7.30900 2.93800 0.90000, 8.00000 0.01058 1.10592, 6.10932 -8.00000 1.66940, 5.60186 -5.85000 1.82063, 5.09441 -8.00000 1.97186, 5.00000 -7.60000 2.00000"
1,-17.3982,Tx-I-I-I-Rx,3,-63.0605,"7.30900 2.93800 0.90000, 6.57776 -8.00000 1.88176, 5.77551 4.00000 2.95884, 5.74488 3.54189 3.00000, 5.00000 -7.60000 2.00000"
1,-25.5919,Tx-I-I-I-I-Rx,4,-63.0605,"7.30900 2.93800 0.90000, 6.59431 -8.00000 1.85953, 5.81022 4.00000 2.91223, 5.74488 2.99999 3.00000, 5.02614 -8.00000 2.03509, 5.00000 -7.60000 2.00000"
1,-58.3153,Tx-I-I-I-I-Rx,4,-63.0605,"7.30900 2.93800 0.90000, 7.49603 2.80195 0.91925, 3.82400 -0.25475 3.00000, 0.00000 -3.43791 0.83322, 1.47039 -4.66189 0.00000, 5.00000 -7.60000 2.00000"
1,-23.3941,Tx-I-I-I-I-Rx,4,-63.0605,"7.30900 2.93800 0.90000, 3.46163 -7.61976 1.86897, 0.00000 1.87929 2.74078, 0.77279 4.00000 2.93541, 1.02915 3.29654 3.00000, 5.00000 -7.60000 2.00000"
