Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-I-Rx,2,-60.3813,"7.30900 2.93800 0.90000, 5.44344 -8.00000 1.78874, 5.18761 -6.50000 1.91062, 5.00000 -7.60000 2.00000"
1,-8.5005,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 5.54753 -8.00000 1.73916, 5.30597 -6.50000 1.85424, 5.06442 -8.00000 1.96931, 5.00000 -7.60000 2.00000"
1,-2.2430,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 8.00000 0.40370 1.10592, 5.70886 -8.00000 1.78874, 5.29991 -6.50000 1.91062, 5.00000 -7.60000 2.00000"
1,-19.3454,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 5.86468 4.00000 0.98677, 0.00000 -0.31204 1.33912, 8.00000 -6.19414 1.81976, 5.54403 -8.00000 1.96732, 5.00000 -7.60000 2.00000"
1,-10.4925,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 8.00000 0.25395 1.10592, 5.87524 -8.00000 1.73916, 5.48910 -6.50000 1.85424, 5.10297 -8.00000 1.96931, 5.00000 -7.60000 2.00000"
1,-9.2674,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 7.15244 4.00000 0.97459, 5.38331 -8.00000 1.81739, 5.16217 -6.50000 1.92274, 5.00000 -7.60000 2.00000"
1,-17.7257,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.16005 4.00000 0.97096, 5.47688 -8.00000 1.77281, 5.26649 -6.50000 1.87304, 5.05611 -8.00000 1.97327, 5.00000 -7.60000 2.00000"
1,-11.1099,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.55927 4.00000 0.97459, 8.00000 2.13009 1.10592, 5.61273 -8.00000 1.81739, 5.25923 -6.50000 1.92274, 5.00000 -7.60000 2.00000"
1,-9.7419,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 5.78185 -8.00000 1.62753, 5.57242 -6.50000 1.72730, 5.36300 -8.00000 1.82707, 5.15358 -6.50000 1.92683, 5.00000 -7.60000 2.00000"
1,-26.4971,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 0.00000 0.21724 1.70037, 8.00000 -2.76075 2.57642, 4.13218 -4.20056 3.00000, 0.00000 -5.73875 2.54753, 5.00000 -7.60000 2.00000"
1,-14.3612,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 5.77343 4.00000 0.99226, 0.00000 0.00730 1.33912, 8.00000 -5.52527 1.81976, 5.00000 -7.60000 2.00000"
1,-12.5630,Tx-I-I-Rx,2,-60.3813,"7.30900 2.93800 0.90000, 5.74485 -4.74249 3.00000, 5.08146 -8.00000 2.10937, 5.00000 -7.60000 2.00000"
1,-14.4080,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 8.00000 0.81553 1.48032, 6.19067 -4.74248 3.00000, 5.13022 -8.00000 2.10937, 5.00000 -7.60000 2.00000"
1,-5.1572,Tx-I-Rx,1,-60.3813,"7.30900 2.93800 0.90000, 5.74485 -4.20059 3.00000, 5.00000 -7.60000 2.00000"
1,-7.4905,Tx-I-I-Rx,2,-60.3813,"7.30900 2.93800 0.90000, 8.00000 0.96528 1.48032, 6.19067 -4.20058 3.00000, 5.00000 -7.60000 2.00000"
1,-19.5251,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 7.12685 4.00000 1.14454, 5.74485 -4.05732 3.00000, 5.06861 -8.00000 2.09211, 5.00000 -7.60000 2.00000"
1,-21.1786,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.60017 4.00000 1.14455, 8.00000 2.54191 1.48032, 6.19067 -4.05731 3.00000, 5.10967 -8.00000 2.09211, 5.00000 -7.60000 2.00000"
1,-23.0781,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 5.60640 1.88854 1.20872, 8.00000 0.41316 1.64273, 0.51493 -4.20063 3.00000, 0.00000 -4.51801 2.90664, 5.00000 -7.60000 2.00000"
1,-23.0849,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 5.60640 1.88727 1.20909, 8.00000 0.41209 1.64305, 0.51567 -4.20063 3.00000, 0.00000 -4.51843 2.90652, 5.00000 -7.60000 2.00000"
1,-11.6725,Tx-I-I-Rx,2,-60.3813,"7.30900 2.93800 0.90000, 7.11535 4.00000 1.15999, 5.74485 -3.51542 3.00000, 5.00000 -7.60000 2.00000"
1,-13.6997,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 7.61856 4.00000 1.16000, 8.00000 2.69166 1.48032, 6.19067 -3.51541 3.00000, 5.00000 -7.60000 2.00000"
1,-5.7729,Tx-I-I-Rx,2,-60.3813,"7.30900 2.93800 0.90000, 6.27665 4.00000 0.99226, 0.00000 -2.45659 1.55317, 5.00000 -7.60000 2.00000"
1,-6.8966,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 5.60640 1.48043 1.05215, 5.55731 1.43837 1.05654, 0.00000 -3.31938 1.55317, 5.00000 -7.60000 2.00000"
1,-14.2015,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 6.27665 4.00000 1.15999, 0.00000 -2.45660 2.74075, 1.02929 -3.51542 3.00000, 5.00000 -7.60000 2.00000"
1,-16.0484,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 5.60640 1.48043 1.32879, 5.55731 1.43837 1.34115, 0.00000 -3.31939 2.74074, 1.02929 -4.20059 3.00000, 5.00000 -7.60000 2.00000"
1,-20.9216,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 5.77343 4.00000 1.15999, 0.00000 0.00730 2.13751, 5.09379 -3.51544 3.00000, 8.00000 -5.52527 2.50795, 5.00000 -7.60000 2.00000"
1,-18.5151,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 6.71385 4.00000 1.16000, 5.60640 2.02400 1.64378, 8.00000 -2.24697 2.68941, 7.28916 -3.51538 3.00000, 5.00000 -7.60000 2.00000"
1,-18.5071,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 6.71446 4.00000 1.16000, 5.60640 2.02090 1.64453, 8.00000 -2.24869 2.68984, 7.28989 -3.51538 3.00000, 5.00000 -7.60000 2.00000"
1,-1.1372,Tx-I-I-Rx,2,-60.3813,"7.30900 2.93800 0.90000, 8.00000 0.81554 1.10592, 5.13022 -8.00000 1.96119, 5.00000 -7.60000 2.00000"
1,-21.9161,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 0.50073 -8.00000 1.30904, 0.00000 -7.19562 1.33912, 5.37409 1.43837 1.66200, 8.00000 -2.78025 1.81976, 5.00000 -7.60000 2.00000"
1,-21.9161,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 0.50115 -8.00000 1.30901, 0.00000 -7.19491 1.33912, 5.37331 1.43837 1.66195, 8.00000 -2.78091 1.81976, 5.00000 -7.60000 2.00000"
1,-11.8066,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.15243 4.00000 0.80738, 7.08424 3.53743 0.76698, 5.38331 -8.00000 1.77323, 5.16217 -6.50000 1.90406, 5.00000 -7.60000 2.00000"
1,-4.8842,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 7.66834 1.83417 0.76698, 8.00000 0.81554 0.88969, 5.13022 -8.00000 1.95181, 5.00000 -7.60000 2.00000"
1,-5.2246,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.66834 1.61999 0.76698, 8.00000 0.40370 0.88969, 5.70886 -8.00000 1.73765, 5.29991 -6.50000 1.88901, 5.00000 -7.60000 2.00000"
1,-16.6828,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 8.00000 2.40615 0.82254, 7.50481 2.02498 0.76698, 6.75138 1.44507 0.68249, 0.00000 -3.75147 1.43940, 5.00000 -7.60000 2.00000"
1,-22.8347,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 6.82267 3.43827 0.76698, 6.27665 4.00000 0.91627, 0.00000 -2.45660 2.63268, 1.34312 -3.83825 3.00000, 5.00000 -7.60000 2.00000"
1,-15.9853,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.47825 2.41809 0.76698, 8.00000 0.81547 0.35711, 7.54557 -0.58052 0.00000, 5.13022 -8.00000 1.89769, 5.00000 -7.60000 2.00000"
1,-17.2721,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 6.74451 3.51868 0.76698, 6.27664 4.00000 0.65678, 3.48907 1.13252 0.00000, 0.00000 -2.45659 0.82200, 5.00000 -7.60000 2.00000"
1,-24.4237,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.84999 2.52160 0.76698, 8.00000 2.40618 0.80384, 0.00000 -3.75148 2.77070, 0.93253 -4.46926 3.00000, 5.00000 -7.60000 2.00000"
1,-27.4746,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.45483 3.43827 0.76698, 7.61856 4.00000 0.91628, 8.00000 2.69167 1.26408, 6.09656 -3.83824 3.00000, 5.00000 -7.60000 2.00000"
1,-26.0455,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 7.21777 3.43827 0.76698, 7.11535 4.00000 0.91627, 5.68598 -3.83825 3.00000, 5.00000 -7.60000 2.00000"
1,-26.2567,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 7.45482 2.52168 0.76698, 8.00000 0.96528 1.26408, 6.09656 -4.46926 3.00000, 5.00000 -7.60000 2.00000"
1,-25.3538,Tx-I-I-Rx,2,-60.3813,"7.30900 2.93800 0.90000, 7.21779 2.52171 0.76698, 5.68598 -4.46927 3.00000, 5.00000 -7.60000 2.00000"
