Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-61.1188,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.49632 2.80146 0.92068, 3.82600 -0.25361 3.00000, 0.00000 -3.43820 0.83257, 1.46959 -4.66144 0.00000, 5.00000 -7.60000 2.00000"
1,-61.1264,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.49624 2.80149 0.92028, 3.82543 -0.25401 3.00000, 0.00000 -3.43816 0.83276, 1.46982 -4.66159 0.00000, 5.00000 -7.60000 2.00000"
1,0.0000,Tx-I-I-Rx,2,-60.3813,"7.30900 2.93800 0.90000, 5.44344 -8.00000 1.78874, 5.18761 -6.50000 1.91062, 5.00000 -7.60000 2.00000"
1,-39.9153,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 4.59926 4.00000 1.16000, -10.00000 -1.72144 2.56077, -5.42262 -3.51535 3.00000, 0.00000 -5.64047 2.47975, 5.00000 -7.60000 2.00000"
1,-61.1424,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.49611 2.80174 0.91967, 3.82460 -0.25446 3.00000, 0.00000 -3.43802 0.83302, 1.47015 -4.66177 0.00000, 5.00000 -7.60000 2.00000"
1,-8.5005,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 5.54753 -8.00000 1.73916, 5.30597 -6.50000 1.85424, 5.06442 -8.00000 1.96931, 5.00000 -7.60000 2.00000"
1,-2.2430,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 8.00000 0.40370 1.10592, 5.70886 -8.00000 1.78874, 5.29991 -6.50000 1.91062, 5.00000 -7.60000 2.00000"
1,-61.1284,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.49624 2.80159 0.92030, 3.82547 -0.25391 3.00000, 0.00000 -3.43812 0.83274, 1.46980 -4.66155 0.00000, 5.00000 -7.60000 2.00000"
1,-61.1542,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.49607 2.80211 0.91948, 3.82432 -0.25441 3.00000, 0.00000 -3.43786 0.83311, 1.47026 -4.66175 0.00000, 5.00000 -7.60000 2.00000"
1,-19.3454,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 5.86468 4.00000 0.98677, 0.00000 -0.31204 1.33912, 8.00000 -6.19414 1.81976, 5.54403 -8.00000 1.96732, 5.00000 -7.60000 2.00000"
1,-10.4925,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 8.00000 0.25395 1.10592, 5.87524 -8.00000 1.73916, 5.48910 -6.50000 1.85424, 5.10297 -8.00000 1.96931, 5.00000 -7.60000 2.00000"
1,-9.2674,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 7.15244 4.00000 0.97459, 5.38331 -8.00000 1.81739, 5.16217 -6.50000 1.92274, 5.00000 -7.60000 2.00000"
1,-61.1543,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.49603 2.80195 0.91925, 3.82400 -0.25475 3.00000, 0.00000 -3.43791 0.83322, 1.47039 -4.66189 0.00000, 5.00000 -7.60000 2.00000"
1,-17.7257,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.16005 4.00000 0.97096, 5.47688 -8.00000 1.77281, 5.26649 -6.50000 1.87304, 5.05611 -8.00000 1.97327, 5.00000 -7.60000 2.00000"
1,-61.1216,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.49633 2.80161 0.92073, 3.82607 -0.25345 3.00000, 0.00000 -3.43814 0.83255, 1.46956 -4.66137 0.00000, 5.00000 -7.60000 2.00000"
1,-11.1099,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.55927 4.00000 0.97459, 8.00000 2.13009 1.10592, 5.61273 -8.00000 1.81739, 5.25923 -6.50000 1.92274, 5.00000 -7.60000 2.00000"
1,-61.1179,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.49634 2.80146 0.92075, 3.82610 -0.25354 3.00000, 0.00000 -3.43820 0.83254, 1.46955 -4.66140 0.00000, 5.00000 -7.60000 2.00000"
1,-9.7419,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 5.78185 -8.00000 1.62753, 5.57242 -6.50000 1.72730, 5.36300 -8.00000 1.82707, 5.15358 -6.50000 1.92683, 5.00000 -7.60000 2.00000"
1,-38.6881,Tx-I-I-I-Rx,3,-60.3813,"7.30900 2.93800 0.90000, 6.60729 4.00000 0.96271, 4.63611 6.98316 1.13886, 0.00000 -0.03301 1.55317, 5.00000 -7.60000 2.00000"
1,-61.0809,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.49596 2.80246 0.91894, 3.82357 -0.25472 3.00000, 0.00000 -3.43768 0.83335, 1.47056 -4.66188 0.00000, 5.00000 -7.60000 2.00000"
1,-61.2364,Tx-I-I-I-I-Rx,4,-60.3813,"7.30900 2.93800 0.90000, 7.49563 2.80249 0.91736, 3.82138 -0.25633 3.00000, 0.00000 -3.43756 0.83406, 1.47144 -4.66252 0.00000, 5.00000 -7.60000 2.00000"
