Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-24.4460,Tx-I-I-I-Rx,3,-52.8902,"7.30900 2.93800 0.90000, 5.77343 4.00000 0.99226, 0.00000 0.00730 1.33912, 8.00000 -5.52527 1.81976, 5.00000 -7.60000 2.00000"
1,-29.4302,Tx-I-I-I-I-Rx,4,-52.8902,"7.30900 2.93800 0.90000, 5.86468 4.00000 0.98677, 0.00000 -0.31204 1.33912, 8.00000 -6.19414 1.81976, 5.54403 -8.00000 1.96732, 5.00000 -7.60000 2.00000"
1,-27.0892,Tx-I-I-I-Rx,3,-52.8902,"7.30900 2.93800 0.90000, 8.00000 -3.52772 1.10593, 7.52209 -8.00000 1.24836, 6.23967 4.00000 1.63055, 5.00000 -7.60000 2.00000"
1,-12.8872,Tx-I-I-Rx,2,-52.8902,"7.30900 2.93800 0.90000, 7.11534 4.00000 0.78543, 7.08424 3.82946 0.76698, 5.00000 -7.60000 2.00000"
1,-15.1450,Tx-I-I-I-Rx,3,-52.8902,"7.30900 2.93800 0.90000, 7.61857 4.00000 0.78545, 7.66834 3.82926 0.76698, 8.00000 2.69168 0.88969, 5.00000 -7.60000 2.00000"
1,-21.1556,Tx-I-I-I-Rx,3,-52.8902,"7.30900 2.93800 0.90000, 7.12685 4.00000 0.79224, 7.08424 3.75159 0.76698, 5.06861 -8.00000 1.95941, 5.00000 -7.60000 2.00000"
1,-23.1539,Tx-I-I-I-I-Rx,4,-52.8902,"7.30900 2.93800 0.90000, 7.60017 4.00000 0.79226, 7.66834 3.75138 0.76698, 8.00000 2.54193 0.88969, 5.10967 -8.00000 1.95941, 5.00000 -7.60000 2.00000"
1,-15.2293,Tx-I-I-I-Rx,3,-52.8902,"7.30900 2.93800 0.90000, 7.61857 4.00000 0.78339, 7.66199 3.85106 0.76698, 8.00000 2.69168 0.89180, 5.00000 -7.60000 2.00000"
1,-7.1535,Tx-I-I-Rx,2,-52.8902,"7.30900 2.93800 0.90000, 7.66834 1.91205 0.76698, 8.00000 0.96529 0.88969, 5.00000 -7.60000 2.00000"
1,-23.2303,Tx-I-I-I-I-Rx,4,-52.8902,"7.30900 2.93800 0.90000, 7.60017 4.00000 0.79032, 7.66199 3.77456 0.76698, 8.00000 2.54193 0.89180, 5.10967 -8.00000 1.95949, 5.00000 -7.60000 2.00000"
