Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-0.3659,Tx-I-I-Rx,2,-59.4889,"7.30900 2.93800 0.90000, 5.74401 -8.00000 1.64556, 5.34339 -5.20000 1.83641, 5.00000 -7.60000 2.00000"
1,-18.2082,Tx-I-I-I-I-Rx,4,-59.4889,"7.30900 2.93800 0.90000, 5.86468 4.00000 0.98677, 0.00000 -0.31204 1.33912, 8.00000 -6.19414 1.81976, 5.54403 -8.00000 1.96732, 5.00000 -7.60000 2.00000"
1,-8.8102,Tx-I-I-I-Rx,3,-59.4889,"7.30900 2.93800 0.90000, 5.81792 -8.00000 1.61035, 5.43622 -5.20000 1.79219, 5.05453 -8.00000 1.97402, 5.00000 -7.60000 2.00000"
1,-2.2618,Tx-I-I-I-Rx,3,-59.4889,"7.30900 2.93800 0.90000, 8.00000 -0.08303 1.10592, 6.18932 -8.00000 1.64556, 5.54892 -5.20000 1.83641, 5.00000 -7.60000 2.00000"
1,-19.1000,Tx-I-I-I-Rx,3,-59.4889,"7.30900 2.93800 0.90000, 6.57776 -8.00000 1.88176, 5.77551 4.00000 2.95884, 5.74488 3.54189 3.00000, 5.00000 -7.60000 2.00000"
1,-10.5238,Tx-I-I-I-I-Rx,4,-59.4889,"7.30900 2.93800 0.90000, 8.00000 -0.23279 1.10592, 6.30747 -8.00000 1.61035, 5.69731 -5.20000 1.79219, 5.08717 -8.00000 1.97402, 5.00000 -7.60000 2.00000"
1,-19.9574,Tx-I-I-I-I-Rx,4,-59.4889,"7.30900 2.93800 0.90000, 8.00000 -3.52771 1.48034, 7.52209 -8.00000 1.88175, 6.23967 4.00000 2.95884, 6.19071 3.54189 3.00000, 5.00000 -7.60000 2.00000"
1,-27.2937,Tx-I-I-I-I-Rx,4,-59.4889,"7.30900 2.93800 0.90000, 6.59431 -8.00000 1.85953, 5.81022 4.00000 2.91223, 5.74488 2.99999 3.00000, 5.02614 -8.00000 2.03509, 5.00000 -7.60000 2.00000"
1,-25.0959,Tx-I-I-I-I-Rx,4,-59.4889,"7.30900 2.93800 0.90000, 3.46163 -7.61976 1.86897, 0.00000 1.87929 2.74078, 0.77279 4.00000 2.93541, 1.02915 3.29654 3.00000, 5.00000 -7.60000 2.00000"
1,-9.4636,Tx-I-I-I-Rx,3,-59.4889,"7.30900 2.93800 0.90000, 7.17473 4.00000 0.96397, 5.65747 -8.00000 1.68678, 5.30345 -5.20000 1.85544, 5.00000 -7.60000 2.00000"
1,-11.0639,Tx-I-I-I-I-Rx,4,-59.4889,"7.30900 2.93800 0.90000, 7.52364 4.00000 0.96397, 8.00000 1.64336 1.10592, 6.05099 -8.00000 1.68678, 5.48507 -5.20000 1.85544, 5.00000 -7.60000 2.00000"
1,-17.8747,Tx-I-I-I-I-Rx,4,-59.4889,"7.30900 2.93800 0.90000, 7.18036 4.00000 0.96128, 5.72678 -8.00000 1.65376, 5.38762 -5.20000 1.81534, 5.04845 -8.00000 1.97692, 5.00000 -7.60000 2.00000"
1,-10.9783,Tx-I-I-I-I-Rx,4,-59.4889,"7.30900 2.93800 0.90000, 6.14717 -8.00000 1.45349, 5.84975 -5.20000 1.59518, 5.55234 -8.00000 1.73687, 5.25493 -5.20000 1.87855, 5.00000 -7.60000 2.00000"
