Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-13.9276,Tx-I-I-Rx,2,-49.5957,"0.15000 -4.90000 1.10000, 0.00000 -4.97977 1.12621, 4.96285 -7.61976 1.99351, 5.00000 -7.60000 2.00000"
1,-27.5152,Tx-I-I-Rx,2,-49.5957,"0.15000 -4.90000 1.10000, 8.00000 -5.91654 1.43885, 0.00000 -6.95252 1.78417, 5.00000 -7.60000 2.00000"
1,-28.9945,Tx-I-I-I-Rx,3,-49.5957,"0.15000 -4.90000 1.10000, 8.00000 -5.93140 1.43885, 0.00000 -6.98252 1.78417, 4.84960 -7.61976 1.99351, 5.00000 -7.60000 2.00000"
1,-28.5422,Tx-I-I-I-Rx,3,-49.5957,"0.15000 -4.90000 1.10000, 8.00000 -5.80384 1.40128, 0.00000 -6.72495 1.70832, 6.30000 -7.45032 1.95011, 5.00000 -7.60000 2.00000"
1,-12.3018,Tx-I-I-Rx,2,-49.5957,"0.15000 -4.90000 1.10000, 0.00000 -4.97863 1.07001, 0.16030 -5.06268 1.03792, 5.00000 -7.60000 2.00000"
1,-28.9527,Tx-I-I-I-Rx,3,-49.5957,"0.15000 -4.90000 1.10000, 0.24710 -4.95410 1.03792, 0.28414 -4.97471 1.01426, 1.87093 -5.85804 0.00000, 5.00000 -7.60000 2.00000"
1,0.0000,Tx-Rx,0,-49.5957,"0.15000 -4.90000 1.10000, 5.00000 -7.60000 2.00000"
1,-23.5465,Tx-I-Rx,1,-49.5957,"0.15000 -4.90000 1.10000, 3.32757 -6.66895 3.00000, 5.00000 -7.60000 2.00000"
1,-7.7007,Tx-I-Rx,1,-49.5957,"0.15000 -4.90000 1.10000, 0.00000 -4.97862 1.12621, 5.00000 -7.60000 2.00000"
1,-15.6437,Tx-I-I-Rx,2,-49.5957,"0.15000 -4.90000 1.10000, 0.00000 -4.80838 1.12621, 0.21507 -4.67695 1.16380, 5.00000 -7.60000 2.00000"
1,-24.8737,Tx-I-I-I-I-Rx,4,-49.5957,"0.15000 -4.90000 1.10000, 0.00000 -4.80617 1.12621, 0.20646 -4.67695 1.16230, 0.26730 -4.63885 1.17293, 0.28414 -4.64937 1.17587, 5.00000 -7.60000 2.00000"
1,-29.8744,Tx-I-I-Rx,2,-49.5957,"0.15000 -4.90000 1.10000, 3.32757 -6.69481 3.00000, 4.96502 -7.61976 2.02092, 5.00000 -7.60000 2.00000"
1,-27.3768,Tx-I-I-Rx,2,-49.5957,"0.15000 -4.90000 1.10000, 7.25858 -6.66896 3.00000, 8.00000 -6.85345 2.80185, 5.00000 -7.60000 2.00000"
1,-29.6684,Tx-I-I-I-Rx,3,-49.5957,"0.15000 -4.90000 1.10000, 7.25858 -7.19307 3.00000, 8.00000 -7.43222 2.80185, 6.24004 -8.00000 2.33144, 5.00000 -7.60000 2.00000"
1,-6.8314,Tx-I-Rx,1,-49.5957,"0.15000 -4.90000 1.10000, 4.96502 -7.61976 1.99351, 5.00000 -7.60000 2.00000"
1,-17.9810,Tx-I-I-I-Rx,3,-49.5957,"0.15000 -4.90000 1.10000, 4.81256 -7.61976 1.96522, 4.88934 -7.66460 1.97947, 4.96613 -7.61976 1.99371, 5.00000 -7.60000 2.00000"
1,-13.8925,Tx-I-Rx,1,-49.5957,"0.15000 -4.90000 1.10000, 8.00000 -6.85345 1.75115, 5.00000 -7.60000 2.00000"
1,-22.0263,Tx-I-I-Rx,2,-49.5957,"0.15000 -4.90000 1.10000, 0.00000 -4.93632 1.11211, 8.00000 -6.87354 1.75785, 5.00000 -7.60000 2.00000"
1,-19.8532,Tx-I-I-I-Rx,3,-49.5957,"0.15000 -4.90000 1.10000, 0.00000 -4.80838 1.07019, 0.16214 -4.70932 1.03792, 0.21507 -4.67695 1.04844, 5.00000 -7.60000 2.00000"
1,-18.3247,Tx-I-I-I-Rx,3,-49.5957,"0.15000 -4.90000 1.10000, 0.00000 -4.97978 1.07018, 0.16200 -5.06597 1.03792, 4.96285 -7.61976 1.99261, 5.00000 -7.60000 2.00000"
1,-28.6614,Tx-I-I-Rx,2,-49.5957,"0.15000 -4.90000 1.10000, 3.99993 -5.85805 0.00000, 8.00000 -6.85345 1.14285, 5.00000 -7.60000 2.00000"
1,-26.6163,Tx-I-I-I-Rx,3,-49.5957,"0.15000 -4.90000 1.10000, 3.30761 -2.76005 0.47331, 3.58300 -2.57338 0.52796, 8.00000 -5.56683 1.40459, 5.00000 -7.60000 2.00000"
