Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-18.0947,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 1.49744 -5.65012 3.00000, 2.06477 -5.96595 2.20000, 2.63208 -6.28178 3.00000, 4.17062 -7.13828 0.83048, 5.00000 -7.60000 2.00000"
1,-17.0274,Tx-I-I-Rx,2,-65.3383,"0.15000 -4.90000 1.10000, 1.90891 -5.87919 3.00000, 3.91732 -6.99727 0.83048, 5.00000 -7.60000 2.00000"
1,-23.6505,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 1.88693 -5.86695 3.00000, 3.87023 -6.97106 0.83048, 3.90055 -6.98794 0.79726, 3.93088 -7.00482 0.83048, 5.00000 -7.60000 2.00000"
1,-23.0188,Tx-I-I-I-Rx,3,-65.3383,"0.15000 -4.90000 1.10000, 1.90891 -5.89350 3.00000, 3.91732 -7.02793 0.83048, 4.96502 -7.61976 1.96221, 5.00000 -7.60000 2.00000"
1,-25.1474,Tx-I-I-I-Rx,3,-65.3383,"0.15000 -4.90000 1.10000, 3.13767 -5.64348 3.00000, 7.85505 -6.81739 0.00000, 8.00000 -6.85345 0.09215, 5.00000 -7.60000 2.00000"
1,-32.2838,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 2.46628 -5.47641 3.00000, 6.12359 -6.38652 0.00000, 8.00000 -6.85345 1.53912, 6.21912 -7.29663 3.00000, 5.00000 -7.60000 2.00000"
1,-7.2950,Tx-I-I-Rx,2,-65.3383,"0.15000 -4.90000 1.10000, 0.00000 -4.97862 1.18445, 3.22412 -6.66895 3.00000, 5.00000 -7.60000 2.00000"
1,-32.2301,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 0.00000 -4.93632 1.19280, 2.92028 -5.64348 3.00000, 7.76809 -6.81739 0.00000, 8.00000 -6.87354 0.14348, 5.00000 -7.60000 2.00000"
1,-28.7311,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 3.13767 -5.86375 3.00000, 7.85504 -7.38547 0.00000, 8.00000 -7.43222 0.09215, 6.24004 -8.00000 1.21141, 5.00000 -7.60000 2.00000"
1,-16.9638,Tx-I-I-I-Rx,3,-65.3383,"0.15000 -4.90000 1.10000, 0.00000 -4.80838 1.18445, 0.21507 -4.67695 1.30557, 3.22412 -6.51512 3.00000, 5.00000 -7.60000 2.00000"
1,-19.8579,Tx-I-I-I-Rx,3,-65.3383,"0.15000 -4.90000 1.10000, 0.00000 -4.97977 1.18445, 3.22412 -6.69481 3.00000, 4.96285 -7.61976 2.02092, 5.00000 -7.60000 2.00000"
1,-38.8459,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 5.89131 -5.64348 3.00000, 8.00000 -5.91654 2.30219, 1.04352 -6.81739 0.00000, 0.00000 -6.95251 0.34532, 5.00000 -7.60000 2.00000"
1,-7.2722,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 1.88243 -6.01559 1.71725, 0.10806 -5.17225 2.30577, 0.00000 -5.22359 2.34160, 1.98497 -6.16702 3.00000, 5.00000 -7.60000 2.00000"
1,-8.2003,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 1.97083 -5.85677 1.68793, 0.00000 -4.69681 2.34160, 0.03368 -4.67695 2.35277, 1.98497 -5.82543 3.00000, 5.00000 -7.60000 2.00000"
1,-7.4109,Tx-I-I-I-Rx,3,-65.3383,"0.15000 -4.90000 1.10000, 8.00000 -5.91654 2.19182, 2.18977 -6.66895 3.00000, 0.00000 -6.95252 2.69545, 5.00000 -7.60000 2.00000"
1,-15.5324,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 0.00000 -4.91915 1.12056, 8.00000 -5.94042 2.21747, 2.29323 -6.66895 3.00000, 0.00000 -6.96170 2.68558, 5.00000 -7.60000 2.00000"
1,-8.8762,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 8.00000 -5.93140 2.19182, 2.18978 -6.69481 3.00000, 0.00000 -6.98252 2.69545, 4.84960 -7.61976 2.02092, 5.00000 -7.60000 2.00000"
1,-13.4350,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 0.27114 -5.13415 1.13238, 4.99758 4.00000 2.39564, 7.25857 -0.36949 3.00000, 8.00000 -1.80226 2.80185, 5.00000 -7.60000 2.00000"
1,-48.8335,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 0.00000 -4.91915 1.12056, -8.00000 -5.94042 2.21747, -2.29323 -6.66895 3.00000, 0.00000 -6.96170 2.68558, 5.00000 -7.60000 2.00000"
1,-9.6797,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 8.00000 2.81820 2.19184, 6.79808 4.00000 2.35901, 2.18975 -0.53094 3.00000, 0.00000 -2.68391 2.69545, 5.00000 -7.60000 2.00000"
1,-0.8990,Tx-I-I-Rx,2,-65.3383,"0.15000 -4.90000 1.10000, 8.00000 -5.91654 1.43885, 0.00000 -6.95252 1.78417, 5.00000 -7.60000 2.00000"
1,-6.3018,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 0.26805 -4.67695 1.10979, 0.28414 -4.64661 1.11112, 4.86045 4.00000 1.49073, 8.00000 -1.93175 1.75115, 5.00000 -7.60000 2.00000"
1,-9.0512,Tx-I-I-I-Rx,3,-65.3383,"0.15000 -4.90000 1.10000, 0.00000 -4.91915 1.10638, 8.00000 -5.94042 1.44681, 0.00000 -6.96170 1.78723, 5.00000 -7.60000 2.00000"
1,-16.1691,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 8.00000 -5.68938 1.94785, 0.00000 -6.49386 2.81190, 1.74111 -6.66894 3.00000, 8.00000 -7.29832 2.32402, 5.00000 -7.60000 2.00000"
1,-7.7667,Tx-I-I-I-Rx,3,-65.3383,"0.15000 -4.90000 1.10000, 0.27114 -5.13415 1.11005, 4.99757 4.00000 1.50210, 8.00000 -1.80226 1.75115, 5.00000 -7.60000 2.00000"
1,-5.1424,Tx-I-I-I-Rx,3,-65.3383,"0.15000 -4.90000 1.10000, 8.00000 2.81821 1.43885, 6.79809 4.00000 1.49073, 0.00000 -2.68391 1.78417, 5.00000 -7.60000 2.00000"
1,-42.4668,Tx-I-I-I-Rx,3,-65.3383,"0.15000 -4.90000 1.10000, 0.00000 -4.91915 1.10638, -8.00000 -5.94042 1.44681, 0.00000 -6.96170 1.78723, 5.00000 -7.60000 2.00000"
1,-15.3200,Tx-I-I-I-I-Rx,4,-65.3383,"0.15000 -4.90000 1.10000, 0.26669 -5.13415 1.10968, 4.81943 4.00000 1.48733, 8.00000 -2.38103 1.75115, 5.19937 -8.00000 1.98346, 5.00000 -7.60000 2.00000"
