Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-7.3841,Tx-I-I-I-Rx,3,-71.0491,"0.15000 -4.90000 1.10000, 1.18539 -5.47640 3.00000, 2.82023 -6.38652 0.00000, 4.45505 -7.29663 3.00000, 5.00000 -7.60000 2.00000"
1,-5.1418,Tx-I-I-I-I-Rx,4,-71.0491,"0.15000 -4.90000 1.10000, 1.48552 -5.64349 3.00000, 3.59425 -6.81742 0.00000, 4.15463 -7.12938 0.79726, 4.17794 -7.14236 0.83048, 5.00000 -7.60000 2.00000"
1,-13.3755,Tx-I-I-I-I-Rx,4,-71.0491,"0.15000 -4.90000 1.10000, 1.18539 -5.48483 3.00000, 2.82023 -6.40825 0.00000, 4.45505 -7.33166 3.00000, 4.96502 -7.61976 2.06420, 5.00000 -7.60000 2.00000"
1,-13.4350,Tx-I-I-I-I-Rx,4,-71.0491,"0.15000 -4.90000 1.10000, 0.27114 -5.13415 1.13238, 4.99758 4.00000 2.39564, 7.25857 -0.36949 3.00000, 8.00000 -1.80226 2.80185, 5.00000 -7.60000 2.00000"
1,-48.8335,Tx-I-I-I-I-Rx,4,-71.0491,"0.15000 -4.90000 1.10000, 0.00000 -4.91915 1.12056, -8.00000 -5.94042 2.21747, -2.29323 -6.66895 3.00000, 0.00000 -6.96170 2.68558, 5.00000 -7.60000 2.00000"
1,-9.6797,Tx-I-I-I-I-Rx,4,-71.0491,"0.15000 -4.90000 1.10000, 8.00000 2.81820 2.19184, 6.79808 4.00000 2.35901, 2.18975 -0.53094 3.00000, 0.00000 -2.68391 2.69545, 5.00000 -7.60000 2.00000"
1,-8.1188,Tx-I-I-I-I-Rx,4,-71.0491,"0.15000 -4.90000 1.10000, 0.24765 -4.67695 1.11623, 0.78795 -5.91093 1.20605, 0.00000 -6.02384 1.25912, 8.00000 -7.17013 1.79794, 5.00000 -7.60000 2.00000"
1,-6.3018,Tx-I-I-I-I-Rx,4,-71.0491,"0.15000 -4.90000 1.10000, 0.26805 -4.67695 1.10979, 0.28414 -4.64661 1.11112, 4.86045 4.00000 1.49073, 8.00000 -1.93175 1.75115, 5.00000 -7.60000 2.00000"
1,-7.7667,Tx-I-I-I-Rx,3,-71.0491,"0.15000 -4.90000 1.10000, 0.27114 -5.13415 1.11005, 4.99757 4.00000 1.50210, 8.00000 -1.80226 1.75115, 5.00000 -7.60000 2.00000"
1,-5.1424,Tx-I-I-I-Rx,3,-71.0491,"0.15000 -4.90000 1.10000, 8.00000 2.81821 1.43885, 6.79809 4.00000 1.49073, 0.00000 -2.68391 1.78417, 5.00000 -7.60000 2.00000"
1,-42.4668,Tx-I-I-I-Rx,3,-71.0491,"0.15000 -4.90000 1.10000, 0.00000 -4.91915 1.10638, -8.00000 -5.94042 1.44681, 0.00000 -6.96170 1.78723, 5.00000 -7.60000 2.00000"
1,-15.3200,Tx-I-I-I-I-Rx,4,-71.0491,"0.15000 -4.90000 1.10000, 0.26669 -5.13415 1.10968, 4.81943 4.00000 1.48733, 8.00000 -2.38103 1.75115, 5.19937 -8.00000 1.98346, 5.00000 -7.60000 2.00000"
