Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-53.0377,Tx-I-I-I-I-Rx,4,-64.6879,"7.30900 2.93800 0.90000, 6.08912 3.47600 3.00000, 4.90108 4.00000 0.95486, 4.34641 4.24462 0.00000, 2.60372 5.01322 3.00000, 1.50000 5.50000 1.10000"
1,-43.9831,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 5.34143 3.80577 3.00000, 4.90111 4.00000 2.53005, 2.53064 5.04545 0.00000, 1.50000 5.50000 1.10000"
1,-16.1880,Tx-I-Rx,1,-64.6879,"7.30900 2.93800 0.90000, 4.90112 4.00000 0.98290, 1.50000 5.50000 1.10000"
1,-35.4623,Tx-I-I-Rx,2,-64.6879,"7.30900 2.93800 0.90000, 4.90108 4.00000 2.55806, 4.25931 4.28303 3.00000, 1.50000 5.50000 1.10000"
1,-37.2315,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49903 3.00511 0.93377, 5.10685 4.00000 2.51535, 4.37385 4.30483 3.00000, 1.50000 5.50000 1.10000"
1,-37.2306,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49902 3.00502 0.93375, 5.10671 4.00000 2.51543, 4.37384 4.30479 3.00000, 1.50000 5.50000 1.10000"
1,-43.3703,Tx-I-I-I-I-Rx,4,-64.6879,"7.30900 2.93800 0.90000, 5.77503 4.00000 2.53721, 5.34145 4.30016 3.00000, 2.55421 6.22985 0.02520, 2.53064 6.21353 0.00000, 1.50000 5.50000 1.10000"
1,-37.2298,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49902 3.00494 0.93372, 5.10659 4.00000 2.51549, 4.37381 4.30476 3.00000, 1.50000 5.50000 1.10000"
1,-37.2292,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49902 3.00487 0.93370, 5.10649 4.00000 2.51554, 4.37380 4.30473 3.00000, 1.50000 5.50000 1.10000"
1,-37.2277,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49901 3.00471 0.93366, 5.10626 4.00000 2.51567, 4.37376 4.30467 3.00000, 1.50000 5.50000 1.10000"
1,-54.6125,Tx-I-I-I-I-Rx,4,-64.6879,"7.30900 2.93800 0.90000, 5.62706 4.00000 1.66373, 2.68433 5.85800 3.00000, 0.87572 7.00000 2.17875, 0.00000 6.44711 1.78113, 1.50000 5.50000 1.10000"
1,-36.0608,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 5.72787 4.00000 1.98873, 4.25930 4.98635 3.00000, 2.49731 6.16985 1.78674, 1.50000 5.50000 1.10000"
1,-38.0779,Tx-I-I-I-I-Rx,4,-64.6879,"7.30900 2.93800 0.90000, 7.49902 3.04307 0.93372, 6.03337 4.00000 1.90274, 4.37380 5.08345 3.00000, 2.61792 6.22985 1.83912, 1.50000 5.50000 1.10000"
1,-37.2309,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49904 3.00496 0.93384, 5.10664 4.00000 2.51554, 4.37391 4.30473 3.00000, 1.50000 5.50000 1.10000"
1,-37.2273,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49915 3.00405 0.93437, 5.10539 4.00000 2.51673, 4.37434 4.30414 3.00000, 1.50000 5.50000 1.10000"
1,-38.0793,Tx-I-I-I-I-Rx,4,-64.6879,"7.30900 2.93800 0.90000, 7.49904 3.04311 0.93384, 6.03344 4.00000 1.90281, 4.37390 5.08341 3.00000, 2.61794 6.22985 1.83910, 1.50000 5.50000 1.10000"
1,-37.2314,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49906 3.00496 0.93392, 5.10665 4.00000 2.51559, 4.37397 4.30471 3.00000, 1.50000 5.50000 1.10000"
1,-37.2495,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49915 3.00682 0.93435, 5.10940 4.00000 2.51407, 4.37433 4.30547 3.00000, 1.50000 5.50000 1.10000"
1,-37.2126,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49890 3.00327 0.93315, 5.10412 4.00000 2.51674, 4.37334 4.30413 3.00000, 1.50000 5.50000 1.10000"
1,-38.0801,Tx-I-I-I-I-Rx,4,-64.6879,"7.30900 2.93800 0.90000, 7.49906 3.04312 0.93392, 6.03346 4.00000 1.90286, 4.37397 5.08338 3.00000, 2.61794 6.22985 1.83909, 1.50000 5.50000 1.10000"
1,-37.2372,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49922 3.00499 0.93469, 5.10679 4.00000 2.51602, 4.37461 4.30449 3.00000, 1.50000 5.50000 1.10000"
1,-37.2311,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49905 3.00496 0.93388, 5.10664 4.00000 2.51557, 4.37394 4.30472 3.00000, 1.50000 5.50000 1.10000"
1,-37.2400,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49897 3.00643 0.93349, 5.10873 4.00000 2.51392, 4.37363 4.30554 3.00000, 1.50000 5.50000 1.10000"
1,-37.2513,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49961 3.00507 0.93655, 5.10714 4.00000 2.51706, 4.37614 4.30397 3.00000, 1.50000 5.50000 1.10000"
1,-37.2295,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49901 3.00494 0.93368, 5.10659 4.00000 2.51547, 4.37378 4.30477 3.00000, 1.50000 5.50000 1.10000"
1,-37.1941,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49803 3.00471 0.92895, 5.10567 4.00000 2.51284, 4.36989 4.30609 3.00000, 1.50000 5.50000 1.10000"
1,-37.2343,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49914 3.00496 0.93432, 5.10670 4.00000 2.51583, 4.37431 4.30459 3.00000, 1.50000 5.50000 1.10000"
1,-37.2293,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 7.49900 3.00494 0.93364, 5.10659 4.00000 2.51544, 4.37375 4.30478 3.00000, 1.50000 5.50000 1.10000"
