Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-73.6737,Tx-I-I-I-I-Rx,4,-75.3249,"7.30900 2.93800 0.90000, 7.49403 2.84049 0.90961, 3.27505 0.36174 3.00000, 0.00000 -1.56241 1.37735, -2.77985 -3.19563 0.00000, -5.00000 -4.50000 1.10000"
1,-73.6707,Tx-I-I-I-I-Rx,4,-75.3249,"7.30900 2.93800 0.90000, 7.49407 2.83967 0.90980, 3.27533 0.36135 3.00000, 0.00000 -1.56274 1.37727, -2.77978 -3.19573 0.00000, -5.00000 -4.50000 1.10000"
1,-73.6789,Tx-I-I-I-I-Rx,4,-75.3249,"7.30900 2.93800 0.90000, 7.49389 2.84086 0.90894, 3.27406 0.36146 3.00000, 0.00000 -1.56222 1.37765, -2.78012 -3.19570 0.00000, -5.00000 -4.50000 1.10000"
1,-73.6801,Tx-I-I-I-I-Rx,4,-75.3249,"7.30900 2.93800 0.90000, 7.49384 2.84071 0.90871, 3.27373 0.36117 3.00000, 0.00000 -1.56227 1.37775, -2.78021 -3.19578 0.00000, -5.00000 -4.50000 1.10000"
1,-73.6699,Tx-I-I-I-I-Rx,4,-75.3249,"7.30900 2.93800 0.90000, 7.49414 2.84046 0.91017, 3.27588 0.36216 3.00000, 0.00000 -1.56244 1.37711, -2.77963 -3.19551 0.00000, -5.00000 -4.50000 1.10000"
1,-11.4774,Tx-I-I-I-I-Rx,4,-75.3249,"7.30900 2.93800 0.90000, 5.49382 4.00000 0.91282, -8.00000 -3.89438 1.00816, -0.98249 -8.00000 1.05773, 0.00000 -7.42523 1.06468, -5.00000 -4.50000 1.10000"
1,-73.6695,Tx-I-I-I-I-Rx,4,-75.3249,"7.30900 2.93800 0.90000, 7.49414 2.84033 0.91018, 3.27590 0.36208 3.00000, 0.00000 -1.56250 1.37710, -2.77963 -3.19553 0.00000, -5.00000 -4.50000 1.10000"
1,-73.6657,Tx-I-I-I-I-Rx,4,-75.3249,"7.30900 2.93800 0.90000, 7.49423 2.83988 0.91058, 3.27649 0.36210 3.00000, 0.00000 -1.56269 1.37692, -2.77947 -3.19553 0.00000, -5.00000 -4.50000 1.10000"
1,-73.6745,Tx-I-I-I-I-Rx,4,-75.3249,"7.30900 2.93800 0.90000, 7.49395 2.83985 0.90926, 3.27454 0.36104 3.00000, 0.00000 -1.56264 1.37751, -2.77999 -3.19581 0.00000, -5.00000 -4.50000 1.10000"
1,-73.7205,Tx-I-I-I-I-Rx,4,-75.3249,"7.30900 2.93800 0.90000, 7.49252 2.84114 0.90237, 3.26439 0.35649 3.00000, 0.00000 -1.56179 1.38055, -2.78271 -3.19703 0.00000, -5.00000 -4.50000 1.10000"
