Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-22.6628,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 0.00000 0.26520 0.95664, 8.00000 -2.66028 1.01863, 0.00000 -5.58578 1.08063, -2.50000 -6.50000 1.10000"
1,-20.1062,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49113 2.78096 0.89565, 2.24070 -2.09631 3.00000, 0.00000 -4.17770 2.10198, -2.50000 -6.50000 1.10000"
1,-20.1119,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49084 2.78135 0.89423, 2.23888 -2.09768 3.00000, 0.00000 -4.17754 2.10236, -2.50000 -6.50000 1.10000"
1,-20.1072,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49114 2.78080 0.89566, 2.24071 -2.09637 3.00000, 0.00000 -4.17774 2.10197, -2.50000 -6.50000 1.10000"
1,-20.1083,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49121 2.78028 0.89604, 2.24120 -2.09620 3.00000, 0.00000 -4.17789 2.10187, -2.50000 -6.50000 1.10000"
1,-20.1087,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49102 2.78104 0.89512, 2.24001 -2.09686 3.00000, 0.00000 -4.17765 2.10212, -2.50000 -6.50000 1.10000"
1,-20.1154,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49095 2.78033 0.89474, 2.23953 -2.09760 3.00000, 0.00000 -4.17781 2.10222, -2.50000 -6.50000 1.10000"
1,-20.1095,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49099 2.78106 0.89495, 2.23980 -2.09702 3.00000, 0.00000 -4.17764 2.10217, -2.50000 -6.50000 1.10000"
1,-20.1406,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.48956 2.78232 0.88805, 2.23097 -2.10401 3.00000, 0.00000 -4.17700 2.10404, -2.50000 -6.50000 1.10000"
1,-4.7652,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 5.39526 2.08633 0.91284, 1.09499 4.00000 0.94169, -10.00000 -0.93734 1.01613, 0.00000 -5.38747 1.08323, -2.50000 -6.50000 1.10000"
1,-20.1063,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49116 2.78079 0.89580, 2.24088 -2.09623 3.00000, 0.00000 -4.17775 2.10194, -2.50000 -6.50000 1.10000"
1,-20.1185,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49047 2.78195 0.89244, 2.23658 -2.09937 3.00000, 0.00000 -4.17730 2.10285, -2.50000 -6.50000 1.10000"
1,-20.1071,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49110 2.78098 0.89547, 2.24046 -2.09650 3.00000, 0.00000 -4.17769 2.10203, -2.50000 -6.50000 1.10000"
1,-20.1416,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49014 2.77975 0.89084, 2.23454 -2.10217 3.00000, 0.00000 -4.17777 2.10328, -2.50000 -6.50000 1.10000"
1,-20.1144,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49071 2.78152 0.89360, 2.23806 -2.09830 3.00000, 0.00000 -4.17746 2.10253, -2.50000 -6.50000 1.10000"
1,-27.6651,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49112 2.73084 0.89559, 2.24064 -3.69669 3.00000, 0.00000 -6.43955 2.10199, -1.27466 -8.00000 1.59111, -2.50000 -6.50000 1.10000"
