Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-21.1603,Tx-I-I-I-I-Rx,4,-80.3684,"-3.90000 0.80000 1.00000, -3.78530 1.72904 3.00000, -3.61325 3.12262 0.00000, -3.44121 4.51618 3.00000, -3.28095 5.81435 0.20545, 4.00000 -5.50000 1.10000"
1,-21.1602,Tx-I-I-I-I-Rx,4,-80.3684,"-3.90000 0.80000 1.00000, -3.78530 1.72906 3.00000, -3.61325 3.12265 0.00000, -3.44119 4.51624 3.00000, -3.28094 5.81440 0.20550, 4.00000 -5.50000 1.10000"
1,-21.1622,Tx-I-I-I-I-Rx,4,-80.3684,"-3.90000 0.80000 1.00000, -3.78540 1.72839 3.00000, -3.61349 3.12099 0.00000, -3.44159 4.51358 3.00000, -3.28132 5.81210 0.20271, 4.00000 -5.50000 1.10000"
1,-29.0334,Tx-I-I-Rx,2,-80.3684,"-3.90000 0.80000 1.00000, 0.00000 -2.31013 2.92531, 0.15125 -2.43074 3.00000, 4.00000 -5.50000 1.10000"
1,-25.4823,Tx-I-I-I-Rx,3,-80.3684,"-3.90000 0.80000 1.00000, 0.00000 -0.74528 1.95659, 4.25379 -2.43075 3.00000, 8.00000 -3.91508 2.08114, 4.00000 -5.50000 1.10000"
1,-24.8057,Tx-I-I-I-Rx,3,-80.3684,"-3.90000 0.80000 1.00000, -10.00000 -1.11193 2.18358, -5.79258 -2.43069 3.00000, 0.00000 -4.24627 1.87610, 4.00000 -5.50000 1.10000"
1,-29.7802,Tx-I-I-I-I-Rx,4,-80.3684,"-3.90000 0.80000 1.00000, 0.00000 3.91509 1.95660, 0.10626 4.00000 1.98266, 4.25377 0.68723 3.00000, 8.00000 -2.30501 2.08114, 4.00000 -5.50000 1.10000"
1,-29.8192,Tx-I-I-I-I-Rx,4,-80.3684,"-3.90000 0.80000 1.00000, 0.00000 -1.97169 1.95659, 4.25377 -4.99482 3.00000, 8.00000 -7.65720 2.08113, 7.51774 -8.00000 1.96284, 4.00000 -5.50000 1.10000"
1,-21.1793,Tx-I-I-Rx,2,-80.3684,"-3.90000 0.80000 1.00000, -1.28078 7.00000 1.03318, 0.00000 3.96835 1.04941, 4.00000 -5.50000 1.10000"
1,-10.5650,Tx-I-I-I-Rx,3,-80.3684,"-3.90000 0.80000 1.00000, -2.92958 0.02608 1.01228, -2.90416 0.00582 1.01261, 0.00000 -2.31014 1.04937, 4.00000 -5.50000 1.10000"
1,-11.4145,Tx-I-I-I-I-Rx,4,-80.3684,"-3.90000 0.80000 1.00000, -7.80303 -8.00000 1.94545, -8.00000 -7.55601 1.99315, -3.84368 1.81519 3.00000, -1.54411 7.00000 2.44298, 4.00000 -5.50000 1.10000"
1,-14.0395,Tx-I-I-Rx,2,-80.3684,"-3.90000 0.80000 1.00000, 0.00000 -0.74528 1.02453, 8.00000 -3.91508 1.07484, 4.00000 -5.50000 1.10000"
1,-23.5862,Tx-I-I-I-Rx,3,-80.3684,"-3.90000 0.80000 1.00000, -8.00000 5.56210 1.02547, -6.76208 7.00000 1.03316, 0.00000 -0.85404 1.07518, 4.00000 -5.50000 1.10000"
1,-15.8469,Tx-I-I-Rx,2,-80.3684,"-3.90000 0.80000 1.00000, -10.00000 -1.11192 1.03035, 0.00000 -4.24626 1.08010, 4.00000 -5.50000 1.10000"
1,-25.0803,Tx-I-I-I-Rx,3,-80.3684,"-3.90000 0.80000 1.00000, 0.00000 -0.22803 1.01632, 8.00000 -2.33681 1.04979, 0.00000 -4.44560 1.08326, 4.00000 -5.50000 1.10000"
1,0.0000,Tx-I-I-Rx,2,-80.3684,"-3.90000 0.80000 1.00000, -1.83335 7.00000 1.02616, 3.16666 -8.00000 1.08945, 4.00000 -5.50000 1.10000"
1,-20.6949,Tx-I-I-I-Rx,3,-80.3684,"-3.90000 0.80000 1.00000, 0.00000 3.91510 1.02453, 0.10625 4.00000 1.02520, 8.00000 -2.30501 1.07484, 4.00000 -5.50000 1.10000"
1,-28.7773,Tx-I-I-I-I-Rx,4,-80.3684,"-3.90000 0.80000 1.00000, 0.00000 -1.04392 1.01632, -8.00000 -4.82632 1.04979, -1.28765 -8.00000 1.07788, 0.00000 -7.39122 1.08326, 4.00000 -5.50000 1.10000"
1,-6.4991,Tx-I-I-I-Rx,3,-80.3684,"-3.90000 0.80000 1.00000, -8.00000 3.56995 1.01701, -4.71260 5.79099 1.03065, 8.00000 -2.79758 1.08340, 4.00000 -5.50000 1.10000"
1,-4.3546,Tx-I-I-I-Rx,3,-80.3684,"-3.90000 0.80000 1.00000, -7.61387 -7.20824 1.02307, -8.00000 -6.37576 1.02547, -1.79699 7.00000 1.06399, 4.00000 -5.50000 1.10000"
1,-15.6065,Tx-I-I-I-I-Rx,4,-80.3684,"-3.90000 0.80000 1.00000, -1.59137 7.00000 1.01452, 3.99409 -8.00000 1.04965, 8.00000 2.75785 1.07484, 7.53749 4.00000 1.07775, 4.00000 -5.50000 1.10000"
1,-15.6202,Tx-I-I-I-I-Rx,4,-80.3684,"-3.90000 0.80000 1.00000, -6.23768 7.00000 1.01452, -8.00000 2.32618 1.02547, -4.10659 -8.00000 1.04965, 0.41801 4.00000 1.07775, 4.00000 -5.50000 1.10000"
1,-17.0005,Tx-I-I-I-I-Rx,4,-80.3684,"-3.90000 0.80000 1.00000, -4.86935 -0.47525 0.87635, -2.90789 -8.00000 0.92581, 0.22021 4.00000 1.00469, 3.34831 -8.00000 1.08357, 4.00000 -5.50000 1.10000"
1,-26.8548,Tx-I-I-I-Rx,3,-80.3684,"-3.90000 0.80000 1.00000, -4.85432 0.29153 0.85857, 0.00000 -5.62483 0.99093, 1.94875 -8.00000 1.04407, 4.00000 -5.50000 1.10000"
1,-17.0398,Tx-I-I-I-I-Rx,4,-80.3684,"-3.90000 0.80000 1.00000, -4.86790 -0.46844 0.87558, -2.90537 -8.00000 0.92524, 0.22159 4.00000 1.00438, 3.34855 -8.00000 1.08351, 4.00000 -5.50000 1.10000"
1,-27.4753,Tx-I-I-I-I-Rx,4,-80.3684,"-3.90000 0.80000 1.00000, -8.00000 5.56207 0.46522, -6.76205 7.00000 0.30375, -4.43356 4.29551 0.00000, 0.00000 -0.85401 0.57826, 4.00000 -5.50000 1.10000"
1,-25.3778,Tx-I-I-I-I-Rx,4,-80.3684,"-3.90000 0.80000 1.00000, 0.00000 3.91509 0.48491, 0.10626 4.00000 0.47088, 3.67128 1.15249 0.00000, 8.00000 -2.30501 0.57169, 4.00000 -5.50000 1.10000"
1,-7.4538,Tx-I-I-I-Rx,3,-80.3684,"-3.90000 0.80000 1.00000, -1.74075 7.00000 0.42601, -0.13825 2.39867 0.00000, 3.30629 -7.49187 0.91560, 4.00000 -5.50000 1.10000"
1,-7.4537,Tx-I-I-I-Rx,3,-80.3684,"-3.90000 0.80000 1.00000, -1.74078 7.00000 0.42602, -0.13825 2.39852 0.00000, 3.30619 -7.49187 0.91557, 4.00000 -5.50000 1.10000"
