Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-64.8695,Tx-I-I-I-Rx,3,-59.3255,"-3.90000 0.80000 1.00000, -1.35715 -1.60000 3.00000, 0.00000 -2.88089 1.93261, 2.45713 -5.19999 0.00000, 5.00000 -7.60000 2.00000"
1,-70.4360,Tx-I-I-I-I-Rx,4,-59.3255,"-3.90000 0.80000 1.00000, -1.92223 -1.06666 3.00000, 0.00000 -2.88089 1.05622, 1.04445 -3.86667 0.00000, 4.01110 -6.66666 3.00000, 5.00000 -7.60000 2.00000"
1,-24.3989,Tx-I-Rx,1,-59.3255,"-3.90000 0.80000 1.00000, 0.00000 -2.88088 1.43820, 5.00000 -7.60000 2.00000"
1,-36.7739,Tx-I-I-Rx,2,-59.3255,"-3.90000 0.80000 1.00000, 0.00000 -2.88089 2.31459, 2.03330 -4.79997 3.00000, 5.00000 -7.60000 2.00000"
1,-79.4850,Tx-I-I-I-I-Rx,4,-59.3255,"-3.90000 0.80000 1.00000, 0.00000 -1.39866 2.83220, 0.35712 -1.59999 3.00000, 6.74282 -5.20000 0.00000, 8.00000 -5.90871 0.59059, 5.00000 -7.60000 2.00000"
1,-69.3700,Tx-I-I-I-I-Rx,4,-59.3255,"-3.90000 0.80000 1.00000, -9.92859 -1.60001 3.00000, -10.00000 -1.62841 2.97633, -1.02861 -5.19999 0.00000, 0.00000 -5.60947 0.34122, 5.00000 -7.60000 2.00000"
1,-41.5488,Tx-I-I-I-Rx,3,-59.3255,"-3.90000 0.80000 1.00000, 0.00000 -1.39865 1.78522, 6.03328 -4.79998 3.00000, 8.00000 -5.90871 2.60403, 5.00000 -7.60000 2.00000"
1,0.0000,Tx-I-Rx,1,-59.3255,"-3.90000 0.80000 1.00000, -1.11463 3.31615 1.23077, 5.00000 -7.60000 2.00000"
1,-41.7934,Tx-I-I-I-Rx,3,-59.3255,"-3.90000 0.80000 1.00000, -10.00000 -1.62842 1.86729, -2.03361 -4.79991 3.00000, 0.00000 -5.60948 2.71088, 5.00000 -7.60000 2.00000"
1,-8.7739,Tx-I-I-Rx,2,-59.3255,"-3.90000 0.80000 1.00000, -1.11463 3.31615 1.69230, 2.35030 -2.86961 3.00000, 5.00000 -7.60000 2.00000"
1,-45.9860,Tx-I-I-I-I-Rx,4,-59.3255,"-3.90000 0.80000 1.00000, 0.00000 -1.60804 1.78522, 6.03328 -5.33328 3.00000, 8.00000 -6.54760 2.60403, 5.64783 -8.00000 2.13044, 5.00000 -7.60000 2.00000"
1,-49.0135,Tx-I-I-I-I-Rx,4,-59.3255,"-3.90000 0.80000 1.00000, 0.00000 6.24430 1.78523, 0.54130 7.00000 1.89421, 6.03324 -0.66657 3.00000, 8.00000 -3.41204 2.60403, 5.00000 -7.60000 2.00000"
1,-48.8084,Tx-I-I-I-I-Rx,4,-59.3255,"-3.90000 0.80000 1.00000, -8.00000 5.78711 1.71929, -7.00292 7.00000 1.89422, -0.70003 -0.66663 3.00000, 0.00000 -1.51810 2.87720, 5.00000 -7.60000 2.00000"
1,-43.6571,Tx-I-I-I-Rx,3,-59.3255,"-3.90000 0.80000 1.00000, -8.00000 5.78712 1.23977, -7.00293 7.00000 1.29808, 0.00000 -1.51813 1.70763, 5.00000 -7.60000 2.00000"
1,-33.2080,Tx-I-I-Rx,2,-59.3255,"-3.90000 0.80000 1.00000, 0.00000 -1.39865 1.26174, 8.00000 -5.90871 1.79866, 5.00000 -7.60000 2.00000"
