Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-48.1561,Tx-I-I-I-I-Rx,4,-72.2397,"-6.00000 -5.60000 0.90000, -3.46156 -6.06154 3.00000, 0.00000 -6.69091 0.13642, 0.16485 -6.72088 0.00000, 3.79120 -7.38022 3.00000, 5.00000 -7.60000 2.00000"
1,-75.3397,Tx-I-I-I-I-Rx,4,-72.2397,"-6.00000 -5.60000 0.90000, -8.00000 -5.86666 1.84665, -5.56345 -6.19154 3.00000, 0.00000 -6.93333 0.36670, 0.77461 -7.03661 0.00000, 5.00000 -7.60000 2.00000"
1,-49.5866,Tx-I-I-I-Rx,3,-72.2397,"-6.00000 -5.60000 0.90000, -1.75293 -6.37220 3.00000, 0.00000 -6.69091 2.13329, 2.63473 -7.16995 0.83048, 5.00000 -7.60000 2.00000"
1,-51.6963,Tx-I-I-I-I-Rx,4,-72.2397,"-6.00000 -5.60000 0.90000, -1.75293 -6.38744 3.00000, 0.00000 -6.71244 2.13329, 2.63473 -7.20093 0.83048, 4.89342 -7.61976 1.94730, 5.00000 -7.60000 2.00000"
1,-26.2421,Tx-I-I-I-I-Rx,4,-72.2397,"-6.00000 -5.60000 0.90000, -0.97185 0.67042 3.00000, 1.69807 4.00000 1.88494, 6.21121 -1.62814 0.00000, 8.00000 -3.85879 0.74705, 5.00000 -7.60000 2.00000"
1,-5.5753,Tx-I-Rx,1,-72.2397,"-6.00000 -5.60000 0.90000, 0.00000 -6.69091 1.50000, 5.00000 -7.60000 2.00000"
1,-20.1212,Tx-I-I-Rx,2,-72.2397,"-6.00000 -5.60000 0.90000, 0.00000 -6.69091 2.59088, 1.45156 -6.95483 3.00000, 5.00000 -7.60000 2.00000"
1,-25.9517,Tx-I-I-I-Rx,3,-72.2397,"-6.00000 -5.60000 0.90000, 0.00000 -6.30588 1.99410, 5.51607 -6.95483 3.00000, 8.00000 -7.24706 2.54706, 5.00000 -7.60000 2.00000"
1,-22.1813,Tx-I-I-I-Rx,3,-72.2397,"-6.00000 -5.60000 0.90000, 0.00000 -6.71244 2.59088, 1.45157 -6.98157 3.00000, 4.89342 -7.61976 2.03004, 5.00000 -7.60000 2.00000"
1,-27.3095,Tx-I-I-I-I-Rx,4,-72.2397,"-6.00000 -5.60000 0.90000, 0.00000 -6.58822 1.99410, 5.51605 -7.49674 3.00000, 8.00000 -7.90585 2.54706, 7.42869 -8.00000 2.44288, 5.00000 -7.60000 2.00000"
1,-26.2583,Tx-I-I-I-Rx,3,-72.2397,"-6.00000 -5.60000 0.90000, -8.00000 -5.86666 1.31332, 0.00000 -6.93333 2.96664, 0.16119 -6.95483 3.00000, 5.00000 -7.60000 2.00000"
1,-34.0719,Tx-I-I-I-I-Rx,4,-72.2397,"-6.00000 -5.60000 0.90000, -8.00000 -5.79047 1.19523, 0.00000 -6.55238 2.37617, 4.22569 -6.95483 3.00000, 8.00000 -7.31428 2.44286, 5.00000 -7.60000 2.00000"
1,-27.7518,Tx-I-I-I-I-Rx,4,-72.2397,"-6.00000 -5.60000 0.90000, -8.00000 -5.87192 1.31332, 0.00000 -6.95965 2.96664, 0.16119 -6.98156 3.00000, 4.85467 -7.61976 2.03004, 5.00000 -7.60000 2.00000"
1,-5.1911,Tx-I-I-I-Rx,3,-72.2397,"-6.00000 -5.60000 0.90000, 1.69807 4.00000 2.30375, 5.51602 -0.76118 3.00000, 8.00000 -3.85879 2.54706, 5.00000 -7.60000 2.00000"
1,-11.7856,Tx-I-I-I-I-Rx,4,-72.2397,"-6.00000 -5.60000 0.90000, 1.41816 4.00000 2.25271, 5.51602 -1.30308 3.00000, 8.00000 -4.51758 2.54706, 5.30909 -8.00000 2.05636, 5.00000 -7.60000 2.00000"
1,-17.2268,Tx-I-I-Rx,2,-72.2397,"-6.00000 -5.60000 0.90000, 0.00000 -6.30588 1.28823, 8.00000 -7.24706 1.80588, 5.00000 -7.60000 2.00000"
1,-34.5758,Tx-I-I-I-I-Rx,4,-72.2397,"-6.00000 -5.60000 0.90000, 0.00000 -6.04444 1.58888, -8.00000 -6.63704 2.50739, -3.70990 -6.95482 3.00000, 0.00000 -7.22963 2.57408, 5.00000 -7.60000 2.00000"
1,-34.5775,Tx-I-I-I-I-Rx,4,-72.2397,"-6.00000 -5.60000 0.90000, 0.00000 -6.04444 1.58888, 8.00000 -6.63704 2.50739, 3.70990 -6.95482 3.00000, 0.00000 -7.22963 2.57408, 5.00000 -7.60000 2.00000"
1,-18.6460,Tx-I-I-I-Rx,3,-72.2397,"-6.00000 -5.60000 0.90000, 0.00000 -6.58822 1.28824, 8.00000 -7.90585 1.80588, 7.42869 -8.00000 1.84285, 5.00000 -7.60000 2.00000"
1,-7.6284,Tx-I-I-Rx,2,-72.2397,"-6.00000 -5.60000 0.90000, 0.00000 -6.71243 1.50000, 4.89342 -7.61976 1.98934, 5.00000 -7.60000 2.00000"
