Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-14.1882,Tx-I-I-I-I-Rx,4,-63.1167,"7.30900 2.93800 0.90000, 5.86468 4.00000 0.98677, 0.00000 -0.31204 1.33912, 8.00000 -6.19414 1.81976, 5.54403 -8.00000 1.96732, 5.00000 -7.60000 2.00000"
1,-15.9373,Tx-I-I-I-I-Rx,4,-63.1167,"7.30900 2.93800 0.90000, 8.00000 -3.52771 1.48034, 7.52209 -8.00000 1.88175, 6.23967 4.00000 2.95884, 6.19071 3.54189 3.00000, 5.00000 -7.60000 2.00000"
1,-0.4912,Tx-I-I-I-Rx,3,-63.1167,"7.30900 2.93800 0.90000, 8.00000 -1.22500 1.10592, 6.87555 -8.00000 1.44105, 5.90458 -2.15000 1.73042, 5.00000 -7.60000 2.00000"
1,-10.7234,Tx-I-I-I-I-Rx,4,-63.1167,"7.30900 2.93800 0.90000, 6.98625 -1.75000 1.05376, 6.59037 4.00000 1.24235, 6.19450 -1.75000 1.43094, 5.79863 4.00000 1.61953, 5.00000 -7.60000 2.00000"
1,-8.7471,Tx-I-I-I-I-Rx,4,-63.1167,"7.30900 2.93800 0.90000, 8.00000 -1.37476 1.10592, 6.93859 -8.00000 1.42226, 6.00133 -2.15000 1.70158, 5.06409 -8.00000 1.98090, 5.00000 -7.60000 2.00000"
1,-21.3399,Tx-I-I-I-I-Rx,4,-63.1167,"7.30900 2.93800 0.90000, 0.00000 0.21724 1.70037, 8.00000 -2.76075 2.57642, 4.13218 -4.20056 3.00000, 0.00000 -5.73875 2.54753, 5.00000 -7.60000 2.00000"
1,-9.2039,Tx-I-I-I-Rx,3,-63.1167,"7.30900 2.93800 0.90000, 5.77343 4.00000 0.99226, 0.00000 0.00730 1.33912, 8.00000 -5.52527 1.81976, 5.00000 -7.60000 2.00000"
1,0.0000,Tx-I-Rx,1,-63.1167,"7.30900 2.93800 0.90000, 5.74485 -4.20059 3.00000, 5.00000 -7.60000 2.00000"
1,-2.3333,Tx-I-I-Rx,2,-63.1167,"7.30900 2.93800 0.90000, 8.00000 0.96528 1.48032, 6.19067 -4.20058 3.00000, 5.00000 -7.60000 2.00000"
1,-6.5153,Tx-I-I-Rx,2,-63.1167,"7.30900 2.93800 0.90000, 7.11535 4.00000 1.15999, 5.74485 -3.51542 3.00000, 5.00000 -7.60000 2.00000"
