Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-120.0000,"7.30900 2.93800 0.90000, -9.85000 -7.85000 0.10000"
2,0.0000,Tx-Rx,0,-102.0284,"7.30900 2.93800 0.90000, -9.55000 -7.85000 0.10000"
3,0.0000,Tx-Rx,0,-120.0000,"7.30900 2.93800 0.90000, -9.25000 -7.85000 0.10000"
4,0.0000,Tx-Rx,0,-120.0000,"7.30900 2.93800 0.90000, -8.95000 -7.85000 0.10000"
5,0.0000,Tx-Rx,0,-120.0000,"7.30900 2.93800 0.90000, -8.65000 -7.85000 0.10000"
6,0.0000,Tx-Rx,0,-120.0000,"7.30900 2.93800 0.90000, -8.35000 -7.85000 0.10000"
7,0.0000,Tx-Rx,0,-108.8702,"7.30900 2.93800 0.90000, -8.05000 -7.85000 0.10000"
8,0.0000,Tx-Rx,0,-96.7635,"7.30900 2.93800 0.90000, -7.75000 -7.85000 0.10000"
9,0.0000,Tx-Rx,0,-110.2262,"7.30900 2.93800 0.90000, -7.45000 -7.85000 0.10000"
10,0.0000,Tx-Rx,0,-96.8872,"7.30900 2.93800 0.90000, -7.15000 -7.85000 0.10000"
11,0.0000,Tx-Rx,0,-91.4183,"7.30900 2.93800 0.90000, -6.85000 -7.85000 0.10000"
12,0.0000,Tx-Rx,0,-86.7397,"7.30900 2.93800 0.90000, -6.55000 -7.85000 0.10000"
13,0.0000,Tx-Rx,0,-83.4130,"7.30900 2.93800 0.90000, -6.25000 -7.85000 0.10000"
14,0.0000,Tx-Rx,0,-76.5640,"7.30900 2.93800 0.90000, -5.95000 -7.85000 0.10000"
15,0.0000,Tx-Rx,0,-74.4589,"7.30900 2.93800 0.90000, -5.65000 -7.85000 0.10000"
16,0.0000,Tx-Rx,0,-75.4629,"7.30900 2.93800 0.90000, -5.35000 -7.85000 0.10000"
17,0.0000,Tx-Rx,0,-75.8687,"7.30900 2.93800 0.90000, -5.05000 -7.85000 0.10000"
18,0.0000,Tx-Rx,0,-75.1372,"7.30900 2.93800 0.90000, -4.75000 -7.85000 0.10000"
19,0.0000,Tx-Rx,0,-79.7457,"7.30900 2.93800 0.90000, -4.45000 -7.85000 0.10000"
20,0.0000,Tx-Rx,0,-81.1016,"7.30900 2.93800 0.90000, -4.15000 -7.85000 0.10000"
21,0.0000,Tx-Rx,0,-81.2707,"7.30900 2.93800 0.90000, -3.85000 -7.85000 0.10000"
22,0.0000,Tx-Rx,0,-84.3680,"7.30900 2.93800 0.90000, -3.55000 -7.85000 0.10000"
23,0.0000,Tx-Rx,0,-86.2131,"7.30900 2.93800 0.90000, -3.25000 -7.85000 0.10000"
24,0.0000,Tx-Rx,0,-80.8960,"7.30900 2.93800 0.90000, -2.95000 -7.85000 0.10000"
25,0.0000,Tx-Rx,0,-78.2327,"7.30900 2.93800 0.90000, -2.65000 -7.85000 0.10000"
26,0.0000,Tx-Rx,0,-80.4014,"7.30900 2.93800 0.90000, -2.35000 -7.85000 0.10000"
27,0.0000,Tx-Rx,0,-82.9473,"7.30900 2.93800 0.90000, -2.05000 -7.85000 0.10000"
28,0.0000,Tx-Rx,0,-76.6734,"7.30900 2.93800 0.90000, -1.75000 -7.85000 0.10000"
29,0.0000,Tx-Rx,0,-75.7776,"7.30900 2.93800 0.90000, -1.45000 -7.85000 0.10000"
30,0.0000,Tx-Rx,0,-77.0315,"7.30900 2.93800 0.90000, -1.15000 -7.85000 0.10000"
31,0.0000,Tx-Rx,0,-78.3544,"7.30900 2.93800 0.90000, -0.85000 -7.85000 0.10000"
32,0.0000,Tx-Rx,0,-79.2261,"7.30900 2.93800 0.90000, -0.55000 -7.85000 0.10000"
33,0.0000,Tx-Rx,0,-78.9937,"7.30900 2.93800 0.90000, -0.25000 -7.85000 0.10000"
34,0.0000,Tx-Rx,0,-71.3730,"7.30900 2.93800 0.90000, 0.05000 -7.85000 0.10000"
35,0.0000,Tx-Rx,0,-69.3731,"7.30900 2.93800 0.90000, 0.35000 -7.85000 0.10000"
36,0.0000,Tx-Rx,0,-67.7325,"7.30900 2.93800 0.90000, 0.65000 -7.85000 0.10000"
37,0.0000,Tx-Rx,0,-69.3769,"7.30900 2.93800 0.90000, 0.95000 -7.85000 0.10000"
38,0.0000,Tx-Rx,0,-73.7468,"7.30900 2.93800 0.90000, 1.25000 -7.85000 0.10000"
39,0.0000,Tx-Rx,0,-75.0102,"7.30900 2.93800 0.90000, 1.55000 -7.85000 0.10000"
40,0.0000,Tx-Rx,0,-75.7664,"7.30900 2.93800 0.90000, 1.85000 -7.85000 0.10000"
41,0.0000,Tx-Rx,0,-77.6976,"7.30900 2.93800 0.90000, 2.15000 -7.85000 0.10000"
42,0.0000,Tx-Rx,0,-78.0457,"7.30900 2.93800 0.90000, 2.45000 -7.85000 0.10000"
43,0.0000,Tx-Rx,0,-81.0961,"7.30900 2.93800 0.90000, 2.75000 -7.85000 0.10000"
44,0.0000,Tx-Rx,0,-120.0000,"7.30900 2.93800 0.90000, 3.05000 -7.85000 0.10000"
45,0.0000,Tx-Rx,0,-114.9700,"7.30900 2.93800 0.90000, 3.35000 -7.85000 0.10000"
46,0.0000,Tx-Rx,0,-80.0141,"7.30900 2.93800 0.90000, 3.65000 -7.85000 0.10000"
47,0.0000,Tx-Rx,0,-77.8372,"7.30900 2.93800 0.90000, 3.95000 -7.85000 0.10000"
48,0.0000,Tx-Rx,0,-76.8170,"7.30900 2.93800 0.90000, 4.25000 -7.85000 0.10000"
49,0.0000,Tx-Rx,0,-72.6126,"7.30900 2.93800 0.90000, 4.55000 -7.85000 0.10000"
50,0.0000,Tx-Rx,0,-73.5195,"7.30900 2.93800 0.90000, 4.85000 -7.85000 0.10000"
51,0.0000,Tx-Rx,0,-76.9473,"7.30900 2.93800 0.90000, 5.15000 -7.85000 0.10000"
52,0.0000,Tx-Rx,0,-78.4069,"7.30900 2.93800 0.90000, 5.45000 -7.85000 0.10000"
53,0.0000,Tx-Rx,0,-78.2660,"7.30900 2.93800 0.90000, 5.75000 -7.85000 0.10000"
54,0.0000,Tx-Rx,0,-78.2548,"7.30900 2.93800 0.90000, 6.05000 -7.85000 0.10000"
55,0.0000,Tx-Rx,0,-77.7101,"7.30900 2.93800 0.90000, 6.35000 -7.85000 0.10000"
56,0.0000,Tx-Rx,0,-74.3766,"7.30900 2.93800 0.90000, 6.65000 -7.85000 0.10000"
57,0.0000,Tx-Rx,0,-70.1501,"7.30900 2.93800 0.90000, 6.95000 -7.85000 0.10000"
58,0.0000,Tx-Rx,0,-69.5085,"7.30900 2.93800 0.90000, 7.25000 -7.85000 0.10000"
59,0.0000,Tx-Rx,0,-70.8910,"7.30900 2.93800 0.90000, 7.55000 -7.85000 0.10000"
60,0.0000,Tx-Rx,0,-74.5222,"7.30900 2.93800 0.90000, 7.85000 -7.85000 0.10000"
61,0.0000,Tx-Rx,0,-97.2107,"7.30900 2.93800 0.90000, -9.85000 -7.55000 0.10000"
