Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-17.5017,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.18103 4.00000 0.96096, 6.83761 1.15000 1.12457, 6.49419 4.00000 1.28817, 5.04820 -8.00000 1.97704, 5.00000 -7.60000 2.00000"
1,-17.7894,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 5.86468 4.00000 0.98677, 0.00000 -0.31204 1.33912, 8.00000 -6.19414 1.81976, 5.54403 -8.00000 1.96732, 5.00000 -7.60000 2.00000"
1,-20.3601,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 0.50073 -8.00000 1.30904, 0.00000 -7.19562 1.33912, 5.37409 1.43837 1.66200, 8.00000 -2.78025 1.81976, 5.00000 -7.60000 2.00000"
1,-20.3601,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 0.50115 -8.00000 1.30901, 0.00000 -7.19491 1.33912, 5.37331 1.43837 1.66195, 8.00000 -2.78091 1.81976, 5.00000 -7.60000 2.00000"
1,-24.9410,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 0.00000 0.21724 1.70037, 8.00000 -2.76075 2.57642, 4.13218 -4.20056 3.00000, 0.00000 -5.73875 2.54753, 5.00000 -7.60000 2.00000"
1,-8.4424,Tx-I-I-I-Rx,3,-63.8946,"7.30900 2.93800 0.90000, 7.06669 1.15000 1.01543, 6.68046 4.00000 1.19943, 5.05421 -8.00000 1.97418, 5.00000 -7.60000 2.00000"
1,-12.8051,Tx-I-I-I-Rx,3,-63.8946,"7.30900 2.93800 0.90000, 5.77343 4.00000 0.99226, 0.00000 0.00730 1.33912, 8.00000 -5.52527 1.81976, 5.00000 -7.60000 2.00000"
1,0.0000,Tx-I-I-Rx,2,-63.8946,"7.30900 2.93800 0.90000, 7.05476 1.15000 1.02112, 6.64950 4.00000 1.21419, 5.00000 -7.60000 2.00000"
1,-9.1438,Tx-I-I-I-Rx,3,-63.8946,"7.30900 2.93800 0.90000, 7.05476 1.15000 1.24134, 6.64949 4.00000 1.78543, 5.74485 -2.36184 3.00000, 5.00000 -7.60000 2.00000"
1,-10.8706,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.71540 1.15000 1.24134, 8.00000 2.40185 1.48033, 7.63676 4.00000 1.78543, 6.19067 -2.36184 3.00000, 5.00000 -7.60000 2.00000"
1,-9.0921,Tx-I-I-I-Rx,3,-63.8946,"7.30900 2.93800 0.90000, 7.17546 4.00000 0.96362, 6.81707 1.15000 1.13435, 6.45869 4.00000 1.30508, 5.00000 -7.60000 2.00000"
1,-17.1576,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.17546 4.00000 1.07929, 6.81707 1.15000 1.56044, 6.45869 4.00000 2.04159, 5.74486 -1.67664 3.00000, 5.00000 -7.60000 2.00000"
1,-17.2263,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.06669 1.15000 1.22531, 6.68046 4.00000 1.74385, 5.74485 -2.90374 3.00000, 5.05421 -8.00000 2.07278, 5.00000 -7.60000 2.00000"
1,-4.2168,Tx-I-I-Rx,2,-63.8946,"7.30900 2.93800 0.90000, 6.27665 4.00000 0.99226, 0.00000 -2.45659 1.55317, 5.00000 -7.60000 2.00000"
1,-12.6455,Tx-I-I-I-Rx,3,-63.8946,"7.30900 2.93800 0.90000, 6.27665 4.00000 1.15999, 0.00000 -2.45660 2.74075, 1.02929 -3.51542 3.00000, 5.00000 -7.60000 2.00000"
1,-19.3655,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 5.77343 4.00000 1.15999, 0.00000 0.00730 2.13751, 5.09379 -3.51544 3.00000, 8.00000 -5.52527 2.50795, 5.00000 -7.60000 2.00000"
1,-5.3406,Tx-I-I-I-Rx,3,-63.8946,"7.30900 2.93800 0.90000, 5.60640 1.48043 1.05215, 5.55731 1.43837 1.05654, 0.00000 -3.31938 1.55317, 5.00000 -7.60000 2.00000"
1,-14.4924,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 5.60640 1.48043 1.32879, 5.55731 1.43837 1.34115, 0.00000 -3.31939 2.74074, 1.02929 -4.20059 3.00000, 5.00000 -7.60000 2.00000"
1,-16.9590,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 6.71385 4.00000 1.16000, 5.60640 2.02400 1.64378, 8.00000 -2.24697 2.68941, 7.28916 -3.51538 3.00000, 5.00000 -7.60000 2.00000"
1,-16.9510,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 6.71446 4.00000 1.16000, 5.60640 2.02090 1.64453, 8.00000 -2.24869 2.68984, 7.28989 -3.51538 3.00000, 5.00000 -7.60000 2.00000"
1,-6.6638,Tx-I-I-I-Rx,3,-63.8946,"7.30900 2.93800 0.90000, 5.60640 1.64686 1.03477, 6.40000 1.04507 1.09759, 0.00000 -3.80830 1.60421, 5.00000 -7.60000 2.00000"
1,-15.5833,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 5.60640 1.64686 1.27982, 6.40000 1.04507 1.45685, 0.00000 -3.80831 2.88458, 0.51727 -4.20058 3.00000, 5.00000 -7.60000 2.00000"
1,-10.6390,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.12081 1.15000 0.98965, 6.82085 4.00000 1.13256, 6.52088 1.15000 1.27546, 6.22092 4.00000 1.41836, 5.00000 -7.60000 2.00000"
1,-11.1431,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.17546 4.00000 0.82101, 7.08421 3.27438 0.76698, 6.81707 1.15000 0.92500, 6.45869 4.00000 1.13702, 5.00000 -7.60000 2.00000"
1,-9.3561,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 5.60640 1.64686 0.71195, 5.87284 1.44480 0.68249, 6.40000 1.04507 0.74071, 0.00000 -3.80830 1.44768, 5.00000 -7.60000 2.00000"
1,-15.1267,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 8.00000 2.40615 0.82254, 7.50481 2.02498 0.76698, 6.75138 1.44507 0.68249, 0.00000 -3.75147 1.43940, 5.00000 -7.60000 2.00000"
1,-25.4040,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 5.78540 3.03730 0.72721, 5.53512 -8.00000 1.77010, 5.26302 4.00000 2.90396, 5.23998 2.98396 3.00000, 5.00000 -7.60000 2.00000"
1,-21.2786,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 6.82267 3.43827 0.76698, 6.27665 4.00000 0.91627, 0.00000 -2.45660 2.63268, 1.34312 -3.83825 3.00000, 5.00000 -7.60000 2.00000"
1,-15.7160,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 6.74451 3.51868 0.76698, 6.27664 4.00000 0.65678, 3.48907 1.13252 0.00000, 0.00000 -2.45659 0.82200, 5.00000 -7.60000 2.00000"
1,-22.8676,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.84999 2.52160 0.76698, 8.00000 2.40618 0.80384, 0.00000 -3.75148 2.77070, 0.93253 -4.46926 3.00000, 5.00000 -7.60000 2.00000"
