Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-17.5017,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.18103 4.00000 0.96096, 6.83761 1.15000 1.12457, 6.49419 4.00000 1.28817, 5.04820 -8.00000 1.97704, 5.00000 -7.60000 2.00000"
1,-59.3246,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.49740 2.79559 0.92588, 3.83324 -0.25236 3.00000, 0.00000 -3.44091 0.83025, 1.46669 -4.66093 0.00000, 5.00000 -7.60000 2.00000"
1,-38.3592,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 4.59926 4.00000 1.16000, -10.00000 -1.72144 2.56077, -5.42261 -3.51535 3.00000, 0.00000 -5.64047 2.47975, 5.00000 -7.60000 2.00000"
1,-59.5863,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.49611 2.80174 0.91967, 3.82459 -0.25446 3.00000, 0.00000 -3.43802 0.83302, 1.47015 -4.66177 0.00000, 5.00000 -7.60000 2.00000"
1,-59.5723,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.49624 2.80159 0.92030, 3.82547 -0.25391 3.00000, 0.00000 -3.43812 0.83274, 1.46980 -4.66155 0.00000, 5.00000 -7.60000 2.00000"
1,-17.7894,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 5.86468 4.00000 0.98677, 0.00000 -0.31204 1.33912, 8.00000 -6.19414 1.81976, 5.54403 -8.00000 1.96732, 5.00000 -7.60000 2.00000"
1,-59.5981,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.49607 2.80211 0.91948, 3.82432 -0.25441 3.00000, 0.00000 -3.43786 0.83311, 1.47026 -4.66175 0.00000, 5.00000 -7.60000 2.00000"
1,-59.5982,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.49603 2.80195 0.91925, 3.82400 -0.25475 3.00000, 0.00000 -3.43791 0.83322, 1.47039 -4.66189 0.00000, 5.00000 -7.60000 2.00000"
1,-59.5655,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.49633 2.80161 0.92073, 3.82607 -0.25345 3.00000, 0.00000 -3.43814 0.83255, 1.46956 -4.66137 0.00000, 5.00000 -7.60000 2.00000"
1,-59.5619,Tx-I-I-I-I-Rx,4,-63.8946,"7.30900 2.93800 0.90000, 7.49634 2.80146 0.92075, 3.82610 -0.25354 3.00000, 0.00000 -3.43820 0.83254, 1.46955 -4.66140 0.00000, 5.00000 -7.60000 2.00000"
