Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-29.2151,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 2.33407 -8.00000 1.24836, 0.00000 -2.86838 1.41180, 3.12390 4.00000 1.63055, 6.70000 -3.86232 1.88096, 5.00000 -7.60000 2.00000"
1,-12.8872,Tx-I-I-Rx,2,-53.6529,"7.30900 2.93800 0.90000, 7.11534 4.00000 0.78543, 7.08424 3.82946 0.76698, 5.00000 -7.60000 2.00000"
1,-15.1450,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 7.61857 4.00000 0.78545, 7.66834 3.82926 0.76698, 8.00000 2.69168 0.88969, 5.00000 -7.60000 2.00000"
1,-21.1556,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 7.12685 4.00000 0.79224, 7.08424 3.75159 0.76698, 5.06861 -8.00000 1.95941, 5.00000 -7.60000 2.00000"
1,-23.1539,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.60017 4.00000 0.79226, 7.66834 3.75138 0.76698, 8.00000 2.54193 0.88969, 5.10967 -8.00000 1.95941, 5.00000 -7.60000 2.00000"
1,-15.2293,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 7.61857 4.00000 0.78339, 7.66199 3.85106 0.76698, 8.00000 2.69168 0.89180, 5.00000 -7.60000 2.00000"
1,-23.2303,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.60017 4.00000 0.79032, 7.66199 3.77456 0.76698, 8.00000 2.54193 0.89180, 5.10967 -8.00000 1.95949, 5.00000 -7.60000 2.00000"
1,-26.7676,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 8.00000 2.40615 0.82254, 7.50481 2.02498 0.76698, 6.75138 1.44507 0.68249, 0.00000 -3.75147 1.43940, 5.00000 -7.60000 2.00000"
1,-5.0945,Tx-I-Rx,1,-53.6529,"7.30900 2.93800 0.90000, 6.98188 1.44505 0.68249, 5.00000 -7.60000 2.00000"
1,-26.5045,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.21778 2.00023 0.76698, 6.77032 -2.60000 1.41924, 6.12834 4.00000 2.35512, 5.68599 -0.54757 3.00000, 5.00000 -7.60000 2.00000"
1,-27.3569,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 6.74451 3.51868 0.76698, 6.27664 4.00000 0.65678, 3.48907 1.13252 0.00000, 0.00000 -2.45659 0.82200, 5.00000 -7.60000 2.00000"
1,-24.4460,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 5.77343 4.00000 0.99226, 0.00000 0.00730 1.33912, 8.00000 -5.52527 1.81976, 5.00000 -7.60000 2.00000"
1,-29.4302,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 5.86468 4.00000 0.98677, 0.00000 -0.31204 1.33912, 8.00000 -6.19414 1.81976, 5.54403 -8.00000 1.96732, 5.00000 -7.60000 2.00000"
1,-23.2503,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 6.78788 -2.60000 1.14826, 6.16683 4.00000 1.44413, 5.03764 -8.00000 1.98207, 5.00000 -7.60000 2.00000"
1,-14.9100,Tx-I-I-Rx,2,-53.6529,"7.30900 2.93800 0.90000, 6.77032 -2.60000 1.15662, 6.12834 4.00000 1.46246, 5.00000 -7.60000 2.00000"
1,-20.9454,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 6.77032 -2.60000 1.62321, 6.12834 4.00000 2.48512, 5.74486 0.05767 3.00000, 5.00000 -7.60000 2.00000"
1,-29.1341,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 6.78788 -2.60000 1.59964, 6.16683 4.00000 2.43344, 5.74486 -0.48423 3.00000, 5.03764 -8.00000 2.05053, 5.00000 -7.60000 2.00000"
1,-18.0359,Tx-I-I-Rx,2,-53.6529,"7.30900 2.93800 0.90000, 7.12685 4.00000 0.98677, 5.06861 -8.00000 1.96731, 5.00000 -7.60000 2.00000"
1,-20.1460,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 7.60017 4.00000 0.98678, 8.00000 2.54193 1.10592, 5.10967 -8.00000 1.96731, 5.00000 -7.60000 2.00000"
1,0.0000,Tx-Rx,0,-53.6529,"7.30900 2.93800 0.90000, 5.00000 -7.60000 2.00000"
1,-15.2420,Tx-I-Rx,1,-53.6529,"7.30900 2.93800 0.90000, 5.74485 -4.20059 3.00000, 5.00000 -7.60000 2.00000"
1,-17.5753,Tx-I-I-Rx,2,-53.6529,"7.30900 2.93800 0.90000, 8.00000 0.96528 1.48032, 6.19067 -4.20058 3.00000, 5.00000 -7.60000 2.00000"
1,-9.5126,Tx-I-Rx,1,-53.6529,"7.30900 2.93800 0.90000, 7.11535 4.00000 0.99226, 5.00000 -7.60000 2.00000"
1,-21.7574,Tx-I-I-Rx,2,-53.6529,"7.30900 2.93800 0.90000, 7.11535 4.00000 1.15999, 5.74485 -3.51542 3.00000, 5.00000 -7.60000 2.00000"
1,-11.9019,Tx-I-I-Rx,2,-53.6529,"7.30900 2.93800 0.90000, 7.61856 4.00000 0.99226, 8.00000 2.69168 1.10592, 5.00000 -7.60000 2.00000"
1,-23.7845,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 7.61856 4.00000 1.16000, 8.00000 2.69167 1.48032, 6.19067 -3.51541 3.00000, 5.00000 -7.60000 2.00000"
1,-22.6478,Tx-I-I-Rx,2,-53.6529,"7.30900 2.93800 0.90000, 5.74485 -4.74249 3.00000, 5.08146 -8.00000 2.10937, 5.00000 -7.60000 2.00000"
1,-24.4928,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 8.00000 0.81553 1.48032, 6.19067 -4.74248 3.00000, 5.13022 -8.00000 2.10937, 5.00000 -7.60000 2.00000"
1,-29.6099,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 7.12685 4.00000 1.14454, 5.74485 -4.05732 3.00000, 5.06861 -8.00000 2.09211, 5.00000 -7.60000 2.00000"
1,-15.8577,Tx-I-I-Rx,2,-53.6529,"7.30900 2.93800 0.90000, 6.27665 4.00000 0.99226, 0.00000 -2.45659 1.55317, 5.00000 -7.60000 2.00000"
1,-24.2864,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 6.27665 4.00000 1.15999, 0.00000 -2.45660 2.74075, 1.02929 -3.51542 3.00000, 5.00000 -7.60000 2.00000"
1,-16.9814,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 5.60640 1.48043 1.05215, 5.55731 1.43837 1.05654, 0.00000 -3.31938 1.55317, 5.00000 -7.60000 2.00000"
1,-26.1332,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 5.60640 1.48043 1.32879, 5.55731 1.43837 1.34115, 0.00000 -3.31939 2.74074, 1.02929 -4.20059 3.00000, 5.00000 -7.60000 2.00000"
