Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-71.2148,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49680 2.80221 0.92302, 3.82925 -0.25066 3.00000, 0.00000 -3.43806 0.83153, 1.46829 -4.66025 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2002,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49637 2.80145 0.92089, 3.82629 -0.25340 3.00000, 0.00000 -3.43822 0.83248, 1.46948 -4.66135 0.00000, 5.00000 -7.60000 2.00000"
1,-70.9604,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49492 2.79727 0.91389, 3.81655 -0.26361 3.00000, 0.00000 -3.43941 0.83561, 1.47337 -4.66543 0.00000, 5.00000 -7.60000 2.00000"
1,-71.0501,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49755 2.79995 0.92661, 3.83427 -0.24852 3.00000, 0.00000 -3.43921 0.82992, 1.46628 -4.65940 0.00000, 5.00000 -7.60000 2.00000"
1,-65.9515,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 7.17737 4.00000 0.96271, 6.80760 6.98316 1.13886, 6.43784 4.00000 1.31502, 5.00000 -7.60000 2.00000"
1,-71.1630,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49589 2.80211 0.91858, 3.82308 -0.25533 3.00000, 0.00000 -3.43780 0.83351, 1.47076 -4.66212 0.00000, 5.00000 -7.60000 2.00000"
1,-71.1863,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49678 2.80092 0.92292, 3.82912 -0.25167 3.00000, 0.00000 -3.43857 0.83157, 1.46834 -4.66066 0.00000, 5.00000 -7.60000 2.00000"
1,-37.1000,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.04114 -2.60000 1.02761, 6.72191 4.00000 1.17969, 6.14149 -8.00000 1.45620, 5.56107 4.00000 1.73271, 5.00000 -7.60000 2.00000"
1,-71.3447,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49541 2.80274 0.91627, 3.81986 -0.25728 3.00000, 0.00000 -3.43738 0.83454, 1.47205 -4.66290 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2208,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49618 2.80170 0.92000, 3.82505 -0.25415 3.00000, 0.00000 -3.43806 0.83288, 1.46997 -4.66165 0.00000, 5.00000 -7.60000 2.00000"
1,-54.5346,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 4.09603 4.00000 0.99226, -10.00000 -0.65900 1.39701, 0.00000 -3.96424 1.68415, 8.00000 -6.60842 1.91386, 5.00000 -7.60000 2.00000"
1,-61.7778,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, -10.00000 -0.83773 1.29413, 0.00000 -3.01911 1.52183, -8.00000 -4.76420 1.70399, 0.00000 -6.50931 1.88615, 5.00000 -7.60000 2.00000"
1,-61.7778,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, -10.00000 -0.83773 1.29413, 0.00000 -3.01911 1.52183, 8.00000 -4.76420 1.70399, 0.00000 -6.50931 1.88615, 5.00000 -7.60000 2.00000"
1,-29.2151,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 2.33407 -8.00000 1.24836, 0.00000 -2.86838 1.41180, 3.12390 4.00000 1.63055, 6.70000 -3.86232 1.88096, 5.00000 -7.60000 2.00000"
1,-32.0009,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 0.50115 -8.00000 1.30901, 0.00000 -7.19491 1.33912, 5.37331 1.43837 1.66195, 8.00000 -2.78091 1.81976, 5.00000 -7.60000 2.00000"
1,-32.0009,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 0.50073 -8.00000 1.30904, 0.00000 -7.19562 1.33912, 5.37409 1.43837 1.66200, 8.00000 -2.78025 1.81976, 5.00000 -7.60000 2.00000"
1,-50.0952,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 4.60768 4.00000 0.99197, -10.00000 -1.74258 1.48930, 0.00000 -5.67384 1.82977, 4.94974 -7.61976 1.99829, 5.00000 -7.60000 2.00000"
1,-71.2158,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49623 2.80166 0.92025, 3.82540 -0.25392 3.00000, 0.00000 -3.43809 0.83277, 1.46983 -4.66156 0.00000, 5.00000 -7.60000 2.00000"
1,-12.8872,Tx-I-I-Rx,2,-53.6529,"7.30900 2.93800 0.90000, 7.11534 4.00000 0.78543, 7.08424 3.82946 0.76698, 5.00000 -7.60000 2.00000"
1,-15.1450,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 7.61857 4.00000 0.78545, 7.66834 3.82926 0.76698, 8.00000 2.69168 0.88969, 5.00000 -7.60000 2.00000"
1,-21.1556,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 7.12685 4.00000 0.79224, 7.08424 3.75159 0.76698, 5.06861 -8.00000 1.95941, 5.00000 -7.60000 2.00000"
1,-23.1539,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.60017 4.00000 0.79226, 7.66834 3.75138 0.76698, 8.00000 2.54193 0.88969, 5.10967 -8.00000 1.95941, 5.00000 -7.60000 2.00000"
1,-71.2145,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49625 2.80166 0.92031, 3.82549 -0.25386 3.00000, 0.00000 -3.43810 0.83274, 1.46980 -4.66153 0.00000, 5.00000 -7.60000 2.00000"
1,-15.2293,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 7.61857 4.00000 0.78339, 7.66199 3.85106 0.76698, 8.00000 2.69168 0.89180, 5.00000 -7.60000 2.00000"
1,-23.2303,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.60017 4.00000 0.79032, 7.66199 3.77456 0.76698, 8.00000 2.54193 0.89180, 5.10967 -8.00000 1.95949, 5.00000 -7.60000 2.00000"
1,-26.7676,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 8.00000 2.40615 0.82254, 7.50481 2.02498 0.76698, 6.75138 1.44507 0.68249, 0.00000 -3.75147 1.43940, 5.00000 -7.60000 2.00000"
1,-5.0945,Tx-I-Rx,1,-53.6529,"7.30900 2.93800 0.90000, 6.98188 1.44505 0.68249, 5.00000 -7.60000 2.00000"
1,-26.5045,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.21778 2.00023 0.76698, 6.77032 -2.60000 1.41924, 6.12834 4.00000 2.35512, 5.68599 -0.54757 3.00000, 5.00000 -7.60000 2.00000"
1,-37.0449,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 5.78540 3.03730 0.72721, 5.53512 -8.00000 1.77010, 5.26302 4.00000 2.90396, 5.23998 2.98396 3.00000, 5.00000 -7.60000 2.00000"
1,-32.9195,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 6.82267 3.43827 0.76698, 6.27665 4.00000 0.91627, 0.00000 -2.45660 2.63268, 1.34312 -3.83825 3.00000, 5.00000 -7.60000 2.00000"
1,-27.3569,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 6.74451 3.51868 0.76698, 6.27664 4.00000 0.65678, 3.48907 1.13252 0.00000, 0.00000 -2.45659 0.82200, 5.00000 -7.60000 2.00000"
1,-34.5085,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.84999 2.52160 0.76698, 8.00000 2.40618 0.80384, 0.00000 -3.75148 2.77070, 0.93253 -4.46926 3.00000, 5.00000 -7.60000 2.00000"
1,-71.2189,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49622 2.80176 0.92019, 3.82532 -0.25391 3.00000, 0.00000 -3.43805 0.83279, 1.46986 -4.66155 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2217,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49625 2.80196 0.92033, 3.82550 -0.25362 3.00000, 0.00000 -3.43797 0.83273, 1.46979 -4.66144 0.00000, 5.00000 -7.60000 2.00000"
1,-71.1924,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49626 2.80077 0.92038, 3.82558 -0.25442 3.00000, 0.00000 -3.43846 0.83271, 1.46976 -4.66175 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2068,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49615 2.80099 0.91983, 3.82481 -0.25483 3.00000, 0.00000 -3.43833 0.83296, 1.47007 -4.66192 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2094,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49630 2.80163 0.92059, 3.82587 -0.25359 3.00000, 0.00000 -3.43813 0.83261, 1.46964 -4.66142 0.00000, 5.00000 -7.60000 2.00000"
1,-24.4460,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 5.77343 4.00000 0.99226, 0.00000 0.00730 1.33912, 8.00000 -5.52527 1.81976, 5.00000 -7.60000 2.00000"
1,-70.9654,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49740 2.79559 0.92588, 3.83324 -0.25236 3.00000, 0.00000 -3.44091 0.83025, 1.46669 -4.66093 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2368,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49623 2.80254 0.92024, 3.82538 -0.25331 3.00000, 0.00000 -3.43774 0.83277, 1.46984 -4.66131 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2727,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49618 2.80385 0.91998, 3.82503 -0.25265 3.00000, 0.00000 -3.43720 0.83289, 1.46998 -4.66105 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2113,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49624 2.80149 0.92028, 3.82543 -0.25401 3.00000, 0.00000 -3.43816 0.83276, 1.46982 -4.66159 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2037,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49632 2.80146 0.92068, 3.82600 -0.25361 3.00000, 0.00000 -3.43820 0.83257, 1.46959 -4.66144 0.00000, 5.00000 -7.60000 2.00000"
1,-55.4312,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, -10.00000 -1.82333 2.30064, -1.35786 -4.20062 3.00000, 0.00000 -4.57413 2.89013, 8.00000 -6.77476 2.24276, 5.00000 -7.60000 2.00000"
1,-71.1884,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49630 2.80072 0.92056, 3.82582 -0.25427 3.00000, 0.00000 -3.43849 0.83263, 1.46966 -4.66170 0.00000, 5.00000 -7.60000 2.00000"
1,-50.0001,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 4.59926 4.00000 1.16000, -10.00000 -1.72144 2.56077, -5.42262 -3.51535 3.00000, 0.00000 -5.64047 2.47975, 5.00000 -7.60000 2.00000"
1,-71.2271,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49611 2.80174 0.91967, 3.82459 -0.25446 3.00000, 0.00000 -3.43802 0.83302, 1.47015 -4.66177 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2132,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49624 2.80159 0.92030, 3.82547 -0.25391 3.00000, 0.00000 -3.43812 0.83274, 1.46980 -4.66155 0.00000, 5.00000 -7.60000 2.00000"
1,-29.4302,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 5.86468 4.00000 0.98677, 0.00000 -0.31204 1.33912, 8.00000 -6.19414 1.81976, 5.54403 -8.00000 1.96732, 5.00000 -7.60000 2.00000"
1,-71.2390,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49607 2.80211 0.91948, 3.82432 -0.25441 3.00000, 0.00000 -3.43786 0.83311, 1.47026 -4.66175 0.00000, 5.00000 -7.60000 2.00000"
1,-31.1794,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 8.00000 -3.52771 1.48034, 7.52209 -8.00000 1.88175, 6.23967 4.00000 2.95884, 6.19071 3.54189 3.00000, 5.00000 -7.60000 2.00000"
1,-71.2391,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49603 2.80195 0.91925, 3.82400 -0.25475 3.00000, 0.00000 -3.43791 0.83322, 1.47039 -4.66189 0.00000, 5.00000 -7.60000 2.00000"
1,-23.2503,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 6.78788 -2.60000 1.14826, 6.16683 4.00000 1.44413, 5.03764 -8.00000 1.98207, 5.00000 -7.60000 2.00000"
1,-36.3179,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 3.46163 -7.61976 1.86897, 0.00000 1.87929 2.74078, 0.77279 4.00000 2.93541, 1.02915 3.29654 3.00000, 5.00000 -7.60000 2.00000"
1,-71.2064,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49633 2.80161 0.92073, 3.82607 -0.25345 3.00000, 0.00000 -3.43814 0.83255, 1.46956 -4.66137 0.00000, 5.00000 -7.60000 2.00000"
1,-48.7729,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 6.60729 4.00000 0.96271, 4.63611 6.98316 1.13886, 0.00000 -0.03301 1.55317, 5.00000 -7.60000 2.00000"
1,-71.2028,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49634 2.80146 0.92075, 3.82610 -0.25354 3.00000, 0.00000 -3.43820 0.83254, 1.46955 -4.66140 0.00000, 5.00000 -7.60000 2.00000"
1,-71.1657,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49596 2.80246 0.91894, 3.82357 -0.25472 3.00000, 0.00000 -3.43768 0.83335, 1.47056 -4.66188 0.00000, 5.00000 -7.60000 2.00000"
1,-71.3212,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49563 2.80249 0.91736, 3.82138 -0.25633 3.00000, 0.00000 -3.43756 0.83406, 1.47144 -4.66252 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2128,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49469 2.80274 0.91281, 3.81504 -0.26087 3.00000, 0.00000 -3.43715 0.83609, 1.47397 -4.66434 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2946,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49532 2.80035 0.91584, 3.81925 -0.25942 3.00000, 0.00000 -3.43831 0.83474, 1.47229 -4.66376 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2205,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49618 2.80170 0.92001, 3.82506 -0.25415 3.00000, 0.00000 -3.43806 0.83288, 1.46997 -4.66165 0.00000, 5.00000 -7.60000 2.00000"
1,-49.1337,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 5.39359 2.08633 0.96521, 1.08957 4.00000 1.11175, -10.00000 -0.93062 1.48930, 0.00000 -5.37687 1.82977, 5.00000 -7.60000 2.00000"
1,-71.3001,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49468 2.80615 0.91275, 3.81496 -0.25852 3.00000, 0.00000 -3.43577 0.83612, 1.47401 -4.66340 0.00000, 5.00000 -7.60000 2.00000"
1,-14.9100,Tx-I-I-Rx,2,-53.6529,"7.30900 2.93800 0.90000, 6.77032 -2.60000 1.15662, 6.12834 4.00000 1.46246, 5.00000 -7.60000 2.00000"
1,-71.2137,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49624 2.80160 0.92028, 3.82544 -0.25393 3.00000, 0.00000 -3.43812 0.83276, 1.46982 -4.66156 0.00000, 5.00000 -7.60000 2.00000"
1,-20.9454,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 6.77032 -2.60000 1.62321, 6.12834 4.00000 2.48512, 5.74486 0.05767 3.00000, 5.00000 -7.60000 2.00000"
1,-29.1341,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 6.78788 -2.60000 1.59964, 6.16683 4.00000 2.43344, 5.74486 -0.48423 3.00000, 5.03764 -8.00000 2.05053, 5.00000 -7.60000 2.00000"
1,-71.2177,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49623 2.80175 0.92025, 3.82540 -0.25386 3.00000, 0.00000 -3.43806 0.83277, 1.46983 -4.66153 0.00000, 5.00000 -7.60000 2.00000"
1,-55.3894,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 6.57840 4.00000 1.08400, 4.77946 6.61486 1.53706, 0.00000 -0.33225 2.74076, 1.02927 -1.82835 3.00000, 5.00000 -7.60000 2.00000"
1,-18.0359,Tx-I-I-Rx,2,-53.6529,"7.30900 2.93800 0.90000, 7.12685 4.00000 0.98677, 5.06861 -8.00000 1.96731, 5.00000 -7.60000 2.00000"
1,-71.2211,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49619 2.80173 0.92002, 3.82508 -0.25411 3.00000, 0.00000 -3.43805 0.83287, 1.46996 -4.66163 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2271,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49640 2.80269 0.92105, 3.82651 -0.25236 3.00000, 0.00000 -3.43773 0.83241, 1.46939 -4.66093 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2195,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49620 2.80170 0.92007, 3.82515 -0.25407 3.00000, 0.00000 -3.43806 0.83285, 1.46993 -4.66162 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2213,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49622 2.80185 0.92018, 3.82531 -0.25385 3.00000, 0.00000 -3.43801 0.83280, 1.46987 -4.66153 0.00000, 5.00000 -7.60000 2.00000"
1,-71.2170,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49605 2.80111 0.91938, 3.82419 -0.25521 3.00000, 0.00000 -3.43825 0.83316, 1.47032 -4.66207 0.00000, 5.00000 -7.60000 2.00000"
1,-20.1460,Tx-I-I-I-Rx,3,-53.6529,"7.30900 2.93800 0.90000, 7.60017 4.00000 0.98678, 8.00000 2.54193 1.10592, 5.10967 -8.00000 1.96731, 5.00000 -7.60000 2.00000"
1,-71.0289,Tx-I-I-I-I-Rx,4,-53.6529,"7.30900 2.93800 0.90000, 7.49645 2.79420 0.92132, 3.82688 -0.25808 3.00000, 0.00000 -3.44115 0.83229, 1.46924 -4.66322 0.00000, 5.00000 -7.60000 2.00000"
