Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-270.0000,"7.30900 2.93800 0.90000, -9.85000 -7.85000 0.10000"
2,0.0000,Tx-Rx,0,-102.0284,"7.30900 2.93800 0.90000, -9.55000 -7.85000 0.10000"
3,0.0000,Tx-Rx,0,-126.6581,"7.30900 2.93800 0.90000, -9.25000 -7.85000 0.10000"
4,0.0000,Tx-Rx,0,-270.0000,"7.30900 2.93800 0.90000, -8.95000 -7.85000 0.10000"
5,0.0000,Tx-Rx,0,-270.0000,"7.30900 2.93800 0.90000, -8.65000 -7.85000 0.10000"
6,0.0000,Tx-Rx,0,-270.0000,"7.30900 2.93800 0.90000, -8.35000 -7.85000 0.10000"
7,0.0000,Tx-Rx,0,-112.0740,"7.30900 2.93800 0.90000, -8.05000 -7.85000 0.10000"
8,0.0000,Tx-Rx,0,-96.7635,"7.30900 2.93800 0.90000, -7.75000 -7.85000 0.10000"
9,0.0000,Tx-Rx,0,-110.2262,"7.30900 2.93800 0.90000, -7.45000 -7.85000 0.10000"
10,0.0000,Tx-Rx,0,-96.8872,"7.30900 2.93800 0.90000, -7.15000 -7.85000 0.10000"
11,0.0000,Tx-Rx,0,-91.4183,"7.30900 2.93800 0.90000, -6.85000 -7.85000 0.10000"
12,0.0000,Tx-Rx,0,-86.6716,"7.30900 2.93800 0.90000, -6.55000 -7.85000 0.10000"
13,0.0000,Tx-Rx,0,-83.4665,"7.30900 2.93800 0.90000, -6.25000 -7.85000 0.10000"
14,0.0000,Tx-Rx,0,-75.4094,"7.30900 2.93800 0.90000, -5.95000 -7.85000 0.10000"
15,0.0000,Tx-Rx,0,-72.8771,"7.30900 2.93800 0.90000, -5.65000 -7.85000 0.10000"
16,0.0000,Tx-Rx,0,-73.7305,"7.30900 2.93800 0.90000, -5.35000 -7.85000 0.10000"
17,0.0000,Tx-Rx,0,-75.4710,"7.30900 2.93800 0.90000, -5.05000 -7.85000 0.10000"
18,0.0000,Tx-Rx,0,-74.7113,"7.30900 2.93800 0.90000, -4.75000 -7.85000 0.10000"
19,0.0000,Tx-Rx,0,-75.0781,"7.30900 2.93800 0.90000, -4.45000 -7.85000 0.10000"
20,0.0000,Tx-Rx,0,-78.2127,"7.30900 2.93800 0.90000, -4.15000 -7.85000 0.10000"
21,0.0000,Tx-Rx,0,-80.7426,"7.30900 2.93800 0.90000, -3.85000 -7.85000 0.10000"
22,0.0000,Tx-Rx,0,-82.4543,"7.30900 2.93800 0.90000, -3.55000 -7.85000 0.10000"
23,0.0000,Tx-Rx,0,-83.2323,"7.30900 2.93800 0.90000, -3.25000 -7.85000 0.10000"
24,0.0000,Tx-Rx,0,-79.7479,"7.30900 2.93800 0.90000, -2.95000 -7.85000 0.10000"
