Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-8.5159,Tx-I-I-I-Rx,3,-60.8116,"7.30900 2.93800 0.90000, 5.47060 -8.00000 1.77581, 5.26891 -6.80000 1.87189, 5.06723 -8.00000 1.96797, 5.00000 -7.60000 2.00000"
1,-2.3411,Tx-I-I-I-Rx,3,-60.8116,"7.30900 2.93800 0.90000, 8.00000 0.51603 1.10592, 5.57056 -8.00000 1.82996, 5.22823 -6.80000 1.93198, 5.00000 -7.60000 2.00000"
1,-19.7320,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 5.86468 4.00000 0.98677, 0.00000 -0.31204 1.33912, 8.00000 -6.19414 1.81976, 5.54403 -8.00000 1.96732, 5.00000 -7.60000 2.00000"
1,-10.5848,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 8.00000 0.36627 1.10592, 5.75226 -8.00000 1.77581, 5.42986 -6.80000 1.87189, 5.10747 -8.00000 1.96797, 5.00000 -7.60000 2.00000"
1,-17.7859,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.15441 4.00000 0.97365, 5.40758 -8.00000 1.80583, 5.23290 -6.80000 1.88905, 5.05823 -8.00000 1.97226, 5.00000 -7.60000 2.00000"
1,-11.2235,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.56924 4.00000 0.97756, 8.00000 2.24241 1.10592, 5.49010 -8.00000 1.85394, 5.19604 -6.80000 1.94157, 5.00000 -7.60000 2.00000"
1,-26.6196,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 3.46163 -7.61976 1.86897, 0.00000 1.87929 2.74078, 0.77279 4.00000 2.93541, 1.02915 3.29654 3.00000, 5.00000 -7.60000 2.00000"
1,-9.4745,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 5.66237 -8.00000 1.68445, 5.48172 -6.80000 1.77051, 5.30108 -8.00000 1.85657, 5.12043 -6.80000 1.94263, 5.00000 -7.60000 2.00000"
1,-5.5438,Tx-I-Rx,1,-60.8116,"7.30900 2.93800 0.90000, 5.74485 -4.20059 3.00000, 5.00000 -7.60000 2.00000"
1,-12.9496,Tx-I-I-Rx,2,-60.8116,"7.30900 2.93800 0.90000, 5.74485 -4.74249 3.00000, 5.08146 -8.00000 2.10937, 5.00000 -7.60000 2.00000"
1,-14.7945,Tx-I-I-I-Rx,3,-60.8116,"7.30900 2.93800 0.90000, 8.00000 0.81553 1.48032, 6.19067 -4.74248 3.00000, 5.13022 -8.00000 2.10937, 5.00000 -7.60000 2.00000"
1,-19.9116,Tx-I-I-I-Rx,3,-60.8116,"7.30900 2.93800 0.90000, 7.12685 4.00000 1.14454, 5.74485 -4.05732 3.00000, 5.06861 -8.00000 2.09211, 5.00000 -7.60000 2.00000"
1,-21.5651,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.60017 4.00000 1.14455, 8.00000 2.54191 1.48032, 6.19067 -4.05731 3.00000, 5.10967 -8.00000 2.09211, 5.00000 -7.60000 2.00000"
1,-23.4646,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 5.60640 1.88854 1.20872, 8.00000 0.41316 1.64273, 0.51493 -4.20063 3.00000, 0.00000 -4.51801 2.90664, 5.00000 -7.60000 2.00000"
1,-23.4714,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 5.60640 1.88727 1.20909, 8.00000 0.41209 1.64305, 0.51567 -4.20063 3.00000, 0.00000 -4.51843 2.90652, 5.00000 -7.60000 2.00000"
1,-7.8770,Tx-I-I-Rx,2,-60.8116,"7.30900 2.93800 0.90000, 8.00000 0.96528 1.48032, 6.19067 -4.20058 3.00000, 5.00000 -7.60000 2.00000"
1,-11.9265,Tx-I-I-I-Rx,3,-60.8116,"7.30900 2.93800 0.90000, 5.74485 -5.82634 3.00000, 5.35693 -8.00000 2.47920, 5.14277 -6.80000 2.19168, 5.00000 -7.60000 2.00000"
1,-13.7821,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 8.00000 0.51602 1.48031, 6.19066 -5.82634 3.00000, 5.57056 -8.00000 2.47920, 5.22823 -6.80000 2.19168, 5.00000 -7.60000 2.00000"
1,-19.4382,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.14620 4.00000 1.11857, 5.74485 -5.14117 3.00000, 5.30659 -8.00000 2.41163, 5.12264 -6.80000 2.16465, 5.00000 -7.60000 2.00000"
1,-6.1594,Tx-I-I-Rx,2,-60.8116,"7.30900 2.93800 0.90000, 6.27665 4.00000 0.99226, 0.00000 -2.45659 1.55317, 5.00000 -7.60000 2.00000"
1,-14.5881,Tx-I-I-I-Rx,3,-60.8116,"7.30900 2.93800 0.90000, 6.27665 4.00000 1.15999, 0.00000 -2.45660 2.74075, 1.02929 -3.51542 3.00000, 5.00000 -7.60000 2.00000"
1,-7.2831,Tx-I-I-I-Rx,3,-60.8116,"7.30900 2.93800 0.90000, 5.60640 1.48043 1.05215, 5.55731 1.43837 1.05654, 0.00000 -3.31938 1.55317, 5.00000 -7.60000 2.00000"
1,-16.4350,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 5.60640 1.48043 1.32879, 5.55731 1.43837 1.34115, 0.00000 -3.31939 2.74074, 1.02929 -4.20059 3.00000, 5.00000 -7.60000 2.00000"
1,-21.3081,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 5.77343 4.00000 1.15999, 0.00000 0.00730 2.13751, 5.09379 -3.51544 3.00000, 8.00000 -5.52527 2.50795, 5.00000 -7.60000 2.00000"
1,-1.5237,Tx-I-I-Rx,2,-60.8116,"7.30900 2.93800 0.90000, 8.00000 0.81554 1.10592, 5.13022 -8.00000 1.96119, 5.00000 -7.60000 2.00000"
1,-26.8836,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 0.00000 0.21724 1.70037, 8.00000 -2.76075 2.57642, 4.13218 -4.20056 3.00000, 0.00000 -5.73875 2.54753, 5.00000 -7.60000 2.00000"
1,-14.7477,Tx-I-I-I-Rx,3,-60.8116,"7.30900 2.93800 0.90000, 5.77343 4.00000 0.99226, 0.00000 0.00730 1.33912, 8.00000 -5.52527 1.81976, 5.00000 -7.60000 2.00000"
1,0.0000,Tx-I-I-Rx,2,-60.8116,"7.30900 2.93800 0.90000, 5.35693 -8.00000 1.82996, 5.14277 -6.80000 1.93198, 5.00000 -7.60000 2.00000"
1,-5.2707,Tx-I-I-I-Rx,3,-60.8116,"7.30900 2.93800 0.90000, 7.66834 1.83417 0.76698, 8.00000 0.81554 0.88969, 5.13022 -8.00000 1.95181, 5.00000 -7.60000 2.00000"
1,-5.5026,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.66834 1.67840 0.76698, 8.00000 0.51603 0.88969, 5.57056 -8.00000 1.78884, 5.22823 -6.80000 1.91553, 5.00000 -7.60000 2.00000"
1,-17.0693,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 8.00000 2.40615 0.82254, 7.50481 2.02498 0.76698, 6.75138 1.44507 0.68249, 0.00000 -3.75147 1.43940, 5.00000 -7.60000 2.00000"
1,-23.2212,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 6.82267 3.43827 0.76698, 6.27665 4.00000 0.91627, 0.00000 -2.45660 2.63268, 1.34312 -3.83825 3.00000, 5.00000 -7.60000 2.00000"
1,-16.3718,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.47825 2.41809 0.76698, 8.00000 0.81547 0.35711, 7.54557 -0.58052 0.00000, 5.13022 -8.00000 1.89769, 5.00000 -7.60000 2.00000"
1,-24.8102,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.84999 2.52160 0.76698, 8.00000 2.40618 0.80384, 0.00000 -3.75148 2.77070, 0.93253 -4.46926 3.00000, 5.00000 -7.60000 2.00000"
1,-17.6586,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 6.74451 3.51868 0.76698, 6.27664 4.00000 0.65678, 3.48907 1.13252 0.00000, 0.00000 -2.45659 0.82200, 5.00000 -7.60000 2.00000"
1,-27.8612,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.45483 3.43826 0.76698, 7.61856 4.00000 0.91628, 8.00000 2.69167 1.26408, 6.09656 -3.83824 3.00000, 5.00000 -7.60000 2.00000"
1,-26.4321,Tx-I-I-I-Rx,3,-60.8116,"7.30900 2.93800 0.90000, 7.21777 3.43827 0.76698, 7.11535 4.00000 0.91627, 5.68598 -3.83825 3.00000, 5.00000 -7.60000 2.00000"
1,-26.6432,Tx-I-I-I-Rx,3,-60.8116,"7.30900 2.93800 0.90000, 7.45482 2.52168 0.76698, 8.00000 0.96528 1.26408, 6.09656 -4.46926 3.00000, 5.00000 -7.60000 2.00000"
1,-25.7403,Tx-I-I-Rx,2,-60.8116,"7.30900 2.93800 0.90000, 7.21779 2.52171 0.76698, 5.68598 -4.46927 3.00000, 5.00000 -7.60000 2.00000"
