Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-61.4901,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49630 2.80072 0.92056, 3.82582 -0.25427 3.00000, 0.00000 -3.43849 0.83263, 1.46966 -4.66170 0.00000, 5.00000 -7.60000 2.00000"
1,-61.5053,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49632 2.80145 0.92068, 3.82600 -0.25362 3.00000, 0.00000 -3.43820 0.83257, 1.46959 -4.66144 0.00000, 5.00000 -7.60000 2.00000"
1,-61.5130,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49624 2.80149 0.92028, 3.82543 -0.25401 3.00000, 0.00000 -3.43816 0.83276, 1.46982 -4.66159 0.00000, 5.00000 -7.60000 2.00000"
1,-8.5159,Tx-I-I-I-Rx,3,-60.8116,"7.30900 2.93800 0.90000, 5.47060 -8.00000 1.77581, 5.26891 -6.80000 1.87189, 5.06723 -8.00000 1.96797, 5.00000 -7.60000 2.00000"
1,-61.5288,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49611 2.80174 0.91967, 3.82459 -0.25446 3.00000, 0.00000 -3.43802 0.83302, 1.47015 -4.66177 0.00000, 5.00000 -7.60000 2.00000"
1,-2.3411,Tx-I-I-I-Rx,3,-60.8116,"7.30900 2.93800 0.90000, 8.00000 0.51603 1.10592, 5.57056 -8.00000 1.82996, 5.22823 -6.80000 1.93198, 5.00000 -7.60000 2.00000"
1,-40.3018,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 4.59926 4.00000 1.16000, -10.00000 -1.72144 2.56077, -5.42262 -3.51535 3.00000, 0.00000 -5.64047 2.47975, 5.00000 -7.60000 2.00000"
1,-61.5149,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49624 2.80159 0.92030, 3.82547 -0.25391 3.00000, 0.00000 -3.43812 0.83274, 1.46980 -4.66155 0.00000, 5.00000 -7.60000 2.00000"
1,-61.5407,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49607 2.80211 0.91948, 3.82432 -0.25441 3.00000, 0.00000 -3.43786 0.83311, 1.47026 -4.66175 0.00000, 5.00000 -7.60000 2.00000"
1,-19.7320,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 5.86468 4.00000 0.98677, 0.00000 -0.31204 1.33912, 8.00000 -6.19414 1.81976, 5.54403 -8.00000 1.96732, 5.00000 -7.60000 2.00000"
1,-10.5848,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 8.00000 0.36627 1.10592, 5.75226 -8.00000 1.77581, 5.42986 -6.80000 1.87189, 5.10747 -8.00000 1.96797, 5.00000 -7.60000 2.00000"
1,-61.5408,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49603 2.80195 0.91925, 3.82400 -0.25475 3.00000, 0.00000 -3.43790 0.83322, 1.47039 -4.66189 0.00000, 5.00000 -7.60000 2.00000"
1,-17.7859,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.15441 4.00000 0.97365, 5.40758 -8.00000 1.80583, 5.23290 -6.80000 1.88905, 5.05823 -8.00000 1.97226, 5.00000 -7.60000 2.00000"
1,-11.2235,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.56924 4.00000 0.97756, 8.00000 2.24241 1.10592, 5.49010 -8.00000 1.85394, 5.19604 -6.80000 1.94157, 5.00000 -7.60000 2.00000"
1,-26.6196,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 3.46163 -7.61976 1.86897, 0.00000 1.87929 2.74078, 0.77279 4.00000 2.93541, 1.02915 3.29654 3.00000, 5.00000 -7.60000 2.00000"
1,-9.4745,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 5.66237 -8.00000 1.68445, 5.48172 -6.80000 1.77051, 5.30108 -8.00000 1.85657, 5.12043 -6.80000 1.94263, 5.00000 -7.60000 2.00000"
1,-61.5081,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49633 2.80161 0.92073, 3.82607 -0.25345 3.00000, 0.00000 -3.43814 0.83255, 1.46956 -4.66137 0.00000, 5.00000 -7.60000 2.00000"
1,-39.0747,Tx-I-I-I-Rx,3,-60.8116,"7.30900 2.93800 0.90000, 6.60729 4.00000 0.96271, 4.63611 6.98316 1.13886, 0.00000 -0.03301 1.55317, 5.00000 -7.60000 2.00000"
1,-61.5045,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49634 2.80146 0.92075, 3.82610 -0.25354 3.00000, 0.00000 -3.43820 0.83254, 1.46955 -4.66140 0.00000, 5.00000 -7.60000 2.00000"
1,-61.4674,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49596 2.80246 0.91894, 3.82357 -0.25472 3.00000, 0.00000 -3.43768 0.83335, 1.47056 -4.66188 0.00000, 5.00000 -7.60000 2.00000"
1,-61.6229,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49563 2.80249 0.91736, 3.82138 -0.25633 3.00000, 0.00000 -3.43756 0.83406, 1.47144 -4.66252 0.00000, 5.00000 -7.60000 2.00000"
1,-61.5145,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49469 2.80273 0.91281, 3.81504 -0.26087 3.00000, 0.00000 -3.43715 0.83609, 1.47397 -4.66434 0.00000, 5.00000 -7.60000 2.00000"
1,-61.5963,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49532 2.80035 0.91584, 3.81925 -0.25942 3.00000, 0.00000 -3.43831 0.83474, 1.47229 -4.66376 0.00000, 5.00000 -7.60000 2.00000"
1,-39.4355,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 5.39359 2.08633 0.96521, 1.08957 4.00000 1.11175, -10.00000 -0.93062 1.48930, 0.00000 -5.37687 1.82977, 5.00000 -7.60000 2.00000"
1,-61.5222,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49618 2.80170 0.92001, 3.82506 -0.25415 3.00000, 0.00000 -3.43806 0.83288, 1.46997 -4.66165 0.00000, 5.00000 -7.60000 2.00000"
1,-61.2622,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49492 2.79727 0.91389, 3.81655 -0.26361 3.00000, 0.00000 -3.43941 0.83561, 1.47337 -4.66543 0.00000, 5.00000 -7.60000 2.00000"
1,-61.5165,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49680 2.80221 0.92302, 3.82925 -0.25066 3.00000, 0.00000 -3.43806 0.83153, 1.46829 -4.66025 0.00000, 5.00000 -7.60000 2.00000"
1,-61.6018,Tx-I-I-I-I-Rx,4,-60.8116,"7.30900 2.93800 0.90000, 7.49468 2.80615 0.91275, 3.81496 -0.25852 3.00000, 0.00000 -3.43577 0.83612, 1.47401 -4.66340 0.00000, 5.00000 -7.60000 2.00000"
