Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-135.7301,"0.15000 -4.90000 1.10000, -9.85000 -7.85000 0.10000"
2,0.0000,Tx-Rx,0,-270.0000,"0.15000 -4.90000 1.10000, -9.55000 -7.85000 0.10000"
3,0.0000,Tx-Rx,0,-270.0000,"0.15000 -4.90000 1.10000, -9.25000 -7.85000 0.10000"
4,0.0000,Tx-Rx,0,-270.0000,"0.15000 -4.90000 1.10000, -8.95000 -7.85000 0.10000"
5,0.0000,Tx-Rx,0,-270.0000,"0.15000 -4.90000 1.10000, -8.65000 -7.85000 0.10000"
6,0.0000,Tx-Rx,0,-270.0000,"0.15000 -4.90000 1.10000, -8.35000 -7.85000 0.10000"
7,0.0000,Tx-Rx,0,-115.9436,"0.15000 -4.90000 1.10000, -8.05000 -7.85000 0.10000"
8,0.0000,Tx-Rx,0,-112.0057,"0.15000 -4.90000 1.10000, -7.75000 -7.85000 0.10000"
9,0.0000,Tx-Rx,0,-95.5765,"0.15000 -4.90000 1.10000, -7.45000 -7.85000 0.10000"
10,0.0000,Tx-Rx,0,-94.2436,"0.15000 -4.90000 1.10000, -7.15000 -7.85000 0.10000"
11,0.0000,Tx-Rx,0,-89.2238,"0.15000 -4.90000 1.10000, -6.85000 -7.85000 0.10000"
12,0.0000,Tx-Rx,0,-84.3641,"0.15000 -4.90000 1.10000, -6.55000 -7.85000 0.10000"
13,0.0000,Tx-Rx,0,-81.0206,"0.15000 -4.90000 1.10000, -6.25000 -7.85000 0.10000"
14,0.0000,Tx-Rx,0,-77.1126,"0.15000 -4.90000 1.10000, -5.95000 -7.85000 0.10000"
15,0.0000,Tx-Rx,0,-75.6535,"0.15000 -4.90000 1.10000, -5.65000 -7.85000 0.10000"
16,0.0000,Tx-Rx,0,-75.6252,"0.15000 -4.90000 1.10000, -5.35000 -7.85000 0.10000"
17,0.0000,Tx-Rx,0,-75.3607,"0.15000 -4.90000 1.10000, -5.05000 -7.85000 0.10000"
18,0.0000,Tx-Rx,0,-74.4261,"0.15000 -4.90000 1.10000, -4.75000 -7.85000 0.10000"
19,0.0000,Tx-Rx,0,-74.9632,"0.15000 -4.90000 1.10000, -4.45000 -7.85000 0.10000"
20,0.0000,Tx-Rx,0,-74.5311,"0.15000 -4.90000 1.10000, -4.15000 -7.85000 0.10000"
21,0.0000,Tx-Rx,0,-74.3282,"0.15000 -4.90000 1.10000, -3.85000 -7.85000 0.10000"
22,0.0000,Tx-Rx,0,-74.7192,"0.15000 -4.90000 1.10000, -3.55000 -7.85000 0.10000"
23,0.0000,Tx-Rx,0,-74.6682,"0.15000 -4.90000 1.10000, -3.25000 -7.85000 0.10000"
24,0.0000,Tx-Rx,0,-74.4927,"0.15000 -4.90000 1.10000, -2.95000 -7.85000 0.10000"
25,0.0000,Tx-Rx,0,-74.1897,"0.15000 -4.90000 1.10000, -2.65000 -7.85000 0.10000"
26,0.0000,Tx-Rx,0,-74.7830,"0.15000 -4.90000 1.10000, -2.35000 -7.85000 0.10000"
27,0.0000,Tx-Rx,0,-81.3318,"0.15000 -4.90000 1.10000, -2.05000 -7.85000 0.10000"
28,0.0000,Tx-Rx,0,-82.8502,"0.15000 -4.90000 1.10000, -1.75000 -7.85000 0.10000"
29,0.0000,Tx-Rx,0,-84.3816,"0.15000 -4.90000 1.10000, -1.45000 -7.85000 0.10000"
