Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-22.0263,Tx-I-I-Rx,2,-49.5349,"0.15000 -4.90000 1.10000, 0.00000 -4.93632 1.11211, 8.00000 -6.87354 1.75785, 5.00000 -7.60000 2.00000"
1,-42.1487,Tx-I-I-I-I-Rx,4,-49.5349,"0.15000 -4.90000 1.10000, 0.00000 -4.91915 1.12056, 8.00000 -5.94042 2.21747, 2.29323 -6.66895 3.00000, 0.00000 -6.96170 2.68558, 5.00000 -7.60000 2.00000"
1,-16.5015,Tx-I-I-Rx,2,-49.5349,"0.15000 -4.90000 1.10000, 8.00000 -7.43222 1.75115, 6.24004 -8.00000 1.89714, 5.00000 -7.60000 2.00000"
1,-24.4458,Tx-I-I-I-Rx,3,-49.5349,"0.15000 -4.90000 1.10000, 0.00000 -4.94707 1.11211, 8.00000 -7.45826 1.75785, 6.27432 -8.00000 1.89714, 5.00000 -7.60000 2.00000"
1,-13.9276,Tx-I-I-Rx,2,-49.5349,"0.15000 -4.90000 1.10000, 0.00000 -4.97977 1.12621, 4.96285 -7.61976 1.99351, 5.00000 -7.60000 2.00000"
1,-40.0513,Tx-I-I-I-I-Rx,4,-49.5349,"0.15000 -4.90000 1.10000, 0.27114 -5.13415 1.13238, 4.99758 4.00000 2.39564, 7.25857 -0.36949 3.00000, 8.00000 -1.80226 2.80185, 5.00000 -7.60000 2.00000"
1,-35.4925,Tx-I-I-I-I-Rx,4,-49.5349,"0.15000 -4.90000 1.10000, 8.00000 -5.93140 2.19182, 2.18978 -6.69481 3.00000, 0.00000 -6.98252 2.69545, 4.84960 -7.61976 2.02092, 5.00000 -7.60000 2.00000"
1,-36.2960,Tx-I-I-I-I-Rx,4,-49.5349,"0.15000 -4.90000 1.10000, 8.00000 2.81820 2.19184, 6.79808 4.00000 2.35901, 2.18975 -0.53094 3.00000, 0.00000 -2.68391 2.69545, 5.00000 -7.60000 2.00000"
1,-75.4498,Tx-I-I-I-I-Rx,4,-49.5349,"0.15000 -4.90000 1.10000, 0.00000 -4.91915 1.12056, -8.00000 -5.94042 2.21747, -2.29323 -6.66895 3.00000, 0.00000 -6.96170 2.68558, 5.00000 -7.60000 2.00000"
1,-32.9181,Tx-I-I-I-I-Rx,4,-49.5349,"0.15000 -4.90000 1.10000, 0.26805 -4.67695 1.10979, 0.28414 -4.64661 1.11112, 4.86045 4.00000 1.49073, 8.00000 -1.93175 1.75115, 5.00000 -7.60000 2.00000"
