Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-16.1880,Tx-I-Rx,1,-64.6879,"7.30900 2.93800 0.90000, 4.90112 4.00000 0.98290, 1.50000 5.50000 1.10000"
1,-21.0575,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 4.99328 -8.00000 2.49459, 4.25935 -4.53343 3.00000, 1.81757 7.00000 1.31868, 1.50000 5.50000 1.10000"
1,-29.2254,Tx-I-I-I-I-Rx,4,-64.6879,"7.30900 2.93800 0.90000, 7.10032 4.00000 1.04369, 4.74229 -8.00000 2.66742, 4.25936 -5.54240 3.00000, 1.79476 7.00000 1.30296, 1.50000 5.50000 1.10000"
1,-16.3470,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 8.00000 0.30159 0.91922, 5.82436 -8.00000 0.97973, 1.89313 7.00000 1.08907, 1.50000 5.50000 1.10000"
1,-20.5470,Tx-I-I-Rx,2,-64.6879,"7.30900 2.93800 0.90000, -8.00000 4.00103 0.98298, 7.54344 5.08035 1.06724, 1.50000 5.50000 1.10000"
1,-14.9486,Tx-I-I-Rx,2,-64.6879,"7.30900 2.93800 0.90000, 5.72138 4.00000 0.95466, 2.48946 6.16185 1.06593, 1.50000 5.50000 1.10000"
1,-29.2874,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, -8.00000 3.92110 0.97674, 7.54344 4.91925 1.05466, 0.00000 5.40367 1.09248, 1.50000 5.50000 1.10000"
1,-16.7141,Tx-I-I-I-I-Rx,4,-64.6879,"7.30900 2.93800 0.90000, 8.00000 0.16133 0.91922, 5.96916 -8.00000 0.97570, 2.42815 6.22985 1.07419, 1.87327 4.00000 1.08962, 1.50000 5.50000 1.10000"
1,0.0000,Tx-I-Rx,1,-64.6879,"7.30900 2.93800 0.90000, 4.97640 -2.28699 0.98031, 1.50000 5.50000 1.10000"
1,-18.2920,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 6.96885 4.00000 0.91171, 4.95511 -2.28699 0.98104, 1.98046 7.00000 1.08346, 1.50000 5.50000 1.10000"
1,-15.9256,Tx-I-I-I-I-Rx,4,-64.6879,"7.30900 2.93800 0.90000, 8.00000 1.43042 0.91234, 5.99514 -2.94393 0.94814, 8.00000 -7.31814 0.98394, 7.68751 -8.00000 0.98952, 1.50000 5.50000 1.10000"
1,-29.9085,Tx-I-I-I-I-Rx,4,-64.6879,"7.30900 2.93800 0.90000, 6.40238 4.00000 0.90831, 0.00000 -3.49930 0.96703, 3.40850 -7.49187 0.99829, 8.00000 -2.11376 1.04039, 1.50000 5.50000 1.10000"
1,-29.9072,Tx-I-I-I-I-Rx,4,-64.6879,"7.30900 2.93800 0.90000, 6.40251 4.00000 0.90831, 0.00000 -3.50045 0.96703, 3.40705 -7.49187 0.99827, 8.00000 -2.11277 1.04039, 1.50000 5.50000 1.10000"
1,-3.3714,Tx-I-I-Rx,2,-64.6879,"7.30900 2.93800 0.90000, 4.97638 -2.28699 0.47702, 4.95613 -2.24162 0.47331, 1.50000 5.50000 1.10000"
1,-7.3413,Tx-I-I-I-Rx,3,-64.6879,"7.30900 2.93800 0.90000, 8.00000 1.68774 0.79879, 5.80344 -2.28699 0.47702, 5.77839 -2.24167 0.47331, 1.50000 5.50000 1.10000"
1,-15.0544,Tx-I-I-I-I-Rx,4,-64.6879,"7.30900 2.93800 0.90000, 4.11602 4.00000 0.64157, -3.81026 1.36381 0.00000, -3.91951 1.32744 0.00884, -8.00000 2.58113 0.33669, 1.50000 5.50000 1.10000"
1,-27.7774,Tx-I-I-I-I-Rx,4,-64.6879,"7.30900 2.93800 0.90000, 7.02416 1.59260 0.68249, 4.99328 -8.00000 2.23298, 3.98868 -3.25496 3.00000, 1.81757 7.00000 1.34246, 1.50000 5.50000 1.10000"
