Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-25.5899,Tx-I-I-I-Rx,3,-57.0730,"7.30900 2.93800 0.90000, 7.52565 2.82935 1.06230, 6.39419 1.92132 3.00000, 4.64235 0.51548 0.00000, 4.00000 0.00000 1.10000"
1,-25.5736,Tx-I-I-I-Rx,3,-57.0730,"7.30900 2.93800 0.90000, 7.52480 2.82969 1.05822, 6.39200 1.92026 3.00000, 4.64176 0.51519 0.00000, 4.00000 0.00000 1.10000"
1,-25.5762,Tx-I-I-I-Rx,3,-57.0730,"7.30900 2.93800 0.90000, 7.52489 2.82938 1.05865, 6.39223 1.92018 3.00000, 4.64182 0.51517 0.00000, 4.00000 0.00000 1.10000"
1,-15.9853,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51038 2.81901 0.98856, 5.70522 1.36936 3.00000, 4.00000 0.00000 1.10000"
1,-42.7028,Tx-I-I-I-I-Rx,4,-57.0730,"7.30900 2.93800 0.90000, 7.52497 2.66071 1.05904, 6.39244 0.33623 3.00000, 5.11431 -2.28699 0.80967, 4.64188 -1.31738 0.00000, 4.00000 0.00000 1.10000"
1,-25.5753,Tx-I-I-I-Rx,3,-57.0730,"7.30900 2.93800 0.90000, 7.52487 2.82951 1.05853, 6.39217 1.92023 3.00000, 4.64180 0.51519 0.00000, 4.00000 0.00000 1.10000"
1,-25.5662,Tx-I-I-I-Rx,3,-57.0730,"7.30900 2.93800 0.90000, 7.52458 2.83075 1.05715, 6.39142 1.92063 3.00000, 4.64161 0.51529 0.00000, 4.00000 0.00000 1.10000"
1,-25.5692,Tx-I-I-I-Rx,3,-57.0730,"7.30900 2.93800 0.90000, 7.52478 2.83094 1.05812, 6.39195 1.92108 3.00000, 4.64174 0.51541 0.00000, 4.00000 0.00000 1.10000"
1,-16.0018,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51118 2.81880 0.99244, 5.70730 1.37062 3.00000, 4.00000 0.00000 1.10000"
1,-16.0069,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51134 2.81789 0.99324, 5.70773 1.37046 3.00000, 4.00000 0.00000 1.10000"
1,-15.9881,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51077 2.82167 0.99046, 5.70624 1.37132 3.00000, 4.00000 0.00000 1.10000"
1,-16.0190,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51170 2.81534 0.99497, 5.70867 1.36982 3.00000, 4.00000 0.00000 1.10000"
1,-16.0151,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51179 2.81840 0.99541, 5.70891 1.37147 3.00000, 4.00000 0.00000 1.10000"
1,-16.0035,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51125 2.81863 0.99277, 5.70748 1.37065 3.00000, 4.00000 0.00000 1.10000"
1,-25.5827,Tx-I-I-I-Rx,3,-57.0730,"7.30900 2.93800 0.90000, 7.52515 2.82877 1.05988, 6.39289 1.92016 3.00000, 4.64200 0.51517 0.00000, 4.00000 0.00000 1.10000"
1,-16.0046,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51127 2.81832 0.99290, 5.70755 1.37055 3.00000, 4.00000 0.00000 1.10000"
1,-16.0035,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51125 2.81861 0.99277, 5.70748 1.37064 3.00000, 4.00000 0.00000 1.10000"
1,-25.5856,Tx-I-I-I-Rx,3,-57.0730,"7.30900 2.93800 0.90000, 7.52515 2.82790 1.05992, 6.39291 1.91958 3.00000, 4.64200 0.51501 0.00000, 4.00000 0.00000 1.10000"
1,-16.0031,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51103 2.81656 0.99173, 5.70693 1.36928 3.00000, 4.00000 0.00000 1.10000"
1,-16.0006,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51130 2.82067 0.99302, 5.70762 1.37173 3.00000, 4.00000 0.00000 1.10000"
1,-16.0042,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51129 2.81868 0.99296, 5.70758 1.37074 3.00000, 4.00000 0.00000 1.10000"
1,-42.6997,Tx-I-I-I-I-Rx,4,-57.0730,"7.30900 2.93800 0.90000, 7.52409 2.66216 1.05480, 6.39016 0.33377 3.00000, 5.11381 -2.28699 0.81062, 4.64127 -1.31672 0.00000, 4.00000 0.00000 1.10000"
1,-16.0019,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51118 2.81878 0.99246, 5.70732 1.37061 3.00000, 4.00000 0.00000 1.10000"
1,-25.5576,Tx-I-I-I-Rx,3,-57.0730,"7.30900 2.93800 0.90000, 7.52394 2.82990 1.05404, 6.38976 1.91907 3.00000, 4.64116 0.51487 0.00000, 4.00000 0.00000 1.10000"
1,-16.0120,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51156 2.81750 0.99427, 5.70829 1.37063 3.00000, 4.00000 0.00000 1.10000"
1,-16.0017,Tx-I-I-Rx,2,-57.0730,"7.30900 2.93800 0.90000, 7.51111 2.81807 0.99210, 5.70712 1.37014 3.00000, 4.00000 0.00000 1.10000"
