Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-62.9942,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49760 2.78773 0.92685, 4.14013 -0.33138 3.00000, 0.00000 -4.17752 0.44368, -0.71850 -4.84500 0.00000, -2.50000 -6.50000 1.10000"
1,-22.6628,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 0.00000 0.26520 0.95664, 8.00000 -2.66028 1.01863, 0.00000 -5.58578 1.08063, -2.50000 -6.50000 1.10000"
1,-20.1062,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49113 2.78096 0.89565, 2.24070 -2.09631 3.00000, 0.00000 -4.17770 2.10198, -2.50000 -6.50000 1.10000"
1,-20.1119,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49084 2.78135 0.89423, 2.23888 -2.09768 3.00000, 0.00000 -4.17754 2.10236, -2.50000 -6.50000 1.10000"
1,-62.9867,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49755 2.78758 0.92662, 4.13985 -0.33171 3.00000, 0.00000 -4.17754 0.44374, -0.71857 -4.84509 0.00000, -2.50000 -6.50000 1.10000"
1,-20.1072,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49114 2.78080 0.89566, 2.24071 -2.09637 3.00000, 0.00000 -4.17774 2.10197, -2.50000 -6.50000 1.10000"
1,-63.0100,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49786 2.78720 0.92812, 4.14167 -0.33046 3.00000, 0.00000 -4.17771 0.44332, -0.71808 -4.84475 0.00000, -2.50000 -6.50000 1.10000"
1,-20.1083,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49121 2.78028 0.89604, 2.24120 -2.09620 3.00000, 0.00000 -4.17789 2.10187, -2.50000 -6.50000 1.10000"
1,-63.0077,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49786 2.78705 0.92814, 4.14170 -0.33054 3.00000, 0.00000 -4.17775 0.44332, -0.71808 -4.84477 0.00000, -2.50000 -6.50000 1.10000"
1,-20.1087,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49102 2.78104 0.89512, 2.24001 -2.09686 3.00000, 0.00000 -4.17765 2.10212, -2.50000 -6.50000 1.10000"
1,-20.1154,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49095 2.78033 0.89474, 2.23953 -2.09760 3.00000, 0.00000 -4.17781 2.10222, -2.50000 -6.50000 1.10000"
1,-63.0067,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49795 2.78653 0.92856, 4.14221 -0.33047 3.00000, 0.00000 -4.17790 0.44320, -0.71794 -4.84475 0.00000, -2.50000 -6.50000 1.10000"
1,-20.1095,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49099 2.78106 0.89495, 2.23980 -2.09702 3.00000, 0.00000 -4.17764 2.10217, -2.50000 -6.50000 1.10000"
1,-62.9803,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49767 2.78658 0.92722, 4.14058 -0.33178 3.00000, 0.00000 -4.17782 0.44358, -0.71838 -4.84511 0.00000, -2.50000 -6.50000 1.10000"
1,-63.0003,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49774 2.78728 0.92756, 4.14099 -0.33097 3.00000, 0.00000 -4.17766 0.44348, -0.71827 -4.84489 0.00000, -2.50000 -6.50000 1.10000"
1,-20.1406,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.48956 2.78232 0.88805, 2.23097 -2.10401 3.00000, 0.00000 -4.17700 2.10404, -2.50000 -6.50000 1.10000"
1,-4.7652,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 5.39526 2.08633 0.91284, 1.09499 4.00000 0.94169, -10.00000 -0.93734 1.01613, 0.00000 -5.38747 1.08323, -2.50000 -6.50000 1.10000"
1,-20.1063,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49116 2.78079 0.89580, 2.24088 -2.09623 3.00000, 0.00000 -4.17775 2.10194, -2.50000 -6.50000 1.10000"
1,-20.1185,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49047 2.78195 0.89244, 2.23658 -2.09937 3.00000, 0.00000 -4.17730 2.10285, -2.50000 -6.50000 1.10000"
1,-62.9973,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49771 2.78730 0.92739, 4.14079 -0.33113 3.00000, 0.00000 -4.17765 0.44353, -0.71832 -4.84493 0.00000, -2.50000 -6.50000 1.10000"
1,-20.1071,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49110 2.78098 0.89547, 2.24046 -2.09650 3.00000, 0.00000 -4.17769 2.10203, -2.50000 -6.50000 1.10000"
1,-20.1416,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49014 2.77975 0.89084, 2.23454 -2.10217 3.00000, 0.00000 -4.17777 2.10328, -2.50000 -6.50000 1.10000"
1,-20.1144,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49071 2.78152 0.89360, 2.23806 -2.09830 3.00000, 0.00000 -4.17746 2.10253, -2.50000 -6.50000 1.10000"
1,-62.8802,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49621 2.78849 0.92013, 4.13200 -0.33758 3.00000, 0.00000 -4.17700 0.44557, -0.72068 -4.84666 0.00000, -2.50000 -6.50000 1.10000"
1,-63.0102,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49789 2.78704 0.92828, 4.14186 -0.33041 3.00000, 0.00000 -4.17776 0.44328, -0.71803 -4.84474 0.00000, -2.50000 -6.50000 1.10000"
1,-62.9590,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49716 2.78816 0.92472, 4.13755 -0.33323 3.00000, 0.00000 -4.17731 0.44428, -0.71919 -4.84549 0.00000, -2.50000 -6.50000 1.10000"
1,-63.0065,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49782 2.78723 0.92792, 4.14143 -0.33065 3.00000, 0.00000 -4.17769 0.44338, -0.71815 -4.84480 0.00000, -2.50000 -6.50000 1.10000"
1,-27.6651,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49112 2.73084 0.89559, 2.24064 -3.69669 3.00000, 0.00000 -6.43955 2.10199, -1.27466 -8.00000 1.59111, -2.50000 -6.50000 1.10000"
1,-62.9972,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49771 2.78731 0.92738, 4.14078 -0.33113 3.00000, 0.00000 -4.17765 0.44353, -0.71832 -4.84493 0.00000, -2.50000 -6.50000 1.10000"
1,-20.1228,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49025 2.78223 0.89139, 2.23524 -2.10038 3.00000, 0.00000 -4.17718 2.10313, -2.50000 -6.50000 1.10000"
1,-62.8878,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49684 2.78598 0.92322, 4.13573 -0.33617 3.00000, 0.00000 -4.17778 0.44470, -0.71968 -4.84628 0.00000, -2.50000 -6.50000 1.10000"
1,-62.9763,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49741 2.78775 0.92595, 4.13904 -0.33227 3.00000, 0.00000 -4.17747 0.44393, -0.71879 -4.84524 0.00000, -2.50000 -6.50000 1.10000"
1,-20.1098,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49100 2.78096 0.89502, 2.23989 -2.09700 3.00000, 0.00000 -4.17767 2.10215, -2.50000 -6.50000 1.10000"
1,-20.1132,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49083 2.78119 0.89419, 2.23882 -2.09781 3.00000, 0.00000 -4.17757 2.10237, -2.50000 -6.50000 1.10000"
1,-62.9968,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49772 2.78720 0.92746, 4.14088 -0.33112 3.00000, 0.00000 -4.17768 0.44351, -0.71830 -4.84493 0.00000, -2.50000 -6.50000 1.10000"
1,-20.1091,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49101 2.78104 0.89504, 2.23991 -2.09694 3.00000, 0.00000 -4.17765 2.10214, -2.50000 -6.50000 1.10000"
1,-62.9829,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49754 2.78742 0.92658, 4.13980 -0.33186 3.00000, 0.00000 -4.17758 0.44376, -0.71859 -4.84513 0.00000, -2.50000 -6.50000 1.10000"
1,-20.1084,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49104 2.78103 0.89518, 2.24010 -2.09679 3.00000, 0.00000 -4.17766 2.10211, -2.50000 -6.50000 1.10000"
1,-62.9987,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49773 2.78728 0.92748, 4.14089 -0.33105 3.00000, 0.00000 -4.17766 0.44350, -0.71829 -4.84491 0.00000, -2.50000 -6.50000 1.10000"
1,-63.0015,Tx-I-I-I-I-Rx,4,-78.3041,"7.30900 2.93800 0.90000, 7.49776 2.78727 0.92763, 4.14107 -0.33091 3.00000, 0.00000 -4.17767 0.44346, -0.71824 -4.84487 0.00000, -2.50000 -6.50000 1.10000"
1,-20.1064,Tx-I-I-I-Rx,3,-78.3041,"7.30900 2.93800 0.90000, 7.49110 2.78109 0.89547, 2.24047 -2.09644 3.00000, 0.00000 -4.17766 2.10203, -2.50000 -6.50000 1.10000"
