Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-14.8283,Tx-I-Rx,1,-65.2091,"-3.90000 0.80000 1.00000, 0.75455 4.00000 1.07274, 2.50000 5.20000 1.10000"
1,0.0000,Tx-I-Rx,1,-65.2091,"-3.90000 0.80000 1.00000, -8.00000 2.03560 1.02808, 2.50000 5.20000 1.10000"
1,-13.2778,Tx-I-I-Rx,2,-65.2091,"-3.90000 0.80000 1.00000, -8.00000 2.03560 2.09520, -4.61296 3.05637 3.00000, 2.50000 5.20000 1.10000"
1,-20.2982,Tx-I-I-I-I-Rx,4,-65.2091,"-3.90000 0.80000 1.00000, -8.00000 3.72051 2.09518, -4.61286 6.13328 3.00000, -3.39617 7.00000 2.67501, 0.81537 4.00000 1.55000, 2.50000 5.20000 1.10000"
1,-28.4034,Tx-I-I-I-I-Rx,4,-65.2091,"-3.90000 0.80000 1.00000, -1.06571 7.00000 2.72713, -0.61798 6.02061 3.00000, 0.30572 4.00000 2.43714, 1.67714 7.00000 1.60143, 2.50000 5.20000 1.10000"
1,-23.0002,Tx-I-I-Rx,2,-65.2091,"-3.90000 0.80000 1.00000, 0.00000 5.67497 1.06094, 1.05998 7.00000 1.07750, 2.50000 5.20000 1.10000"
1,-22.5077,Tx-I-I-I-I-Rx,4,-65.2091,"-3.90000 0.80000 1.00000, -8.00000 -6.38899 2.09521, -7.08126 -8.00000 2.34063, -4.61300 -3.67212 3.00000, 1.47343 7.00000 1.37422, 2.50000 5.20000 1.10000"
1,-14.5823,Tx-I-I-I-Rx,3,-65.2091,"-3.90000 0.80000 1.00000, -1.06571 7.00000 1.04429, 0.30572 4.00000 1.06571, 1.67714 7.00000 1.08714, 2.50000 5.20000 1.10000"
1,-14.1171,Tx-I-I-I-I-Rx,4,-65.2091,"-3.90000 0.80000 1.00000, -8.00000 3.72049 1.02808, -5.09340 5.79099 1.04799, -3.39617 7.00000 1.05962, 0.81537 4.00000 1.08846, 2.50000 5.20000 1.10000"
1,-28.7274,Tx-I-I-I-I-Rx,4,-65.2091,"-3.90000 0.80000 1.00000, -10.00000 1.57571 1.68757, 0.00000 2.84740 2.81474, -1.64336 3.05638 3.00000, -8.00000 3.86473 2.28353, 2.50000 5.20000 1.10000"
1,-19.2855,Tx-I-I-I-I-Rx,4,-65.2091,"-3.90000 0.80000 1.00000, -8.00000 2.27139 1.01661, 3.02982 6.22985 1.06129, 7.54344 4.61003 1.07957, 5.84377 4.00000 1.08646, 2.50000 5.20000 1.10000"
1,-14.3616,Tx-I-I-Rx,2,-65.2091,"-3.90000 0.80000 1.00000, -2.96573 0.69008 0.83538, -8.00000 2.15162 0.92114, 2.50000 5.20000 1.10000"
1,-18.0802,Tx-I-I-I-I-Rx,4,-65.2091,"-3.90000 0.80000 1.00000, -2.94617 0.92859 1.00294, -2.91620 0.93263 1.00303, 5.11891 2.01586 1.02763, -8.00000 3.78446 1.06783, 2.50000 5.20000 1.10000"
1,-18.0804,Tx-I-I-I-I-Rx,4,-65.2091,"-3.90000 0.80000 1.00000, -2.94617 0.92861 1.00294, -2.91621 0.93265 1.00304, 5.11891 2.01608 1.02764, -8.00000 3.78455 1.06783, 2.50000 5.20000 1.10000"
1,-11.1040,Tx-I-I-Rx,2,-65.2091,"-3.90000 0.80000 1.00000, 7.71306 6.29817 1.06902, 6.26637 6.98316 1.07762, 2.50000 5.20000 1.10000"
1,-6.4359,Tx-I-I-Rx,2,-65.2091,"-3.90000 0.80000 1.00000, -8.00000 2.03561 0.41028, -5.14790 2.89515 0.00000, 2.50000 5.20000 1.10000"
1,-14.3667,Tx-I-I-Rx,2,-65.2091,"-3.90000 0.80000 1.00000, -2.96624 0.68823 0.83407, -8.00000 2.15026 0.92025, 2.50000 5.20000 1.10000"
1,-15.2068,Tx-I-I-I-I-Rx,4,-65.2091,"-3.90000 0.80000 1.00000, -8.00000 3.72051 0.41029, -5.14773 5.75228 0.00000, -3.39617 7.00000 0.25192, 0.81537 4.00000 0.85769, 2.50000 5.20000 1.10000"
1,-21.0993,Tx-I-I-I-I-Rx,4,-65.2091,"-3.90000 0.80000 1.00000, -1.06570 7.00000 0.07002, -0.85245 6.53352 0.00000, 0.30572 4.00000 0.38000, 1.67714 7.00000 0.83000, 2.50000 5.20000 1.10000"
1,-28.9641,Tx-I-I-Rx,2,-65.2091,"-3.90000 0.80000 1.00000, -0.85241 2.89520 0.00000, 0.75455 4.00000 0.52727, 2.50000 5.20000 1.10000"
1,-21.3247,Tx-I-I-I-Rx,3,-65.2091,"-3.90000 0.80000 1.00000, -2.96349 0.31357 0.80123, -0.66106 3.88990 0.00000, 1.34117 7.00000 0.69674, 2.50000 5.20000 1.10000"
1,-11.5204,Tx-I-I-Rx,2,-65.2091,"-3.90000 0.80000 1.00000, 0.09559 2.89521 0.00000, 3.49544 4.67801 0.85087, 2.50000 5.20000 1.10000"
1,-21.3180,Tx-I-I-I-Rx,3,-65.2091,"-3.90000 0.80000 1.00000, -2.96240 0.31386 0.80101, -0.66080 3.88949 0.00000, 1.34136 7.00000 0.69677, 2.50000 5.20000 1.10000"
1,-14.7882,Tx-I-I-I-Rx,3,-65.2091,"-3.90000 0.80000 1.00000, -2.96974 0.68924 0.79630, -4.40608 1.10643 0.76181, -8.00000 2.15026 0.84804, 2.50000 5.20000 1.10000"
