Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-17.7988,Tx-I-I-I-Rx,3,-69.9795,"-3.90000 0.80000 1.00000, -2.96438 0.59309 1.00901, -2.94201 0.58813 1.00923, 0.00000 -0.06252 1.03750, 6.50000 -1.50000 1.10000"
1,-12.1134,Tx-I-I-I-Rx,3,-69.9795,"-3.90000 0.80000 1.00000, 1.02870 4.00000 2.43447, 2.97170 2.73851 3.00000, 8.00000 -0.52611 1.53657, 6.50000 -1.50000 1.10000"
1,-24.6860,Tx-I-I-Rx,2,-69.9795,"-3.90000 0.80000 1.00000, 0.00000 6.31251 1.03750, 0.48636 7.00000 1.04218, 6.50000 -1.50000 1.10000"
1,-11.4376,Tx-I-I-I-Rx,3,-69.9795,"-3.90000 0.80000 1.00000, -8.00000 4.04028 1.85967, -4.25512 7.00000 2.64489, -2.56173 5.66169 3.00000, 6.50000 -1.50000 1.10000"
1,-7.4061,Tx-I-I-I-Rx,3,-69.9795,"-3.90000 0.80000 1.00000, -8.00000 4.04026 1.02206, -4.25508 7.00000 1.04221, -2.72534 5.79099 1.05044, 6.50000 -1.50000 1.10000"
1,-5.0104,Tx-I-I-Rx,2,-69.9795,"-3.90000 0.80000 1.00000, -8.00000 3.50730 1.02204, -4.54165 5.79099 1.04064, 6.50000 -1.50000 1.10000"
1,-13.1629,Tx-I-I-I-Rx,3,-69.9795,"-3.90000 0.80000 1.00000, -8.00000 3.50728 1.85967, -4.54160 5.79099 2.58483, -2.56172 4.48365 3.00000, 6.50000 -1.50000 1.10000"
1,0.0000,Tx-I-I-Rx,2,-69.9795,"-3.90000 0.80000 1.00000, 1.02867 4.00000 1.03678, 8.00000 -0.52611 1.08881, 6.50000 -1.50000 1.10000"
1,-19.0485,Tx-I-I-I-Rx,3,-69.9795,"-3.90000 0.80000 1.00000, -1.50651 7.00000 1.89756, 1.43326 -0.61493 3.00000, 4.13745 -7.61976 1.98596, 6.50000 -1.50000 1.10000"
1,-18.1402,Tx-I-I-I-I-Rx,4,-69.9795,"-3.90000 0.80000 1.00000, 5.81029 4.00000 2.43448, 8.00000 3.27842 2.75795, 6.36180 2.73855 3.00000, 0.00000 0.64206 2.06023, 6.50000 -1.50000 1.10000"
1,-29.7838,Tx-I-I-I-Rx,3,-69.9795,"-3.90000 0.80000 1.00000, 0.00000 -3.65298 1.02910, 3.80713 -8.00000 1.05752, 8.00000 -3.21270 1.08881, 6.50000 -1.50000 1.10000"
1,-11.4993,Tx-I-I-I-Rx,3,-69.9795,"-3.90000 0.80000 1.00000, 5.81032 4.00000 1.03678, 8.00000 3.27843 1.04508, 0.00000 0.64206 1.07538, 6.50000 -1.50000 1.10000"
1,-9.2231,Tx-I-I-Rx,2,-69.9795,"-3.90000 0.80000 1.00000, -1.57222 7.00000 1.02238, 4.05955 -8.00000 1.07653, 6.50000 -1.50000 1.10000"
1,-21.8480,Tx-I-I-I-I-Rx,4,-69.9795,"-3.90000 0.80000 1.00000, -8.00000 2.54188 1.01185, 0.00000 5.94072 1.03497, -2.49316 7.00000 1.04218, -8.00000 4.66044 1.05809, 6.50000 -1.50000 1.10000"
1,-22.6043,Tx-I-I-I-I-Rx,4,-69.9795,"-3.90000 0.80000 1.00000, -1.75325 7.00000 1.01602, 3.44054 -8.00000 1.05478, 7.59557 4.00000 1.08579, 8.00000 2.83216 1.08881, 6.50000 -1.50000 1.10000"
1,-21.5558,Tx-I-I-I-I-Rx,4,-69.9795,"-3.90000 0.80000 1.00000, 1.08140 4.00000 1.01887, 8.00000 -0.44433 1.04508, 0.00000 -5.58340 1.07538, 0.07162 -5.62945 1.07565, 6.50000 -1.50000 1.10000"
1,-24.8925,Tx-I-I-Rx,2,-69.9795,"-3.90000 0.80000 1.00000, -4.84757 0.97802 0.83683, 0.00000 -0.08056 0.94925, 6.50000 -1.50000 1.10000"
1,-26.6682,Tx-I-I-I-I-Rx,4,-69.9795,"-3.90000 0.80000 1.00000, -2.95945 0.63856 1.00704, -2.92959 0.63344 1.00726, 0.00000 0.13060 1.02910, 8.00000 -1.24253 1.08881, 6.50000 -1.50000 1.10000"
1,-11.9111,Tx-I-I-I-I-Rx,4,-69.9795,"-3.90000 0.80000 1.00000, 5.81033 4.00000 0.79184, 6.96779 3.61857 0.76698, 8.00000 3.27843 0.78911, 0.00000 0.64206 0.96064, 6.50000 -1.50000 1.10000"
1,-24.8917,Tx-I-I-Rx,2,-69.9795,"-3.90000 0.80000 1.00000, -4.84704 0.97996 0.83546, 0.00000 -0.07939 0.94846, 6.50000 -1.50000 1.10000"
1,-7.6191,Tx-I-I-I-Rx,3,-69.9795,"-3.90000 0.80000 1.00000, -8.00000 4.04027 0.53710, -4.25512 7.00000 0.11429, -3.24325 6.20031 0.00000, 6.50000 -1.50000 1.10000"
1,-14.9434,Tx-I-I-I-I-Rx,4,-69.9795,"-3.90000 0.80000 1.00000, 5.81029 4.00000 0.22759, 8.00000 3.27841 0.05341, 7.32914 3.05733 0.00000, 0.00000 0.64206 0.58295, 6.50000 -1.50000 1.10000"
1,-6.0510,Tx-I-I-I-Rx,3,-69.9795,"-3.90000 0.80000 1.00000, 1.02870 4.00000 0.22759, 2.48079 3.05724 0.00000, 8.00000 -0.52611 0.86492, 6.50000 -1.50000 1.10000"
1,-27.3053,Tx-I-I-I-I-Rx,4,-69.9795,"-3.90000 0.80000 1.00000, -2.98159 0.59692 0.81455, -2.96164 0.59249 0.81053, 0.00000 -0.06250 0.21250, 1.05230 -0.29522 0.00000, 6.50000 -1.50000 1.10000"
1,-22.6153,Tx-I-I-I-Rx,3,-69.9795,"-3.90000 0.80000 1.00000, 0.00000 -0.65273 0.21250, 1.05232 -1.04472 0.00000, 4.38724 -2.28699 0.67339, 6.50000 -1.50000 1.10000"
1,-28.6237,Tx-I-I-I-I-Rx,4,-69.9795,"-3.90000 0.80000 1.00000, -2.13729 5.49492 0.00000, -1.57222 7.00000 0.32056, 3.15083 -5.57961 3.00000, 4.05955 -8.00000 2.48449, 6.50000 -1.50000 1.10000"
1,-25.4585,Tx-I-I-I-Rx,3,-69.9795,"-3.90000 0.80000 1.00000, -4.84209 0.97888 0.78279, -4.18054 0.83429 0.76181, 0.00000 -0.07939 0.89416, 6.50000 -1.50000 1.10000"
