Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-27.2616,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -2.93206 -0.46062 0.93378, -2.89266 -0.51191 0.93108, -2.93547 -0.64670 0.93761, -4.00000 -4.00000 1.10000"
1,-14.7969,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87153 0.27975 1.01021, -4.90541 0.26163 1.01057, -8.77738 -1.81175 1.05129, -4.00000 -4.00000 1.10000"
1,-14.7969,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87141 0.28016 1.00981, -4.90543 0.26197 1.01016, -8.77743 -1.81007 1.04932, -4.00000 -4.00000 1.10000"
1,-14.7969,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87144 0.28019 1.01020, -4.90532 0.26208 1.01057, -8.77744 -1.80983 1.05128, -4.00000 -4.00000 1.10000"
1,-14.7968,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87147 0.28004 1.01021, -4.90535 0.26193 1.01057, -8.77742 -1.81047 1.05128, -4.00000 -4.00000 1.10000"
1,-14.7971,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87159 0.27950 1.01034, -4.90543 0.26139 1.01071, -8.77734 -1.81283 1.05197, -4.00000 -4.00000 1.10000"
1,-14.7970,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87154 0.27971 1.01024, -4.90541 0.26160 1.01061, -8.77737 -1.81191 1.05147, -4.00000 -4.00000 1.10000"
1,-14.7972,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87165 0.27912 1.01021, -4.90555 0.26098 1.01057, -8.77729 -1.81452 1.05130, -4.00000 -4.00000 1.10000"
1,-14.7969,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87146 0.28006 1.01021, -4.90535 0.26195 1.01057, -8.77742 -1.81039 1.05128, -4.00000 -4.00000 1.10000"
1,-14.7967,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87137 0.28052 1.01020, -4.90526 0.26242 1.01057, -8.77748 -1.80837 1.05127, -4.00000 -4.00000 1.10000"
1,-14.7968,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87142 0.28016 1.00996, -4.90539 0.26200 1.01032, -8.77743 -1.81003 1.05008, -4.00000 -4.00000 1.10000"
1,-14.7970,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87153 0.27977 1.01028, -4.90539 0.26167 1.01065, -8.77738 -1.81163 1.05165, -4.00000 -4.00000 1.10000"
1,-14.7968,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87139 0.28029 1.00996, -4.90536 0.26214 1.01032, -8.77745 -1.80942 1.05006, -4.00000 -4.00000 1.10000"
1,-14.7973,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87169 0.27893 1.01021, -4.90558 0.26078 1.01058, -8.77727 -1.81536 1.05130, -4.00000 -4.00000 1.10000"
1,-14.7968,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87146 0.28010 1.01023, -4.90533 0.26200 1.01059, -8.77742 -1.81021 1.05141, -4.00000 -4.00000 1.10000"
1,-28.3019,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, 0.00000 6.53213 0.92098, -0.31829 7.00000 0.91453, -4.83717 0.35834 0.82297, -4.00000 -4.00000 1.10000"
1,-27.3160,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -2.93292 -0.45616 0.93298, -2.89355 -0.50727 0.93025, -2.93181 -0.62799 0.93612, -4.00000 -4.00000 1.10000"
1,-14.7969,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87148 0.28004 1.01032, -4.90533 0.26194 1.01068, -8.77742 -1.81047 1.05185, -4.00000 -4.00000 1.10000"
1,-14.7966,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87138 0.28045 1.01011, -4.90529 0.26233 1.01047, -8.77747 -1.80871 1.05081, -4.00000 -4.00000 1.10000"
1,-14.7969,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87146 0.27985 1.00969, -4.90553 0.26163 1.01004, -8.77739 -1.81145 1.04870, -4.00000 -4.00000 1.10000"
1,-14.7969,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87149 0.27991 1.01021, -4.90538 0.26179 1.01057, -8.77740 -1.81107 1.05129, -4.00000 -4.00000 1.10000"
1,-14.7967,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -4.87135 0.28061 1.01020, -4.90524 0.26251 1.01056, -8.77749 -1.80799 1.05127, -4.00000 -4.00000 1.10000"
1,-26.5936,Tx-I-I-I-Rx,3,-58.5787,"-3.90000 0.80000 1.00000, -3.92191 5.79099 0.87373, -3.94132 1.36868 0.76181, -3.98244 -8.00000 0.99880, -4.00000 -4.00000 1.10000"
