Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-89.2232,"-3.90000 0.80000 1.00000, -9.85000 -7.85000 0.10000"
2,0.0000,Tx-Rx,0,-92.1703,"-3.90000 0.80000 1.00000, -9.55000 -7.85000 0.10000"
3,0.0000,Tx-Rx,0,-87.5004,"-3.90000 0.80000 1.00000, -9.25000 -7.85000 0.10000"
4,0.0000,Tx-Rx,0,-87.0015,"-3.90000 0.80000 1.00000, -8.95000 -7.85000 0.10000"
5,0.0000,Tx-Rx,0,-82.6035,"-3.90000 0.80000 1.00000, -8.65000 -7.85000 0.10000"
6,0.0000,Tx-Rx,0,-88.3339,"-3.90000 0.80000 1.00000, -8.35000 -7.85000 0.10000"
7,0.0000,Tx-Rx,0,-70.9140,"-3.90000 0.80000 1.00000, -8.05000 -7.85000 0.10000"
8,0.0000,Tx-Rx,0,-63.7692,"-3.90000 0.80000 1.00000, -7.75000 -7.85000 0.10000"
9,0.0000,Tx-Rx,0,-65.8728,"-3.90000 0.80000 1.00000, -7.45000 -7.85000 0.10000"
10,0.0000,Tx-Rx,0,-63.2850,"-3.90000 0.80000 1.00000, -7.15000 -7.85000 0.10000"
11,0.0000,Tx-Rx,0,-65.1573,"-3.90000 0.80000 1.00000, -6.85000 -7.85000 0.10000"
12,0.0000,Tx-Rx,0,-61.4203,"-3.90000 0.80000 1.00000, -6.55000 -7.85000 0.10000"
13,0.0000,Tx-Rx,0,-58.4660,"-3.90000 0.80000 1.00000, -6.25000 -7.85000 0.10000"
14,0.0000,Tx-Rx,0,-55.2710,"-3.90000 0.80000 1.00000, -5.95000 -7.85000 0.10000"
15,0.0000,Tx-Rx,0,-55.0928,"-3.90000 0.80000 1.00000, -5.65000 -7.85000 0.10000"
16,0.0000,Tx-Rx,0,-53.7454,"-3.90000 0.80000 1.00000, -5.35000 -7.85000 0.10000"
17,0.0000,Tx-Rx,0,-54.4745,"-3.90000 0.80000 1.00000, -5.05000 -7.85000 0.10000"
18,0.0000,Tx-Rx,0,-53.4457,"-3.90000 0.80000 1.00000, -4.75000 -7.85000 0.10000"
19,0.0000,Tx-Rx,0,-53.1351,"-3.90000 0.80000 1.00000, -4.45000 -7.85000 0.10000"
20,0.0000,Tx-Rx,0,-52.9546,"-3.90000 0.80000 1.00000, -4.15000 -7.85000 0.10000"
21,0.0000,Tx-Rx,0,-52.3871,"-3.90000 0.80000 1.00000, -3.85000 -7.85000 0.10000"
22,0.0000,Tx-Rx,0,-52.5235,"-3.90000 0.80000 1.00000, -3.55000 -7.85000 0.10000"
23,0.0000,Tx-Rx,0,-53.4188,"-3.90000 0.80000 1.00000, -3.25000 -7.85000 0.10000"
24,0.0000,Tx-Rx,0,-53.5099,"-3.90000 0.80000 1.00000, -2.95000 -7.85000 0.10000"
25,0.0000,Tx-Rx,0,-53.7795,"-3.90000 0.80000 1.00000, -2.65000 -7.85000 0.10000"
26,0.0000,Tx-Rx,0,-53.9531,"-3.90000 0.80000 1.00000, -2.35000 -7.85000 0.10000"
27,0.0000,Tx-Rx,0,-53.9603,"-3.90000 0.80000 1.00000, -2.05000 -7.85000 0.10000"
28,0.0000,Tx-Rx,0,-54.0993,"-3.90000 0.80000 1.00000, -1.75000 -7.85000 0.10000"
29,0.0000,Tx-Rx,0,-54.1314,"-3.90000 0.80000 1.00000, -1.45000 -7.85000 0.10000"
30,0.0000,Tx-Rx,0,-53.2577,"-3.90000 0.80000 1.00000, -1.15000 -7.85000 0.10000"
31,0.0000,Tx-Rx,0,-52.5964,"-3.90000 0.80000 1.00000, -0.85000 -7.85000 0.10000"
32,0.0000,Tx-Rx,0,-51.8340,"-3.90000 0.80000 1.00000, -0.55000 -7.85000 0.10000"
33,0.0000,Tx-Rx,0,-51.7091,"-3.90000 0.80000 1.00000, -0.25000 -7.85000 0.10000"
34,0.0000,Tx-Rx,0,-56.5830,"-3.90000 0.80000 1.00000, 0.05000 -7.85000 0.10000"
35,0.0000,Tx-Rx,0,-71.2534,"-3.90000 0.80000 1.00000, 0.35000 -7.85000 0.10000"
36,0.0000,Tx-Rx,0,-73.1358,"-3.90000 0.80000 1.00000, 0.65000 -7.85000 0.10000"
37,0.0000,Tx-Rx,0,-76.8797,"-3.90000 0.80000 1.00000, 0.95000 -7.85000 0.10000"
38,0.0000,Tx-Rx,0,-72.2170,"-3.90000 0.80000 1.00000, 1.25000 -7.85000 0.10000"
39,0.0000,Tx-Rx,0,-77.6238,"-3.90000 0.80000 1.00000, 1.55000 -7.85000 0.10000"
40,0.0000,Tx-Rx,0,-82.6052,"-3.90000 0.80000 1.00000, 1.85000 -7.85000 0.10000"
41,0.0000,Tx-Rx,0,-78.6439,"-3.90000 0.80000 1.00000, 2.15000 -7.85000 0.10000"
42,0.0000,Tx-Rx,0,-71.5968,"-3.90000 0.80000 1.00000, 2.45000 -7.85000 0.10000"
43,0.0000,Tx-Rx,0,-88.9005,"-3.90000 0.80000 1.00000, 2.75000 -7.85000 0.10000"
44,0.0000,Tx-Rx,0,-270.0000,"-3.90000 0.80000 1.00000, 3.05000 -7.85000 0.10000"
45,0.0000,Tx-Rx,0,-270.0000,"-3.90000 0.80000 1.00000, 3.35000 -7.85000 0.10000"
