Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-40.8423,Tx-I-I-I-Rx,3,-76.9467,"-3.90000 0.80000 1.00000, -1.35715 -1.60000 3.00000, 0.00000 -2.88089 1.93261, 2.45713 -5.19999 0.00000, 5.00000 -7.60000 2.00000"
1,-46.4088,Tx-I-I-I-I-Rx,4,-76.9467,"-3.90000 0.80000 1.00000, -1.92223 -1.06666 3.00000, 0.00000 -2.88089 1.05622, 1.04445 -3.86667 0.00000, 4.01110 -6.66666 3.00000, 5.00000 -7.60000 2.00000"
1,-0.3717,Tx-I-Rx,1,-76.9467,"-3.90000 0.80000 1.00000, 0.00000 -2.88088 1.43820, 5.00000 -7.60000 2.00000"
1,-12.7467,Tx-I-I-Rx,2,-76.9467,"-3.90000 0.80000 1.00000, 0.00000 -2.88089 2.31459, 2.03330 -4.79997 3.00000, 5.00000 -7.60000 2.00000"
1,-55.4578,Tx-I-I-I-I-Rx,4,-76.9467,"-3.90000 0.80000 1.00000, 0.00000 -1.39866 2.83220, 0.35712 -1.59999 3.00000, 6.74282 -5.20000 0.00000, 8.00000 -5.90871 0.59059, 5.00000 -7.60000 2.00000"
1,-45.3428,Tx-I-I-I-I-Rx,4,-76.9467,"-3.90000 0.80000 1.00000, -9.92859 -1.60001 3.00000, -10.00000 -1.62841 2.97633, -1.02861 -5.19999 0.00000, 0.00000 -5.60947 0.34122, 5.00000 -7.60000 2.00000"
1,-17.5216,Tx-I-I-I-Rx,3,-76.9467,"-3.90000 0.80000 1.00000, 0.00000 -1.39865 1.78522, 6.03328 -4.79998 3.00000, 8.00000 -5.90871 2.60403, 5.00000 -7.60000 2.00000"
1,-17.7662,Tx-I-I-I-Rx,3,-76.9467,"-3.90000 0.80000 1.00000, -10.00000 -1.62842 1.86729, -2.03361 -4.79991 3.00000, 0.00000 -5.60948 2.71088, 5.00000 -7.60000 2.00000"
1,-21.9588,Tx-I-I-I-I-Rx,4,-76.9467,"-3.90000 0.80000 1.00000, 0.00000 -1.60804 1.78522, 6.03328 -5.33328 3.00000, 8.00000 -6.54760 2.60403, 5.64783 -8.00000 2.13044, 5.00000 -7.60000 2.00000"
1,-24.7811,Tx-I-I-I-I-Rx,4,-76.9467,"-3.90000 0.80000 1.00000, -8.00000 5.78711 1.71929, -7.00292 7.00000 1.89422, -0.70003 -0.66663 3.00000, 0.00000 -1.51810 2.87720, 5.00000 -7.60000 2.00000"
1,-24.9863,Tx-I-I-I-I-Rx,4,-76.9467,"-3.90000 0.80000 1.00000, 0.00000 6.24430 1.78523, 0.54130 7.00000 1.89421, 6.03324 -0.66657 3.00000, 8.00000 -3.41204 2.60403, 5.00000 -7.60000 2.00000"
1,-9.1807,Tx-I-I-Rx,2,-76.9467,"-3.90000 0.80000 1.00000, 0.00000 -1.39865 1.26174, 8.00000 -5.90871 1.79866, 5.00000 -7.60000 2.00000"
1,-19.6299,Tx-I-I-I-Rx,3,-76.9467,"-3.90000 0.80000 1.00000, -8.00000 5.78712 1.23977, -7.00293 7.00000 1.29808, 0.00000 -1.51813 1.70763, 5.00000 -7.60000 2.00000"
1,-25.9190,Tx-I-I-I-I-Rx,4,-76.9467,"-3.90000 0.80000 1.00000, 0.00000 -0.51566 1.46988, 8.00000 -3.21445 2.43372, 3.30019 -4.79994 3.00000, 0.00000 -5.91324 2.60241, 5.00000 -7.60000 2.00000"
1,-4.0709,Tx-I-I-I-I-Rx,4,-76.9467,"-3.90000 0.80000 1.00000, 1.48373 4.00000 1.64864, 8.00000 0.12692 2.43373, 3.30018 -2.66656 3.00000, 0.00000 -4.62810 2.60241, 5.00000 -7.60000 2.00000"
1,-21.9320,Tx-I-I-I-I-Rx,4,-76.9467,"-3.90000 0.80000 1.00000, -10.00000 -1.63983 1.86728, -2.03343 -4.82628 3.00000, 0.00000 -5.63959 2.71090, 4.95060 -7.61976 2.00702, 5.00000 -7.60000 2.00000"
1,-25.8890,Tx-I-I-I-I-Rx,4,-76.9467,"-3.90000 0.80000 1.00000, 0.00000 -0.51566 1.46987, -8.00000 -3.21445 2.43372, -3.30018 -4.79994 3.00000, 0.00000 -5.91324 2.60241, 5.00000 -7.60000 2.00000"
1,-26.2205,Tx-I-I-I-I-Rx,4,-76.9467,"-3.90000 0.80000 1.00000, -10.00000 -1.09076 1.67527, 0.00000 -4.19041 2.78228, 1.96641 -4.79993 3.00000, 8.00000 -6.67010 2.33211, 5.00000 -7.60000 2.00000"
1,-20.6082,Tx-I-I-I-Rx,3,-76.9467,"-3.90000 0.80000 1.00000, 0.00000 -0.51566 1.15663, 8.00000 -3.21444 1.47791, 0.00000 -5.91325 1.79920, 5.00000 -7.60000 2.00000"
1,-25.8304,Tx-I-I-I-I-Rx,4,-76.9467,"-3.90000 0.80000 1.00000, -10.00000 -1.62838 1.28910, 0.00000 -5.60939 1.76303, 0.05029 -5.62945 1.76542, 0.14589 -5.66755 1.76995, 5.00000 -7.60000 2.00000"
