Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-42.9650,Tx-I-I-I-I-Rx,4,-73.8090,"-6.00000 -5.60000 0.90000, -3.46156 -6.06154 3.00000, 0.00000 -6.69091 0.13642, 0.16485 -6.72088 0.00000, 3.79120 -7.38022 3.00000, 5.00000 -7.60000 2.00000"
1,-70.1486,Tx-I-I-I-I-Rx,4,-73.8090,"-6.00000 -5.60000 0.90000, -8.00000 -5.86666 1.84665, -5.56345 -6.19154 3.00000, 0.00000 -6.93333 0.36670, 0.77461 -7.03661 0.00000, 5.00000 -7.60000 2.00000"
1,-44.3955,Tx-I-I-I-Rx,3,-73.8090,"-6.00000 -5.60000 0.90000, -1.75293 -6.37220 3.00000, 0.00000 -6.69091 2.13329, 2.63473 -7.16995 0.83048, 5.00000 -7.60000 2.00000"
1,-46.5052,Tx-I-I-I-I-Rx,4,-73.8090,"-6.00000 -5.60000 0.90000, -1.75293 -6.38744 3.00000, 0.00000 -6.71244 2.13329, 2.63473 -7.20093 0.83048, 4.89342 -7.61976 1.94730, 5.00000 -7.60000 2.00000"
1,-0.3842,Tx-I-Rx,1,-73.8090,"-6.00000 -5.60000 0.90000, 0.00000 -6.69091 1.50000, 5.00000 -7.60000 2.00000"
1,-14.9301,Tx-I-I-Rx,2,-73.8090,"-6.00000 -5.60000 0.90000, 0.00000 -6.69091 2.59088, 1.45156 -6.95483 3.00000, 5.00000 -7.60000 2.00000"
1,-20.7606,Tx-I-I-I-Rx,3,-73.8090,"-6.00000 -5.60000 0.90000, 0.00000 -6.30588 1.99410, 5.51607 -6.95483 3.00000, 8.00000 -7.24706 2.54706, 5.00000 -7.60000 2.00000"
1,-16.9902,Tx-I-I-I-Rx,3,-73.8090,"-6.00000 -5.60000 0.90000, 0.00000 -6.71244 2.59088, 1.45157 -6.98157 3.00000, 4.89342 -7.61976 2.03004, 5.00000 -7.60000 2.00000"
1,-22.1185,Tx-I-I-I-I-Rx,4,-73.8090,"-6.00000 -5.60000 0.90000, 0.00000 -6.58822 1.99410, 5.51605 -7.49674 3.00000, 8.00000 -7.90585 2.54706, 7.42869 -8.00000 2.44288, 5.00000 -7.60000 2.00000"
1,-21.0672,Tx-I-I-I-Rx,3,-73.8090,"-6.00000 -5.60000 0.90000, -8.00000 -5.86666 1.31332, 0.00000 -6.93333 2.96664, 0.16119 -6.95483 3.00000, 5.00000 -7.60000 2.00000"
