Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-74.5641,"-6.00000 -5.60000 0.90000, -9.85000 -7.85000 0.10000"
2,0.0000,Tx-Rx,0,-75.1278,"-6.00000 -5.60000 0.90000, -9.55000 -7.85000 0.10000"
3,0.0000,Tx-Rx,0,-74.1586,"-6.00000 -5.60000 0.90000, -9.25000 -7.85000 0.10000"
4,0.0000,Tx-Rx,0,-77.3797,"-6.00000 -5.60000 0.90000, -8.95000 -7.85000 0.10000"
5,0.0000,Tx-Rx,0,-82.4078,"-6.00000 -5.60000 0.90000, -8.65000 -7.85000 0.10000"
6,0.0000,Tx-Rx,0,-96.4269,"-6.00000 -5.60000 0.90000, -8.35000 -7.85000 0.10000"
7,0.0000,Tx-Rx,0,-71.5301,"-6.00000 -5.60000 0.90000, -8.05000 -7.85000 0.10000"
8,0.0000,Tx-Rx,0,-68.9209,"-6.00000 -5.60000 0.90000, -7.75000 -7.85000 0.10000"
9,0.0000,Tx-Rx,0,-65.6065,"-6.00000 -5.60000 0.90000, -7.45000 -7.85000 0.10000"
10,0.0000,Tx-Rx,0,-62.8140,"-6.00000 -5.60000 0.90000, -7.15000 -7.85000 0.10000"
11,0.0000,Tx-Rx,0,-63.9549,"-6.00000 -5.60000 0.90000, -6.85000 -7.85000 0.10000"
12,0.0000,Tx-Rx,0,-63.9224,"-6.00000 -5.60000 0.90000, -6.55000 -7.85000 0.10000"
13,0.0000,Tx-Rx,0,-61.9547,"-6.00000 -5.60000 0.90000, -6.25000 -7.85000 0.10000"
14,0.0000,Tx-Rx,0,-54.5962,"-6.00000 -5.60000 0.90000, -5.95000 -7.85000 0.10000"
15,0.0000,Tx-Rx,0,-46.1355,"-6.00000 -5.60000 0.90000, -5.65000 -7.85000 0.10000"
16,0.0000,Tx-Rx,0,-46.6925,"-6.00000 -5.60000 0.90000, -5.35000 -7.85000 0.10000"
17,0.0000,Tx-Rx,0,-49.4948,"-6.00000 -5.60000 0.90000, -5.05000 -7.85000 0.10000"
18,0.0000,Tx-Rx,0,-46.2966,"-6.00000 -5.60000 0.90000, -4.75000 -7.85000 0.10000"
19,0.0000,Tx-Rx,0,-46.4176,"-6.00000 -5.60000 0.90000, -4.45000 -7.85000 0.10000"
20,0.0000,Tx-Rx,0,-46.8745,"-6.00000 -5.60000 0.90000, -4.15000 -7.85000 0.10000"
21,0.0000,Tx-Rx,0,-47.2243,"-6.00000 -5.60000 0.90000, -3.85000 -7.85000 0.10000"
22,0.0000,Tx-Rx,0,-47.6712,"-6.00000 -5.60000 0.90000, -3.55000 -7.85000 0.10000"
23,0.0000,Tx-Rx,0,-48.0885,"-6.00000 -5.60000 0.90000, -3.25000 -7.85000 0.10000"
24,0.0000,Tx-Rx,0,-48.5467,"-6.00000 -5.60000 0.90000, -2.95000 -7.85000 0.10000"
25,0.0000,Tx-Rx,0,-49.0444,"-6.00000 -5.60000 0.90000, -2.65000 -7.85000 0.10000"
26,0.0000,Tx-Rx,0,-49.5673,"-6.00000 -5.60000 0.90000, -2.35000 -7.85000 0.10000"
27,0.0000,Tx-Rx,0,-49.8031,"-6.00000 -5.60000 0.90000, -2.05000 -7.85000 0.10000"
28,0.0000,Tx-Rx,0,-51.0113,"-6.00000 -5.60000 0.90000, -1.75000 -7.85000 0.10000"
29,0.0000,Tx-Rx,0,-52.7896,"-6.00000 -5.60000 0.90000, -1.45000 -7.85000 0.10000"
30,0.0000,Tx-Rx,0,-52.6363,"-6.00000 -5.60000 0.90000, -1.15000 -7.85000 0.10000"
31,0.0000,Tx-Rx,0,-52.5718,"-6.00000 -5.60000 0.90000, -0.85000 -7.85000 0.10000"
32,0.0000,Tx-Rx,0,-52.2587,"-6.00000 -5.60000 0.90000, -0.55000 -7.85000 0.10000"
33,0.0000,Tx-Rx,0,-49.1391,"-6.00000 -5.60000 0.90000, -0.25000 -7.85000 0.10000"
34,0.0000,Tx-Rx,0,-53.9012,"-6.00000 -5.60000 0.90000, 0.05000 -7.85000 0.10000"
35,0.0000,Tx-Rx,0,-74.7539,"-6.00000 -5.60000 0.90000, 0.35000 -7.85000 0.10000"
36,0.0000,Tx-Rx,0,-69.7112,"-6.00000 -5.60000 0.90000, 0.65000 -7.85000 0.10000"
37,0.0000,Tx-Rx,0,-66.8501,"-6.00000 -5.60000 0.90000, 0.95000 -7.85000 0.10000"
38,0.0000,Tx-Rx,0,-76.2942,"-6.00000 -5.60000 0.90000, 1.25000 -7.85000 0.10000"
39,0.0000,Tx-Rx,0,-75.8578,"-6.00000 -5.60000 0.90000, 1.55000 -7.85000 0.10000"
40,0.0000,Tx-Rx,0,-68.9543,"-6.00000 -5.60000 0.90000, 1.85000 -7.85000 0.10000"
41,0.0000,Tx-Rx,0,-68.0419,"-6.00000 -5.60000 0.90000, 2.15000 -7.85000 0.10000"
42,0.0000,Tx-Rx,0,-67.1131,"-6.00000 -5.60000 0.90000, 2.45000 -7.85000 0.10000"
43,0.0000,Tx-Rx,0,-82.8861,"-6.00000 -5.60000 0.90000, 2.75000 -7.85000 0.10000"
44,0.0000,Tx-Rx,0,-83.6524,"-6.00000 -5.60000 0.90000, 3.05000 -7.85000 0.10000"
45,0.0000,Tx-Rx,0,-85.2377,"-6.00000 -5.60000 0.90000, 3.35000 -7.85000 0.10000"
46,0.0000,Tx-Rx,0,-86.0338,"-6.00000 -5.60000 0.90000, 3.65000 -7.85000 0.10000"
47,0.0000,Tx-Rx,0,-76.7824,"-6.00000 -5.60000 0.90000, 3.95000 -7.85000 0.10000"
48,0.0000,Tx-Rx,0,-73.7832,"-6.00000 -5.60000 0.90000, 4.25000 -7.85000 0.10000"
49,0.0000,Tx-Rx,0,-75.1778,"-6.00000 -5.60000 0.90000, 4.55000 -7.85000 0.10000"
50,0.0000,Tx-Rx,0,-84.8064,"-6.00000 -5.60000 0.90000, 4.85000 -7.85000 0.10000"
51,0.0000,Tx-Rx,0,-82.0249,"-6.00000 -5.60000 0.90000, 5.15000 -7.85000 0.10000"
52,0.0000,Tx-Rx,0,-82.0899,"-6.00000 -5.60000 0.90000, 5.45000 -7.85000 0.10000"
53,0.0000,Tx-Rx,0,-87.2183,"-6.00000 -5.60000 0.90000, 5.75000 -7.85000 0.10000"
54,0.0000,Tx-Rx,0,-75.0609,"-6.00000 -5.60000 0.90000, 6.05000 -7.85000 0.10000"
55,0.0000,Tx-Rx,0,-81.5099,"-6.00000 -5.60000 0.90000, 6.35000 -7.85000 0.10000"
56,0.0000,Tx-Rx,0,-80.7374,"-6.00000 -5.60000 0.90000, 6.65000 -7.85000 0.10000"
57,0.0000,Tx-Rx,0,-78.5826,"-6.00000 -5.60000 0.90000, 6.95000 -7.85000 0.10000"
58,0.0000,Tx-Rx,0,-79.0148,"-6.00000 -5.60000 0.90000, 7.25000 -7.85000 0.10000"
59,0.0000,Tx-Rx,0,-83.1585,"-6.00000 -5.60000 0.90000, 7.55000 -7.85000 0.10000"
60,0.0000,Tx-Rx,0,-82.2061,"-6.00000 -5.60000 0.90000, 7.85000 -7.85000 0.10000"
61,0.0000,Tx-Rx,0,-74.4961,"-6.00000 -5.60000 0.90000, -9.85000 -7.55000 0.10000"
62,0.0000,Tx-Rx,0,-73.9816,"-6.00000 -5.60000 0.90000, -9.55000 -7.55000 0.10000"
63,0.0000,Tx-Rx,0,-74.3046,"-6.00000 -5.60000 0.90000, -9.25000 -7.55000 0.10000"
64,0.0000,Tx-Rx,0,-79.3895,"-6.00000 -5.60000 0.90000, -8.95000 -7.55000 0.10000"
65,0.0000,Tx-Rx,0,-78.0316,"-6.00000 -5.60000 0.90000, -8.65000 -7.55000 0.10000"
66,0.0000,Tx-Rx,0,-80.5790,"-6.00000 -5.60000 0.90000, -8.35000 -7.55000 0.10000"
67,0.0000,Tx-Rx,0,-71.1555,"-6.00000 -5.60000 0.90000, -8.05000 -7.55000 0.10000"
68,0.0000,Tx-Rx,0,-64.3803,"-6.00000 -5.60000 0.90000, -7.75000 -7.55000 0.10000"
69,0.0000,Tx-Rx,0,-64.7118,"-6.00000 -5.60000 0.90000, -7.45000 -7.55000 0.10000"
70,0.0000,Tx-Rx,0,-62.8670,"-6.00000 -5.60000 0.90000, -7.15000 -7.55000 0.10000"
71,0.0000,Tx-Rx,0,-61.4548,"-6.00000 -5.60000 0.90000, -6.85000 -7.55000 0.10000"
72,0.0000,Tx-Rx,0,-60.8285,"-6.00000 -5.60000 0.90000, -6.55000 -7.55000 0.10000"
73,0.0000,Tx-Rx,0,-56.3044,"-6.00000 -5.60000 0.90000, -6.25000 -7.55000 0.10000"
74,0.0000,Tx-Rx,0,-53.4824,"-6.00000 -5.60000 0.90000, -5.95000 -7.55000 0.10000"
75,0.0000,Tx-Rx,0,-45.0637,"-6.00000 -5.60000 0.90000, -5.65000 -7.55000 0.10000"
76,0.0000,Tx-Rx,0,-44.6344,"-6.00000 -5.60000 0.90000, -5.35000 -7.55000 0.10000"
77,0.0000,Tx-Rx,0,-45.1606,"-6.00000 -5.60000 0.90000, -5.05000 -7.55000 0.10000"
78,0.0000,Tx-Rx,0,-45.5259,"-6.00000 -5.60000 0.90000, -4.75000 -7.55000 0.10000"
79,0.0000,Tx-Rx,0,-45.7026,"-6.00000 -5.60000 0.90000, -4.45000 -7.55000 0.10000"
80,0.0000,Tx-Rx,0,-46.3124,"-6.00000 -5.60000 0.90000, -4.15000 -7.55000 0.10000"
81,0.0000,Tx-Rx,0,-46.9427,"-6.00000 -5.60000 0.90000, -3.85000 -7.55000 0.10000"
82,0.0000,Tx-Rx,0,-47.3620,"-6.00000 -5.60000 0.90000, -3.55000 -7.55000 0.10000"
83,0.0000,Tx-Rx,0,-47.9447,"-6.00000 -5.60000 0.90000, -3.25000 -7.55000 0.10000"
84,0.0000,Tx-Rx,0,-48.4422,"-6.00000 -5.60000 0.90000, -2.95000 -7.55000 0.10000"
