Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-26.2421,Tx-I-I-I-I-Rx,4,-72.6272,"-6.00000 -5.60000 0.90000, -0.97185 0.67042 3.00000, 1.69807 4.00000 1.88494, 6.21121 -1.62814 0.00000, 8.00000 -3.85879 0.74705, 5.00000 -7.60000 2.00000"
1,-5.5753,Tx-I-Rx,1,-72.6272,"-6.00000 -5.60000 0.90000, 0.00000 -6.69091 1.50000, 5.00000 -7.60000 2.00000"
1,-20.1212,Tx-I-I-Rx,2,-72.6272,"-6.00000 -5.60000 0.90000, 0.00000 -6.69091 2.59088, 1.45156 -6.95483 3.00000, 5.00000 -7.60000 2.00000"
1,-25.9517,Tx-I-I-I-Rx,3,-72.6272,"-6.00000 -5.60000 0.90000, 0.00000 -6.30588 1.99410, 5.51607 -6.95483 3.00000, 8.00000 -7.24706 2.54706, 5.00000 -7.60000 2.00000"
1,-22.1813,Tx-I-I-I-Rx,3,-72.6272,"-6.00000 -5.60000 0.90000, 0.00000 -6.71244 2.59088, 1.45157 -6.98157 3.00000, 4.89342 -7.61976 2.03004, 5.00000 -7.60000 2.00000"
1,-27.3095,Tx-I-I-I-I-Rx,4,-72.6272,"-6.00000 -5.60000 0.90000, 0.00000 -6.58822 1.99410, 5.51605 -7.49674 3.00000, 8.00000 -7.90585 2.54706, 7.42869 -8.00000 2.44288, 5.00000 -7.60000 2.00000"
1,-26.2583,Tx-I-I-I-Rx,3,-72.6272,"-6.00000 -5.60000 0.90000, -8.00000 -5.86666 1.31332, 0.00000 -6.93333 2.96664, 0.16119 -6.95483 3.00000, 5.00000 -7.60000 2.00000"
1,-27.7518,Tx-I-I-I-I-Rx,4,-72.6272,"-6.00000 -5.60000 0.90000, -8.00000 -5.87192 1.31332, 0.00000 -6.95965 2.96664, 0.16119 -6.98156 3.00000, 4.85467 -7.61976 2.03004, 5.00000 -7.60000 2.00000"
1,-5.1911,Tx-I-I-I-Rx,3,-72.6272,"-6.00000 -5.60000 0.90000, 1.69807 4.00000 2.30375, 5.51602 -0.76118 3.00000, 8.00000 -3.85879 2.54706, 5.00000 -7.60000 2.00000"
1,-11.7856,Tx-I-I-I-I-Rx,4,-72.6272,"-6.00000 -5.60000 0.90000, 1.41816 4.00000 2.25271, 5.51602 -1.30308 3.00000, 8.00000 -4.51758 2.54706, 5.30909 -8.00000 2.05636, 5.00000 -7.60000 2.00000"
1,-17.2268,Tx-I-I-Rx,2,-72.6272,"-6.00000 -5.60000 0.90000, 0.00000 -6.30588 1.28823, 8.00000 -7.24706 1.80588, 5.00000 -7.60000 2.00000"
1,-18.6460,Tx-I-I-I-Rx,3,-72.6272,"-6.00000 -5.60000 0.90000, 0.00000 -6.58822 1.28824, 8.00000 -7.90585 1.80588, 7.42869 -8.00000 1.84285, 5.00000 -7.60000 2.00000"
1,-26.7353,Tx-I-I-I-Rx,3,-72.6272,"-6.00000 -5.60000 0.90000, -0.90442 7.00000 2.33604, 0.30882 4.00000 2.67795, 1.45147 1.17454 3.00000, 5.00000 -7.60000 2.00000"
1,-7.6284,Tx-I-I-Rx,2,-72.6272,"-6.00000 -5.60000 0.90000, 0.00000 -6.71243 1.50000, 4.89342 -7.61976 1.98934, 5.00000 -7.60000 2.00000"
1,-27.0847,Tx-I-I-I-Rx,3,-72.6272,"-6.00000 -5.60000 0.90000, -8.00000 -5.79047 1.00476, 0.00000 -6.55238 1.42381, 8.00000 -7.31428 1.84286, 5.00000 -7.60000 2.00000"
1,-29.5620,Tx-I-I-I-I-Rx,4,-72.6272,"-6.00000 -5.60000 0.90000, 0.00000 -6.76129 1.50000, 4.43511 -7.61976 1.94351, 4.66651 -7.66460 1.96665, 4.89791 -7.61976 1.98979, 5.00000 -7.60000 2.00000"
1,0.0000,Tx-I-I-Rx,2,-72.6272,"-6.00000 -5.60000 0.90000, 1.69807 4.00000 1.39811, 8.00000 -3.85879 1.80588, 5.00000 -7.60000 2.00000"
1,-26.7174,Tx-I-I-I-I-Rx,4,-72.6272,"-6.00000 -5.60000 0.90000, -8.00000 -6.62071 1.04666, -5.29757 -8.00000 1.24485, 0.00000 -5.29635 1.63333, 0.24308 -5.17225 1.65116, 5.00000 -7.60000 2.00000"
1,-26.6393,Tx-I-I-I-I-Rx,4,-72.6272,"-6.00000 -5.60000 0.90000, 0.00000 -7.12718 1.50000, 3.42889 -8.00000 1.84289, 4.74641 -7.66460 1.97464, 4.92237 -7.61976 1.99224, 5.00000 -7.60000 2.00000"
1,-29.2503,Tx-I-I-I-Rx,3,-72.6272,"-6.00000 -5.60000 0.90000, 0.00000 -6.04444 1.14444, 8.00000 -6.63703 1.47037, 0.00000 -7.22963 1.79630, 5.00000 -7.60000 2.00000"
1,-6.6611,Tx-I-I-I-Rx,3,-72.6272,"-6.00000 -5.60000 0.90000, 1.41815 4.00000 1.38000, 8.00000 -4.51758 1.80588, 5.30909 -8.00000 1.98000, 5.00000 -7.60000 2.00000"
1,-16.5770,Tx-I-I-I-I-Rx,4,-72.6272,"-6.00000 -5.60000 0.90000, 0.00000 -0.65454 1.10000, -8.00000 5.93941 1.36667, -6.71333 7.00000 1.40956, 8.00000 -5.12725 1.90000, 5.00000 -7.60000 2.00000"
