Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.85000 0.10000 7.85000"
2,0.0000,Tx-Rx,0,-102.0284,"-7.30900 0.90000 -2.93800, 9.55000 0.10000 7.85000"
3,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.25000 0.10000 7.85000"
4,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 8.95000 0.10000 7.85000"
5,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 8.65000 0.10000 7.85000"
6,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 8.35000 0.10000 7.85000"
7,0.0000,Tx-Rx,0,-111.7819,"-7.30900 0.90000 -2.93800, 8.05000 0.10000 7.85000"
8,0.0000,Tx-Rx,0,-96.7635,"-7.30900 0.90000 -2.93800, 7.75000 0.10000 7.85000"
9,0.0000,Tx-Rx,0,-110.2262,"-7.30900 0.90000 -2.93800, 7.45000 0.10000 7.85000"
10,0.0000,Tx-Rx,0,-96.8872,"-7.30900 0.90000 -2.93800, 7.15000 0.10000 7.85000"
11,0.0000,Tx-Rx,0,-91.4183,"-7.30900 0.90000 -2.93800, 6.85000 0.10000 7.85000"
12,0.0000,Tx-Rx,0,-86.6644,"-7.30900 0.90000 -2.93800, 6.55000 0.10000 7.85000"
13,0.0000,Tx-Rx,0,-83.4954,"-7.30900 0.90000 -2.93800, 6.25000 0.10000 7.85000"
14,0.0000,Tx-Rx,0,-75.3787,"-7.30900 0.90000 -2.93800, 5.95000 0.10000 7.85000"
15,0.0000,Tx-Rx,0,-72.8441,"-7.30900 0.90000 -2.93800, 5.65000 0.10000 7.85000"
16,0.0000,Tx-Rx,0,-73.7179,"-7.30900 0.90000 -2.93800, 5.35000 0.10000 7.85000"
17,0.0000,Tx-Rx,0,-75.4684,"-7.30900 0.90000 -2.93800, 5.05000 0.10000 7.85000"
18,0.0000,Tx-Rx,0,-74.5992,"-7.30900 0.90000 -2.93800, 4.75000 0.10000 7.85000"
19,0.0000,Tx-Rx,0,-74.9552,"-7.30900 0.90000 -2.93800, 4.45000 0.10000 7.85000"
20,0.0000,Tx-Rx,0,-78.0964,"-7.30900 0.90000 -2.93800, 4.15000 0.10000 7.85000"
21,0.0000,Tx-Rx,0,-80.3804,"-7.30900 0.90000 -2.93800, 3.85000 0.10000 7.85000"
22,0.0000,Tx-Rx,0,-83.1935,"-7.30900 0.90000 -2.93800, 3.55000 0.10000 7.85000"
23,0.0000,Tx-Rx,0,-86.2387,"-7.30900 0.90000 -2.93800, 3.25000 0.10000 7.85000"
24,0.0000,Tx-Rx,0,-80.8984,"-7.30900 0.90000 -2.93800, 2.95000 0.10000 7.85000"
25,0.0000,Tx-Rx,0,-77.9732,"-7.30900 0.90000 -2.93800, 2.65000 0.10000 7.85000"
26,0.0000,Tx-Rx,0,-80.2665,"-7.30900 0.90000 -2.93800, 2.35000 0.10000 7.85000"
27,0.0000,Tx-Rx,0,-82.9689,"-7.30900 0.90000 -2.93800, 2.05000 0.10000 7.85000"
28,0.0000,Tx-Rx,0,-76.7375,"-7.30900 0.90000 -2.93800, 1.75000 0.10000 7.85000"
29,0.0000,Tx-Rx,0,-75.7468,"-7.30900 0.90000 -2.93800, 1.45000 0.10000 7.85000"
30,0.0000,Tx-Rx,0,-77.0379,"-7.30900 0.90000 -2.93800, 1.15000 0.10000 7.85000"
31,0.0000,Tx-Rx,0,-78.4103,"-7.30900 0.90000 -2.93800, 0.85000 0.10000 7.85000"
32,0.0000,Tx-Rx,0,-79.1223,"-7.30900 0.90000 -2.93800, 0.55000 0.10000 7.85000"
33,0.0000,Tx-Rx,0,-78.9541,"-7.30900 0.90000 -2.93800, 0.25000 0.10000 7.85000"
34,0.0000,Tx-Rx,0,-66.0062,"-7.30900 0.90000 -2.93800, -0.05000 0.10000 7.85000"
35,0.0000,Tx-Rx,0,-64.2655,"-7.30900 0.90000 -2.93800, -0.35000 0.10000 7.85000"
36,0.0000,Tx-Rx,0,-64.2271,"-7.30900 0.90000 -2.93800, -0.65000 0.10000 7.85000"
37,0.0000,Tx-Rx,0,-65.3111,"-7.30900 0.90000 -2.93800, -0.95000 0.10000 7.85000"
38,0.0000,Tx-Rx,0,-66.1525,"-7.30900 0.90000 -2.93800, -1.25000 0.10000 7.85000"
39,0.0000,Tx-Rx,0,-66.5562,"-7.30900 0.90000 -2.93800, -1.55000 0.10000 7.85000"
40,0.0000,Tx-Rx,0,-67.3489,"-7.30900 0.90000 -2.93800, -1.85000 0.10000 7.85000"
41,0.0000,Tx-Rx,0,-71.9361,"-7.30900 0.90000 -2.93800, -2.15000 0.10000 7.85000"
42,0.0000,Tx-Rx,0,-77.1020,"-7.30900 0.90000 -2.93800, -2.45000 0.10000 7.85000"
43,0.0000,Tx-Rx,0,-81.0940,"-7.30900 0.90000 -2.93800, -2.75000 0.10000 7.85000"
44,0.0000,Tx-Rx,0,-106.8678,"-7.30900 0.90000 -2.93800, -3.05000 0.10000 7.85000"
45,0.0000,Tx-Rx,0,-114.4676,"-7.30900 0.90000 -2.93800, -3.35000 0.10000 7.85000"
46,0.0000,Tx-Rx,0,-76.3822,"-7.30900 0.90000 -2.93800, -3.65000 0.10000 7.85000"
47,0.0000,Tx-Rx,0,-75.7649,"-7.30900 0.90000 -2.93800, -3.95000 0.10000 7.85000"
48,0.0000,Tx-Rx,0,-72.2334,"-7.30900 0.90000 -2.93800, -4.25000 0.10000 7.85000"
49,0.0000,Tx-Rx,0,-72.0486,"-7.30900 0.90000 -2.93800, -4.55000 0.10000 7.85000"
50,0.0000,Tx-Rx,0,-73.3112,"-7.30900 0.90000 -2.93800, -4.85000 0.10000 7.85000"
51,0.0000,Tx-Rx,0,-71.9107,"-7.30900 0.90000 -2.93800, -5.15000 0.10000 7.85000"
52,0.0000,Tx-Rx,0,-67.6899,"-7.30900 0.90000 -2.93800, -5.45000 0.10000 7.85000"
53,0.0000,Tx-Rx,0,-56.8474,"-7.30900 0.90000 -2.93800, -5.75000 0.10000 7.85000"
54,0.0000,Tx-Rx,0,-57.9098,"-7.30900 0.90000 -2.93800, -6.05000 0.10000 7.85000"
55,0.0000,Tx-Rx,0,-57.4528,"-7.30900 0.90000 -2.93800, -6.35000 0.10000 7.85000"
56,0.0000,Tx-Rx,0,-56.3692,"-7.30900 0.90000 -2.93800, -6.65000 0.10000 7.85000"
57,0.0000,Tx-Rx,0,-52.7361,"-7.30900 0.90000 -2.93800, -6.95000 0.10000 7.85000"
58,0.0000,Tx-Rx,0,-52.5036,"-7.30900 0.90000 -2.93800, -7.25000 0.10000 7.85000"
59,0.0000,Tx-Rx,0,-52.8648,"-7.30900 0.90000 -2.93800, -7.55000 0.10000 7.85000"
60,0.0000,Tx-Rx,0,-53.2544,"-7.30900 0.90000 -2.93800, -7.85000 0.10000 7.85000"
61,0.0000,Tx-Rx,0,-97.2107,"-7.30900 0.90000 -2.93800, 9.85000 0.10000 7.55000"
62,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.55000 0.10000 7.55000"
63,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.25000 0.10000 7.55000"
64,0.0000,Tx-Rx,0,-96.5932,"-7.30900 0.90000 -2.93800, 8.95000 0.10000 7.55000"
65,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 8.65000 0.10000 7.55000"
66,0.0000,Tx-Rx,0,-116.4870,"-7.30900 0.90000 -2.93800, 8.35000 0.10000 7.55000"
67,0.0000,Tx-Rx,0,-92.1640,"-7.30900 0.90000 -2.93800, 8.05000 0.10000 7.55000"
68,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 7.75000 0.10000 7.55000"
69,0.0000,Tx-Rx,0,-106.2232,"-7.30900 0.90000 -2.93800, 7.45000 0.10000 7.55000"
70,0.0000,Tx-Rx,0,-96.0505,"-7.30900 0.90000 -2.93800, 7.15000 0.10000 7.55000"
71,0.0000,Tx-Rx,0,-87.5018,"-7.30900 0.90000 -2.93800, 6.85000 0.10000 7.55000"
72,0.0000,Tx-Rx,0,-86.3235,"-7.30900 0.90000 -2.93800, 6.55000 0.10000 7.55000"
73,0.0000,Tx-Rx,0,-79.6649,"-7.30900 0.90000 -2.93800, 6.25000 0.10000 7.55000"
74,0.0000,Tx-Rx,0,-76.0552,"-7.30900 0.90000 -2.93800, 5.95000 0.10000 7.55000"
75,0.0000,Tx-Rx,0,-73.8303,"-7.30900 0.90000 -2.93800, 5.65000 0.10000 7.55000"
76,0.0000,Tx-Rx,0,-73.6710,"-7.30900 0.90000 -2.93800, 5.35000 0.10000 7.55000"
77,0.0000,Tx-Rx,0,-74.3481,"-7.30900 0.90000 -2.93800, 5.05000 0.10000 7.55000"
78,0.0000,Tx-Rx,0,-75.0831,"-7.30900 0.90000 -2.93800, 4.75000 0.10000 7.55000"
79,0.0000,Tx-Rx,0,-75.1438,"-7.30900 0.90000 -2.93800, 4.45000 0.10000 7.55000"
80,0.0000,Tx-Rx,0,-76.0943,"-7.30900 0.90000 -2.93800, 4.15000 0.10000 7.55000"
81,0.0000,Tx-Rx,0,-79.4251,"-7.30900 0.90000 -2.93800, 3.85000 0.10000 7.55000"
82,0.0000,Tx-Rx,0,-81.2044,"-7.30900 0.90000 -2.93800, 3.55000 0.10000 7.55000"
83,0.0000,Tx-Rx,0,-80.5150,"-7.30900 0.90000 -2.93800, 3.25000 0.10000 7.55000"
84,0.0000,Tx-Rx,0,-79.1043,"-7.30900 0.90000 -2.93800, 2.95000 0.10000 7.55000"
85,0.0000,Tx-Rx,0,-80.8301,"-7.30900 0.90000 -2.93800, 2.65000 0.10000 7.55000"
86,0.0000,Tx-Rx,0,-76.7107,"-7.30900 0.90000 -2.93800, 2.35000 0.10000 7.55000"
87,0.0000,Tx-Rx,0,-74.2811,"-7.30900 0.90000 -2.93800, 2.05000 0.10000 7.55000"
88,0.0000,Tx-Rx,0,-77.7991,"-7.30900 0.90000 -2.93800, 1.75000 0.10000 7.55000"
89,0.0000,Tx-Rx,0,-79.4606,"-7.30900 0.90000 -2.93800, 1.45000 0.10000 7.55000"
90,0.0000,Tx-Rx,0,-80.5144,"-7.30900 0.90000 -2.93800, 1.15000 0.10000 7.55000"
91,0.0000,Tx-Rx,0,-78.6399,"-7.30900 0.90000 -2.93800, 0.85000 0.10000 7.55000"
92,0.0000,Tx-Rx,0,-77.7027,"-7.30900 0.90000 -2.93800, 0.55000 0.10000 7.55000"
93,0.0000,Tx-Rx,0,-78.0498,"-7.30900 0.90000 -2.93800, 0.25000 0.10000 7.55000"
94,0.0000,Tx-Rx,0,-65.8613,"-7.30900 0.90000 -2.93800, -0.05000 0.10000 7.55000"
95,0.0000,Tx-Rx,0,-64.1400,"-7.30900 0.90000 -2.93800, -0.35000 0.10000 7.55000"
96,0.0000,Tx-Rx,0,-64.2674,"-7.30900 0.90000 -2.93800, -0.65000 0.10000 7.55000"
97,0.0000,Tx-Rx,0,-64.7632,"-7.30900 0.90000 -2.93800, -0.95000 0.10000 7.55000"
98,0.0000,Tx-Rx,0,-65.7552,"-7.30900 0.90000 -2.93800, -1.25000 0.10000 7.55000"
99,0.0000,Tx-Rx,0,-66.7492,"-7.30900 0.90000 -2.93800, -1.55000 0.10000 7.55000"
100,0.0000,Tx-Rx,0,-67.7980,"-7.30900 0.90000 -2.93800, -1.85000 0.10000 7.55000"
101,0.0000,Tx-Rx,0,-68.4391,"-7.30900 0.90000 -2.93800, -2.15000 0.10000 7.55000"
102,0.0000,Tx-Rx,0,-70.5251,"-7.30900 0.90000 -2.93800, -2.45000 0.10000 7.55000"
103,0.0000,Tx-Rx,0,-76.0774,"-7.30900 0.90000 -2.93800, -2.75000 0.10000 7.55000"
104,0.0000,Tx-Rx,0,-76.1872,"-7.30900 0.90000 -2.93800, -3.05000 0.10000 7.55000"
105,0.0000,Tx-Rx,0,-80.8855,"-7.30900 0.90000 -2.93800, -3.35000 0.10000 7.55000"
106,0.0000,Tx-Rx,0,-70.6108,"-7.30900 0.90000 -2.93800, -3.65000 0.10000 7.55000"
107,0.0000,Tx-Rx,0,-74.1939,"-7.30900 0.90000 -2.93800, -3.95000 0.10000 7.55000"
108,0.0000,Tx-Rx,0,-66.7967,"-7.30900 0.90000 -2.93800, -4.25000 0.10000 7.55000"
109,0.0000,Tx-Rx,0,-66.2392,"-7.30900 0.90000 -2.93800, -4.55000 0.10000 7.55000"
110,0.0000,Tx-Rx,0,-75.7148,"-7.30900 0.90000 -2.93800, -4.85000 0.10000 7.55000"
111,0.0000,Tx-Rx,0,-74.9097,"-7.30900 0.90000 -2.93800, -5.15000 0.10000 7.55000"
112,0.0000,Tx-Rx,0,-66.9447,"-7.30900 0.90000 -2.93800, -5.45000 0.10000 7.55000"
113,0.0000,Tx-Rx,0,-56.9869,"-7.30900 0.90000 -2.93800, -5.75000 0.10000 7.55000"
114,0.0000,Tx-Rx,0,-57.6334,"-7.30900 0.90000 -2.93800, -6.05000 0.10000 7.55000"
115,0.0000,Tx-Rx,0,-57.0567,"-7.30900 0.90000 -2.93800, -6.35000 0.10000 7.55000"
116,0.0000,Tx-Rx,0,-55.9838,"-7.30900 0.90000 -2.93800, -6.65000 0.10000 7.55000"
117,0.0000,Tx-Rx,0,-52.4879,"-7.30900 0.90000 -2.93800, -6.95000 0.10000 7.55000"
118,0.0000,Tx-Rx,0,-52.2061,"-7.30900 0.90000 -2.93800, -7.25000 0.10000 7.55000"
119,0.0000,Tx-Rx,0,-52.6802,"-7.30900 0.90000 -2.93800, -7.55000 0.10000 7.55000"
120,0.0000,Tx-Rx,0,-52.9082,"-7.30900 0.90000 -2.93800, -7.85000 0.10000 7.55000"
121,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.85000 0.10000 7.25000"
122,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.55000 0.10000 7.25000"
123,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.25000 0.10000 7.25000"
124,0.0000,Tx-Rx,0,-97.3470,"-7.30900 0.90000 -2.93800, 8.95000 0.10000 7.25000"
125,0.0000,Tx-Rx,0,-97.4314,"-7.30900 0.90000 -2.93800, 8.65000 0.10000 7.25000"
126,0.0000,Tx-Rx,0,-96.2094,"-7.30900 0.90000 -2.93800, 8.35000 0.10000 7.25000"
127,0.0000,Tx-Rx,0,-90.2854,"-7.30900 0.90000 -2.93800, 8.05000 0.10000 7.25000"
128,0.0000,Tx-Rx,0,-79.5096,"-7.30900 0.90000 -2.93800, 7.75000 0.10000 7.25000"
129,0.0000,Tx-Rx,0,-80.9785,"-7.30900 0.90000 -2.93800, 7.45000 0.10000 7.25000"
130,0.0000,Tx-Rx,0,-81.3418,"-7.30900 0.90000 -2.93800, 7.15000 0.10000 7.25000"
131,0.0000,Tx-Rx,0,-83.7211,"-7.30900 0.90000 -2.93800, 6.85000 0.10000 7.25000"
132,0.0000,Tx-Rx,0,-78.5617,"-7.30900 0.90000 -2.93800, 6.55000 0.10000 7.25000"
133,0.0000,Tx-Rx,0,-80.8135,"-7.30900 0.90000 -2.93800, 6.25000 0.10000 7.25000"
134,0.0000,Tx-Rx,0,-75.3666,"-7.30900 0.90000 -2.93800, 5.95000 0.10000 7.25000"
135,0.0000,Tx-Rx,0,-73.9327,"-7.30900 0.90000 -2.93800, 5.65000 0.10000 7.25000"
136,0.0000,Tx-Rx,0,-73.7074,"-7.30900 0.90000 -2.93800, 5.35000 0.10000 7.25000"
137,0.0000,Tx-Rx,0,-73.8047,"-7.30900 0.90000 -2.93800, 5.05000 0.10000 7.25000"
138,0.0000,Tx-Rx,0,-75.1594,"-7.30900 0.90000 -2.93800, 4.75000 0.10000 7.25000"
139,0.0000,Tx-Rx,0,-75.7465,"-7.30900 0.90000 -2.93800, 4.45000 0.10000 7.25000"
140,0.0000,Tx-Rx,0,-74.9092,"-7.30900 0.90000 -2.93800, 4.15000 0.10000 7.25000"
141,0.0000,Tx-Rx,0,-77.9720,"-7.30900 0.90000 -2.93800, 3.85000 0.10000 7.25000"
142,0.0000,Tx-Rx,0,-80.2051,"-7.30900 0.90000 -2.93800, 3.55000 0.10000 7.25000"
143,0.0000,Tx-Rx,0,-78.6779,"-7.30900 0.90000 -2.93800, 3.25000 0.10000 7.25000"
144,0.0000,Tx-Rx,0,-77.8178,"-7.30900 0.90000 -2.93800, 2.95000 0.10000 7.25000"
145,0.0000,Tx-Rx,0,-75.4699,"-7.30900 0.90000 -2.93800, 2.65000 0.10000 7.25000"
146,0.0000,Tx-Rx,0,-78.0191,"-7.30900 0.90000 -2.93800, 2.35000 0.10000 7.25000"
147,0.0000,Tx-Rx,0,-77.2516,"-7.30900 0.90000 -2.93800, 2.05000 0.10000 7.25000"
148,0.0000,Tx-Rx,0,-80.0386,"-7.30900 0.90000 -2.93800, 1.75000 0.10000 7.25000"
149,0.0000,Tx-Rx,0,-80.1466,"-7.30900 0.90000 -2.93800, 1.45000 0.10000 7.25000"
150,0.0000,Tx-Rx,0,-80.5124,"-7.30900 0.90000 -2.93800, 1.15000 0.10000 7.25000"
151,0.0000,Tx-Rx,0,-81.3307,"-7.30900 0.90000 -2.93800, 0.85000 0.10000 7.25000"
