Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.85000 0.10000 7.85000"
2,0.0000,Tx-Rx,0,-102.0284,"-7.30900 0.90000 -2.93800, 9.55000 0.10000 7.85000"
3,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.25000 0.10000 7.85000"
4,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 8.95000 0.10000 7.85000"
5,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 8.65000 0.10000 7.85000"
6,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 8.35000 0.10000 7.85000"
7,0.0000,Tx-Rx,0,-116.7284,"-7.30900 0.90000 -2.93800, 8.05000 0.10000 7.85000"
8,0.0000,Tx-Rx,0,-96.7635,"-7.30900 0.90000 -2.93800, 7.75000 0.10000 7.85000"
9,0.0000,Tx-Rx,0,-110.2262,"-7.30900 0.90000 -2.93800, 7.45000 0.10000 7.85000"
10,0.0000,Tx-Rx,0,-96.8872,"-7.30900 0.90000 -2.93800, 7.15000 0.10000 7.85000"
11,0.0000,Tx-Rx,0,-91.4183,"-7.30900 0.90000 -2.93800, 6.85000 0.10000 7.85000"
12,0.0000,Tx-Rx,0,-86.6716,"-7.30900 0.90000 -2.93800, 6.55000 0.10000 7.85000"
13,0.0000,Tx-Rx,0,-83.4623,"-7.30900 0.90000 -2.93800, 6.25000 0.10000 7.85000"
14,0.0000,Tx-Rx,0,-75.4101,"-7.30900 0.90000 -2.93800, 5.95000 0.10000 7.85000"
15,0.0000,Tx-Rx,0,-72.8771,"-7.30900 0.90000 -2.93800, 5.65000 0.10000 7.85000"
16,0.0000,Tx-Rx,0,-73.7317,"-7.30900 0.90000 -2.93800, 5.35000 0.10000 7.85000"
17,0.0000,Tx-Rx,0,-75.4688,"-7.30900 0.90000 -2.93800, 5.05000 0.10000 7.85000"
18,0.0000,Tx-Rx,0,-74.7125,"-7.30900 0.90000 -2.93800, 4.75000 0.10000 7.85000"
19,0.0000,Tx-Rx,0,-75.0665,"-7.30900 0.90000 -2.93800, 4.45000 0.10000 7.85000"
20,0.0000,Tx-Rx,0,-78.0905,"-7.30900 0.90000 -2.93800, 4.15000 0.10000 7.85000"
21,0.0000,Tx-Rx,0,-80.9143,"-7.30900 0.90000 -2.93800, 3.85000 0.10000 7.85000"
22,0.0000,Tx-Rx,0,-83.0951,"-7.30900 0.90000 -2.93800, 3.55000 0.10000 7.85000"
23,0.0000,Tx-Rx,0,-84.0160,"-7.30900 0.90000 -2.93800, 3.25000 0.10000 7.85000"
24,0.0000,Tx-Rx,0,-80.0536,"-7.30900 0.90000 -2.93800, 2.95000 0.10000 7.85000"
25,0.0000,Tx-Rx,0,-77.7932,"-7.30900 0.90000 -2.93800, 2.65000 0.10000 7.85000"
26,0.0000,Tx-Rx,0,-80.0696,"-7.30900 0.90000 -2.93800, 2.35000 0.10000 7.85000"
27,0.0000,Tx-Rx,0,-83.0215,"-7.30900 0.90000 -2.93800, 2.05000 0.10000 7.85000"
28,0.0000,Tx-Rx,0,-76.7721,"-7.30900 0.90000 -2.93800, 1.75000 0.10000 7.85000"
29,0.0000,Tx-Rx,0,-75.7736,"-7.30900 0.90000 -2.93800, 1.45000 0.10000 7.85000"
30,0.0000,Tx-Rx,0,-77.0422,"-7.30900 0.90000 -2.93800, 1.15000 0.10000 7.85000"
31,0.0000,Tx-Rx,0,-78.4146,"-7.30900 0.90000 -2.93800, 0.85000 0.10000 7.85000"
32,0.0000,Tx-Rx,0,-79.2897,"-7.30900 0.90000 -2.93800, 0.55000 0.10000 7.85000"
33,0.0000,Tx-Rx,0,-78.9935,"-7.30900 0.90000 -2.93800, 0.25000 0.10000 7.85000"
34,0.0000,Tx-Rx,0,-68.9185,"-7.30900 0.90000 -2.93800, -0.05000 0.10000 7.85000"
35,0.0000,Tx-Rx,0,-67.2387,"-7.30900 0.90000 -2.93800, -0.35000 0.10000 7.85000"
36,0.0000,Tx-Rx,0,-67.2175,"-7.30900 0.90000 -2.93800, -0.65000 0.10000 7.85000"
37,0.0000,Tx-Rx,0,-67.2888,"-7.30900 0.90000 -2.93800, -0.95000 0.10000 7.85000"
38,0.0000,Tx-Rx,0,-67.5006,"-7.30900 0.90000 -2.93800, -1.25000 0.10000 7.85000"
39,0.0000,Tx-Rx,0,-67.7491,"-7.30900 0.90000 -2.93800, -1.55000 0.10000 7.85000"
40,0.0000,Tx-Rx,0,-67.8587,"-7.30900 0.90000 -2.93800, -1.85000 0.10000 7.85000"
41,0.0000,Tx-Rx,0,-72.7853,"-7.30900 0.90000 -2.93800, -2.15000 0.10000 7.85000"
42,0.0000,Tx-Rx,0,-78.5803,"-7.30900 0.90000 -2.93800, -2.45000 0.10000 7.85000"
43,0.0000,Tx-Rx,0,-80.9974,"-7.30900 0.90000 -2.93800, -2.75000 0.10000 7.85000"
44,0.0000,Tx-Rx,0,-98.5259,"-7.30900 0.90000 -2.93800, -3.05000 0.10000 7.85000"
45,0.0000,Tx-Rx,0,-96.8837,"-7.30900 0.90000 -2.93800, -3.35000 0.10000 7.85000"
46,0.0000,Tx-Rx,0,-77.8582,"-7.30900 0.90000 -2.93800, -3.65000 0.10000 7.85000"
47,0.0000,Tx-Rx,0,-76.8569,"-7.30900 0.90000 -2.93800, -3.95000 0.10000 7.85000"
48,0.0000,Tx-Rx,0,-75.6602,"-7.30900 0.90000 -2.93800, -4.25000 0.10000 7.85000"
49,0.0000,Tx-Rx,0,-71.6235,"-7.30900 0.90000 -2.93800, -4.55000 0.10000 7.85000"
50,0.0000,Tx-Rx,0,-70.7114,"-7.30900 0.90000 -2.93800, -4.85000 0.10000 7.85000"
51,0.0000,Tx-Rx,0,-75.5615,"-7.30900 0.90000 -2.93800, -5.15000 0.10000 7.85000"
52,0.0000,Tx-Rx,0,-64.3716,"-7.30900 0.90000 -2.93800, -5.45000 0.10000 7.85000"
53,0.0000,Tx-Rx,0,-54.3204,"-7.30900 0.90000 -2.93800, -5.75000 0.10000 7.85000"
54,0.0000,Tx-Rx,0,-55.4216,"-7.30900 0.90000 -2.93800, -6.05000 0.10000 7.85000"
55,0.0000,Tx-Rx,0,-56.8505,"-7.30900 0.90000 -2.93800, -6.35000 0.10000 7.85000"
56,0.0000,Tx-Rx,0,-54.8347,"-7.30900 0.90000 -2.93800, -6.65000 0.10000 7.85000"
57,0.0000,Tx-Rx,0,-52.8102,"-7.30900 0.90000 -2.93800, -6.95000 0.10000 7.85000"
58,0.0000,Tx-Rx,0,-51.2938,"-7.30900 0.90000 -2.93800, -7.25000 0.10000 7.85000"
59,0.0000,Tx-Rx,0,-51.9823,"-7.30900 0.90000 -2.93800, -7.55000 0.10000 7.85000"
60,0.0000,Tx-Rx,0,-51.8682,"-7.30900 0.90000 -2.93800, -7.85000 0.10000 7.85000"
61,0.0000,Tx-Rx,0,-97.2107,"-7.30900 0.90000 -2.93800, 9.85000 0.10000 7.55000"
62,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.55000 0.10000 7.55000"
63,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.25000 0.10000 7.55000"
64,0.0000,Tx-Rx,0,-99.1582,"-7.30900 0.90000 -2.93800, 8.95000 0.10000 7.55000"
65,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 8.65000 0.10000 7.55000"
66,0.0000,Tx-Rx,0,-116.4870,"-7.30900 0.90000 -2.93800, 8.35000 0.10000 7.55000"
67,0.0000,Tx-Rx,0,-92.0964,"-7.30900 0.90000 -2.93800, 8.05000 0.10000 7.55000"
68,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 7.75000 0.10000 7.55000"
69,0.0000,Tx-Rx,0,-103.0776,"-7.30900 0.90000 -2.93800, 7.45000 0.10000 7.55000"
70,0.0000,Tx-Rx,0,-94.7219,"-7.30900 0.90000 -2.93800, 7.15000 0.10000 7.55000"
71,0.0000,Tx-Rx,0,-87.2911,"-7.30900 0.90000 -2.93800, 6.85000 0.10000 7.55000"
72,0.0000,Tx-Rx,0,-85.7348,"-7.30900 0.90000 -2.93800, 6.55000 0.10000 7.55000"
73,0.0000,Tx-Rx,0,-79.6118,"-7.30900 0.90000 -2.93800, 6.25000 0.10000 7.55000"
74,0.0000,Tx-Rx,0,-75.9961,"-7.30900 0.90000 -2.93800, 5.95000 0.10000 7.55000"
75,0.0000,Tx-Rx,0,-73.8730,"-7.30900 0.90000 -2.93800, 5.65000 0.10000 7.55000"
76,0.0000,Tx-Rx,0,-73.7089,"-7.30900 0.90000 -2.93800, 5.35000 0.10000 7.55000"
77,0.0000,Tx-Rx,0,-74.3521,"-7.30900 0.90000 -2.93800, 5.05000 0.10000 7.55000"
78,0.0000,Tx-Rx,0,-75.0986,"-7.30900 0.90000 -2.93800, 4.75000 0.10000 7.55000"
79,0.0000,Tx-Rx,0,-75.2580,"-7.30900 0.90000 -2.93800, 4.45000 0.10000 7.55000"
80,0.0000,Tx-Rx,0,-76.2022,"-7.30900 0.90000 -2.93800, 4.15000 0.10000 7.55000"
81,0.0000,Tx-Rx,0,-79.6966,"-7.30900 0.90000 -2.93800, 3.85000 0.10000 7.55000"
82,0.0000,Tx-Rx,0,-81.6377,"-7.30900 0.90000 -2.93800, 3.55000 0.10000 7.55000"
83,0.0000,Tx-Rx,0,-79.9547,"-7.30900 0.90000 -2.93800, 3.25000 0.10000 7.55000"
84,0.0000,Tx-Rx,0,-78.5961,"-7.30900 0.90000 -2.93800, 2.95000 0.10000 7.55000"
85,0.0000,Tx-Rx,0,-80.2679,"-7.30900 0.90000 -2.93800, 2.65000 0.10000 7.55000"
86,0.0000,Tx-Rx,0,-76.6564,"-7.30900 0.90000 -2.93800, 2.35000 0.10000 7.55000"
87,0.0000,Tx-Rx,0,-74.3159,"-7.30900 0.90000 -2.93800, 2.05000 0.10000 7.55000"
88,0.0000,Tx-Rx,0,-77.9766,"-7.30900 0.90000 -2.93800, 1.75000 0.10000 7.55000"
89,0.0000,Tx-Rx,0,-79.5112,"-7.30900 0.90000 -2.93800, 1.45000 0.10000 7.55000"
90,0.0000,Tx-Rx,0,-80.5055,"-7.30900 0.90000 -2.93800, 1.15000 0.10000 7.55000"
91,0.0000,Tx-Rx,0,-78.6793,"-7.30900 0.90000 -2.93800, 0.85000 0.10000 7.55000"
92,0.0000,Tx-Rx,0,-77.7068,"-7.30900 0.90000 -2.93800, 0.55000 0.10000 7.55000"
93,0.0000,Tx-Rx,0,-78.0908,"-7.30900 0.90000 -2.93800, 0.25000 0.10000 7.55000"
94,0.0000,Tx-Rx,0,-68.8269,"-7.30900 0.90000 -2.93800, -0.05000 0.10000 7.55000"
95,0.0000,Tx-Rx,0,-67.2763,"-7.30900 0.90000 -2.93800, -0.35000 0.10000 7.55000"
96,0.0000,Tx-Rx,0,-67.1666,"-7.30900 0.90000 -2.93800, -0.65000 0.10000 7.55000"
97,0.0000,Tx-Rx,0,-67.2353,"-7.30900 0.90000 -2.93800, -0.95000 0.10000 7.55000"
98,0.0000,Tx-Rx,0,-67.4806,"-7.30900 0.90000 -2.93800, -1.25000 0.10000 7.55000"
99,0.0000,Tx-Rx,0,-67.4800,"-7.30900 0.90000 -2.93800, -1.55000 0.10000 7.55000"
100,0.0000,Tx-Rx,0,-68.2219,"-7.30900 0.90000 -2.93800, -1.85000 0.10000 7.55000"
101,0.0000,Tx-Rx,0,-68.7972,"-7.30900 0.90000 -2.93800, -2.15000 0.10000 7.55000"
102,0.0000,Tx-Rx,0,-70.8459,"-7.30900 0.90000 -2.93800, -2.45000 0.10000 7.55000"
103,0.0000,Tx-Rx,0,-76.0774,"-7.30900 0.90000 -2.93800, -2.75000 0.10000 7.55000"
104,0.0000,Tx-Rx,0,-76.1872,"-7.30900 0.90000 -2.93800, -3.05000 0.10000 7.55000"
105,0.0000,Tx-Rx,0,-80.8869,"-7.30900 0.90000 -2.93800, -3.35000 0.10000 7.55000"
106,0.0000,Tx-Rx,0,-71.1875,"-7.30900 0.90000 -2.93800, -3.65000 0.10000 7.55000"
107,0.0000,Tx-Rx,0,-74.9796,"-7.30900 0.90000 -2.93800, -3.95000 0.10000 7.55000"
108,0.0000,Tx-Rx,0,-67.3385,"-7.30900 0.90000 -2.93800, -4.25000 0.10000 7.55000"
109,0.0000,Tx-Rx,0,-66.4642,"-7.30900 0.90000 -2.93800, -4.55000 0.10000 7.55000"
110,0.0000,Tx-Rx,0,-71.3540,"-7.30900 0.90000 -2.93800, -4.85000 0.10000 7.55000"
111,0.0000,Tx-Rx,0,-73.0161,"-7.30900 0.90000 -2.93800, -5.15000 0.10000 7.55000"
112,0.0000,Tx-Rx,0,-64.1796,"-7.30900 0.90000 -2.93800, -5.45000 0.10000 7.55000"
113,0.0000,Tx-Rx,0,-54.3270,"-7.30900 0.90000 -2.93800, -5.75000 0.10000 7.55000"
114,0.0000,Tx-Rx,0,-55.0588,"-7.30900 0.90000 -2.93800, -6.05000 0.10000 7.55000"
115,0.0000,Tx-Rx,0,-56.9718,"-7.30900 0.90000 -2.93800, -6.35000 0.10000 7.55000"
116,0.0000,Tx-Rx,0,-54.1803,"-7.30900 0.90000 -2.93800, -6.65000 0.10000 7.55000"
117,0.0000,Tx-Rx,0,-52.5648,"-7.30900 0.90000 -2.93800, -6.95000 0.10000 7.55000"
118,0.0000,Tx-Rx,0,-51.1760,"-7.30900 0.90000 -2.93800, -7.25000 0.10000 7.55000"
119,0.0000,Tx-Rx,0,-51.9145,"-7.30900 0.90000 -2.93800, -7.55000 0.10000 7.55000"
120,0.0000,Tx-Rx,0,-51.4490,"-7.30900 0.90000 -2.93800, -7.85000 0.10000 7.55000"
121,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.85000 0.10000 7.25000"
122,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.55000 0.10000 7.25000"
123,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.25000 0.10000 7.25000"
124,0.0000,Tx-Rx,0,-97.3470,"-7.30900 0.90000 -2.93800, 8.95000 0.10000 7.25000"
125,0.0000,Tx-Rx,0,-97.4314,"-7.30900 0.90000 -2.93800, 8.65000 0.10000 7.25000"
126,0.0000,Tx-Rx,0,-96.2094,"-7.30900 0.90000 -2.93800, 8.35000 0.10000 7.25000"
127,0.0000,Tx-Rx,0,-89.8389,"-7.30900 0.90000 -2.93800, 8.05000 0.10000 7.25000"
128,0.0000,Tx-Rx,0,-79.8066,"-7.30900 0.90000 -2.93800, 7.75000 0.10000 7.25000"
129,0.0000,Tx-Rx,0,-81.6276,"-7.30900 0.90000 -2.93800, 7.45000 0.10000 7.25000"
130,0.0000,Tx-Rx,0,-81.0873,"-7.30900 0.90000 -2.93800, 7.15000 0.10000 7.25000"
131,0.0000,Tx-Rx,0,-83.0983,"-7.30900 0.90000 -2.93800, 6.85000 0.10000 7.25000"
132,0.0000,Tx-Rx,0,-78.3992,"-7.30900 0.90000 -2.93800, 6.55000 0.10000 7.25000"
133,0.0000,Tx-Rx,0,-80.6196,"-7.30900 0.90000 -2.93800, 6.25000 0.10000 7.25000"
134,0.0000,Tx-Rx,0,-75.3165,"-7.30900 0.90000 -2.93800, 5.95000 0.10000 7.25000"
135,0.0000,Tx-Rx,0,-73.9577,"-7.30900 0.90000 -2.93800, 5.65000 0.10000 7.25000"
136,0.0000,Tx-Rx,0,-73.7519,"-7.30900 0.90000 -2.93800, 5.35000 0.10000 7.25000"
137,0.0000,Tx-Rx,0,-73.8239,"-7.30900 0.90000 -2.93800, 5.05000 0.10000 7.25000"
138,0.0000,Tx-Rx,0,-75.1571,"-7.30900 0.90000 -2.93800, 4.75000 0.10000 7.25000"
139,0.0000,Tx-Rx,0,-75.8961,"-7.30900 0.90000 -2.93800, 4.45000 0.10000 7.25000"
140,0.0000,Tx-Rx,0,-74.9832,"-7.30900 0.90000 -2.93800, 4.15000 0.10000 7.25000"
141,0.0000,Tx-Rx,0,-77.9898,"-7.30900 0.90000 -2.93800, 3.85000 0.10000 7.25000"
142,0.0000,Tx-Rx,0,-80.7444,"-7.30900 0.90000 -2.93800, 3.55000 0.10000 7.25000"
143,0.0000,Tx-Rx,0,-78.4627,"-7.30900 0.90000 -2.93800, 3.25000 0.10000 7.25000"
144,0.0000,Tx-Rx,0,-77.5481,"-7.30900 0.90000 -2.93800, 2.95000 0.10000 7.25000"
145,0.0000,Tx-Rx,0,-75.2539,"-7.30900 0.90000 -2.93800, 2.65000 0.10000 7.25000"
146,0.0000,Tx-Rx,0,-77.9992,"-7.30900 0.90000 -2.93800, 2.35000 0.10000 7.25000"
147,0.0000,Tx-Rx,0,-77.2227,"-7.30900 0.90000 -2.93800, 2.05000 0.10000 7.25000"
148,0.0000,Tx-Rx,0,-80.1524,"-7.30900 0.90000 -2.93800, 1.75000 0.10000 7.25000"
149,0.0000,Tx-Rx,0,-80.1804,"-7.30900 0.90000 -2.93800, 1.45000 0.10000 7.25000"
150,0.0000,Tx-Rx,0,-80.5913,"-7.30900 0.90000 -2.93800, 1.15000 0.10000 7.25000"
151,0.0000,Tx-Rx,0,-81.3819,"-7.30900 0.90000 -2.93800, 0.85000 0.10000 7.25000"
