Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 9.85000 0.10000 7.85000"
2,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 9.55000 0.10000 7.85000"
3,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 9.25000 0.10000 7.85000"
4,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 8.95000 0.10000 7.85000"
5,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 8.65000 0.10000 7.85000"
6,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 8.35000 0.10000 7.85000"
7,0.0000,Tx-Rx,0,-115.9436,"-0.15000 1.10000 4.90000, 8.05000 0.10000 7.85000"
8,0.0000,Tx-Rx,0,-111.3560,"-0.15000 1.10000 4.90000, 7.75000 0.10000 7.85000"
9,0.0000,Tx-Rx,0,-95.5580,"-0.15000 1.10000 4.90000, 7.45000 0.10000 7.85000"
10,0.0000,Tx-Rx,0,-94.2753,"-0.15000 1.10000 4.90000, 7.15000 0.10000 7.85000"
11,0.0000,Tx-Rx,0,-89.1664,"-0.15000 1.10000 4.90000, 6.85000 0.10000 7.85000"
12,0.0000,Tx-Rx,0,-84.3698,"-0.15000 1.10000 4.90000, 6.55000 0.10000 7.85000"
13,0.0000,Tx-Rx,0,-80.8025,"-0.15000 1.10000 4.90000, 6.25000 0.10000 7.85000"
14,0.0000,Tx-Rx,0,-76.9127,"-0.15000 1.10000 4.90000, 5.95000 0.10000 7.85000"
15,0.0000,Tx-Rx,0,-75.5264,"-0.15000 1.10000 4.90000, 5.65000 0.10000 7.85000"
16,0.0000,Tx-Rx,0,-75.3065,"-0.15000 1.10000 4.90000, 5.35000 0.10000 7.85000"
17,0.0000,Tx-Rx,0,-75.2166,"-0.15000 1.10000 4.90000, 5.05000 0.10000 7.85000"
18,0.0000,Tx-Rx,0,-74.3249,"-0.15000 1.10000 4.90000, 4.75000 0.10000 7.85000"
19,0.0000,Tx-Rx,0,-74.7980,"-0.15000 1.10000 4.90000, 4.45000 0.10000 7.85000"
20,0.0000,Tx-Rx,0,-74.4663,"-0.15000 1.10000 4.90000, 4.15000 0.10000 7.85000"
21,0.0000,Tx-Rx,0,-73.9506,"-0.15000 1.10000 4.90000, 3.85000 0.10000 7.85000"
22,0.0000,Tx-Rx,0,-73.9995,"-0.15000 1.10000 4.90000, 3.55000 0.10000 7.85000"
23,0.0000,Tx-Rx,0,-74.2633,"-0.15000 1.10000 4.90000, 3.25000 0.10000 7.85000"
24,0.0000,Tx-Rx,0,-73.9420,"-0.15000 1.10000 4.90000, 2.95000 0.10000 7.85000"
25,0.0000,Tx-Rx,0,-73.3281,"-0.15000 1.10000 4.90000, 2.65000 0.10000 7.85000"
26,0.0000,Tx-Rx,0,-74.0521,"-0.15000 1.10000 4.90000, 2.35000 0.10000 7.85000"
27,0.0000,Tx-Rx,0,-75.5009,"-0.15000 1.10000 4.90000, 2.05000 0.10000 7.85000"
28,0.0000,Tx-Rx,0,-74.6593,"-0.15000 1.10000 4.90000, 1.75000 0.10000 7.85000"
29,0.0000,Tx-Rx,0,-79.6586,"-0.15000 1.10000 4.90000, 1.45000 0.10000 7.85000"
30,0.0000,Tx-Rx,0,-78.6314,"-0.15000 1.10000 4.90000, 1.15000 0.10000 7.85000"
31,0.0000,Tx-Rx,0,-82.6396,"-0.15000 1.10000 4.90000, 0.85000 0.10000 7.85000"
32,0.0000,Tx-Rx,0,-78.3970,"-0.15000 1.10000 4.90000, 0.55000 0.10000 7.85000"
33,0.0000,Tx-Rx,0,-77.5980,"-0.15000 1.10000 4.90000, 0.25000 0.10000 7.85000"
34,0.0000,Tx-Rx,0,-52.6556,"-0.15000 1.10000 4.90000, -0.05000 0.10000 7.85000"
35,0.0000,Tx-Rx,0,-51.7259,"-0.15000 1.10000 4.90000, -0.35000 0.10000 7.85000"
36,0.0000,Tx-Rx,0,-53.4444,"-0.15000 1.10000 4.90000, -0.65000 0.10000 7.85000"
37,0.0000,Tx-Rx,0,-55.2994,"-0.15000 1.10000 4.90000, -0.95000 0.10000 7.85000"
38,0.0000,Tx-Rx,0,-55.8896,"-0.15000 1.10000 4.90000, -1.25000 0.10000 7.85000"
39,0.0000,Tx-Rx,0,-57.4344,"-0.15000 1.10000 4.90000, -1.55000 0.10000 7.85000"
40,0.0000,Tx-Rx,0,-60.0965,"-0.15000 1.10000 4.90000, -1.85000 0.10000 7.85000"
41,0.0000,Tx-Rx,0,-68.6952,"-0.15000 1.10000 4.90000, -2.15000 0.10000 7.85000"
42,0.0000,Tx-Rx,0,-71.2295,"-0.15000 1.10000 4.90000, -2.45000 0.10000 7.85000"
43,0.0000,Tx-Rx,0,-100.1168,"-0.15000 1.10000 4.90000, -2.75000 0.10000 7.85000"
44,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, -3.05000 0.10000 7.85000"
45,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, -3.35000 0.10000 7.85000"
46,0.0000,Tx-Rx,0,-91.0006,"-0.15000 1.10000 4.90000, -3.65000 0.10000 7.85000"
47,0.0000,Tx-Rx,0,-85.4433,"-0.15000 1.10000 4.90000, -3.95000 0.10000 7.85000"
48,0.0000,Tx-Rx,0,-85.3771,"-0.15000 1.10000 4.90000, -4.25000 0.10000 7.85000"
49,0.0000,Tx-Rx,0,-85.2836,"-0.15000 1.10000 4.90000, -4.55000 0.10000 7.85000"
50,0.0000,Tx-Rx,0,-103.3498,"-0.15000 1.10000 4.90000, -4.85000 0.10000 7.85000"
51,0.0000,Tx-Rx,0,-113.7156,"-0.15000 1.10000 4.90000, -5.15000 0.10000 7.85000"
52,0.0000,Tx-Rx,0,-104.9382,"-0.15000 1.10000 4.90000, -5.45000 0.10000 7.85000"
53,0.0000,Tx-Rx,0,-90.3390,"-0.15000 1.10000 4.90000, -5.75000 0.10000 7.85000"
54,0.0000,Tx-Rx,0,-84.9980,"-0.15000 1.10000 4.90000, -6.05000 0.10000 7.85000"
55,0.0000,Tx-Rx,0,-84.9609,"-0.15000 1.10000 4.90000, -6.35000 0.10000 7.85000"
56,0.0000,Tx-Rx,0,-81.3286,"-0.15000 1.10000 4.90000, -6.65000 0.10000 7.85000"
57,0.0000,Tx-Rx,0,-76.9973,"-0.15000 1.10000 4.90000, -6.95000 0.10000 7.85000"
58,0.0000,Tx-Rx,0,-76.2408,"-0.15000 1.10000 4.90000, -7.25000 0.10000 7.85000"
59,0.0000,Tx-Rx,0,-76.7834,"-0.15000 1.10000 4.90000, -7.55000 0.10000 7.85000"
60,0.0000,Tx-Rx,0,-82.1860,"-0.15000 1.10000 4.90000, -7.85000 0.10000 7.85000"
61,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 9.85000 0.10000 7.55000"
62,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 9.55000 0.10000 7.55000"
63,0.0000,Tx-Rx,0,-102.3122,"-0.15000 1.10000 4.90000, 9.25000 0.10000 7.55000"
64,0.0000,Tx-Rx,0,-102.4183,"-0.15000 1.10000 4.90000, 8.95000 0.10000 7.55000"
65,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 8.65000 0.10000 7.55000"
