Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-74.5574,"6.00000 0.90000 5.60000, 9.85000 0.10000 7.85000"
2,0.0000,Tx-Rx,0,-75.1159,"6.00000 0.90000 5.60000, 9.55000 0.10000 7.85000"
3,0.0000,Tx-Rx,0,-74.1586,"6.00000 0.90000 5.60000, 9.25000 0.10000 7.85000"
4,0.0000,Tx-Rx,0,-77.2218,"6.00000 0.90000 5.60000, 8.95000 0.10000 7.85000"
5,0.0000,Tx-Rx,0,-82.4078,"6.00000 0.90000 5.60000, 8.65000 0.10000 7.85000"
6,0.0000,Tx-Rx,0,-97.5010,"6.00000 0.90000 5.60000, 8.35000 0.10000 7.85000"
7,0.0000,Tx-Rx,0,-61.2776,"6.00000 0.90000 5.60000, 8.05000 0.10000 7.85000"
8,0.0000,Tx-Rx,0,-66.5749,"6.00000 0.90000 5.60000, 7.75000 0.10000 7.85000"
9,0.0000,Tx-Rx,0,-64.9323,"6.00000 0.90000 5.60000, 7.45000 0.10000 7.85000"
10,0.0000,Tx-Rx,0,-62.2947,"6.00000 0.90000 5.60000, 7.15000 0.10000 7.85000"
11,0.0000,Tx-Rx,0,-63.9469,"6.00000 0.90000 5.60000, 6.85000 0.10000 7.85000"
12,0.0000,Tx-Rx,0,-63.9224,"6.00000 0.90000 5.60000, 6.55000 0.10000 7.85000"
13,0.0000,Tx-Rx,0,-61.9803,"6.00000 0.90000 5.60000, 6.25000 0.10000 7.85000"
14,0.0000,Tx-Rx,0,-54.5928,"6.00000 0.90000 5.60000, 5.95000 0.10000 7.85000"
15,0.0000,Tx-Rx,0,-46.0418,"6.00000 0.90000 5.60000, 5.65000 0.10000 7.85000"
16,0.0000,Tx-Rx,0,-46.8793,"6.00000 0.90000 5.60000, 5.35000 0.10000 7.85000"
17,0.0000,Tx-Rx,0,-49.4984,"6.00000 0.90000 5.60000, 5.05000 0.10000 7.85000"
18,0.0000,Tx-Rx,0,-46.3135,"6.00000 0.90000 5.60000, 4.75000 0.10000 7.85000"
19,0.0000,Tx-Rx,0,-46.4281,"6.00000 0.90000 5.60000, 4.45000 0.10000 7.85000"
20,0.0000,Tx-Rx,0,-46.8892,"6.00000 0.90000 5.60000, 4.15000 0.10000 7.85000"
21,0.0000,Tx-Rx,0,-47.2396,"6.00000 0.90000 5.60000, 3.85000 0.10000 7.85000"
22,0.0000,Tx-Rx,0,-47.6575,"6.00000 0.90000 5.60000, 3.55000 0.10000 7.85000"
23,0.0000,Tx-Rx,0,-48.1104,"6.00000 0.90000 5.60000, 3.25000 0.10000 7.85000"
24,0.0000,Tx-Rx,0,-48.5587,"6.00000 0.90000 5.60000, 2.95000 0.10000 7.85000"
25,0.0000,Tx-Rx,0,-49.0813,"6.00000 0.90000 5.60000, 2.65000 0.10000 7.85000"
26,0.0000,Tx-Rx,0,-49.5335,"6.00000 0.90000 5.60000, 2.35000 0.10000 7.85000"
27,0.0000,Tx-Rx,0,-49.8241,"6.00000 0.90000 5.60000, 2.05000 0.10000 7.85000"
28,0.0000,Tx-Rx,0,-50.8974,"6.00000 0.90000 5.60000, 1.75000 0.10000 7.85000"
29,0.0000,Tx-Rx,0,-52.7615,"6.00000 0.90000 5.60000, 1.45000 0.10000 7.85000"
30,0.0000,Tx-Rx,0,-52.5005,"6.00000 0.90000 5.60000, 1.15000 0.10000 7.85000"
31,0.0000,Tx-Rx,0,-52.7223,"6.00000 0.90000 5.60000, 0.85000 0.10000 7.85000"
32,0.0000,Tx-Rx,0,-52.2867,"6.00000 0.90000 5.60000, 0.55000 0.10000 7.85000"
33,0.0000,Tx-Rx,0,-49.1193,"6.00000 0.90000 5.60000, 0.25000 0.10000 7.85000"
34,0.0000,Tx-Rx,0,-54.2010,"6.00000 0.90000 5.60000, -0.05000 0.10000 7.85000"
35,0.0000,Tx-Rx,0,-76.3978,"6.00000 0.90000 5.60000, -0.35000 0.10000 7.85000"
36,0.0000,Tx-Rx,0,-75.7643,"6.00000 0.90000 5.60000, -0.65000 0.10000 7.85000"
37,0.0000,Tx-Rx,0,-75.2854,"6.00000 0.90000 5.60000, -0.95000 0.10000 7.85000"
38,0.0000,Tx-Rx,0,-76.9046,"6.00000 0.90000 5.60000, -1.25000 0.10000 7.85000"
39,0.0000,Tx-Rx,0,-76.2448,"6.00000 0.90000 5.60000, -1.55000 0.10000 7.85000"
40,0.0000,Tx-Rx,0,-75.9874,"6.00000 0.90000 5.60000, -1.85000 0.10000 7.85000"
41,0.0000,Tx-Rx,0,-75.8554,"6.00000 0.90000 5.60000, -2.15000 0.10000 7.85000"
42,0.0000,Tx-Rx,0,-75.3472,"6.00000 0.90000 5.60000, -2.45000 0.10000 7.85000"
43,0.0000,Tx-Rx,0,-83.4529,"6.00000 0.90000 5.60000, -2.75000 0.10000 7.85000"
44,0.0000,Tx-Rx,0,-83.6524,"6.00000 0.90000 5.60000, -3.05000 0.10000 7.85000"
45,0.0000,Tx-Rx,0,-85.2377,"6.00000 0.90000 5.60000, -3.35000 0.10000 7.85000"
46,0.0000,Tx-Rx,0,-86.0551,"6.00000 0.90000 5.60000, -3.65000 0.10000 7.85000"
47,0.0000,Tx-Rx,0,-82.5800,"6.00000 0.90000 5.60000, -3.95000 0.10000 7.85000"
48,0.0000,Tx-Rx,0,-80.8755,"6.00000 0.90000 5.60000, -4.25000 0.10000 7.85000"
49,0.0000,Tx-Rx,0,-87.6351,"6.00000 0.90000 5.60000, -4.55000 0.10000 7.85000"
50,0.0000,Tx-Rx,0,-83.6850,"6.00000 0.90000 5.60000, -4.85000 0.10000 7.85000"
51,0.0000,Tx-Rx,0,-82.6223,"6.00000 0.90000 5.60000, -5.15000 0.10000 7.85000"
52,0.0000,Tx-Rx,0,-79.9810,"6.00000 0.90000 5.60000, -5.45000 0.10000 7.85000"
53,0.0000,Tx-Rx,0,-78.1685,"6.00000 0.90000 5.60000, -5.75000 0.10000 7.85000"
