Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-74.5641,"6.00000 0.90000 5.60000, 9.85000 0.10000 7.85000"
2,0.0000,Tx-Rx,0,-75.1278,"6.00000 0.90000 5.60000, 9.55000 0.10000 7.85000"
3,0.0000,Tx-Rx,0,-74.1586,"6.00000 0.90000 5.60000, 9.25000 0.10000 7.85000"
4,0.0000,Tx-Rx,0,-77.3797,"6.00000 0.90000 5.60000, 8.95000 0.10000 7.85000"
5,0.0000,Tx-Rx,0,-82.4078,"6.00000 0.90000 5.60000, 8.65000 0.10000 7.85000"
6,0.0000,Tx-Rx,0,-96.4269,"6.00000 0.90000 5.60000, 8.35000 0.10000 7.85000"
7,0.0000,Tx-Rx,0,-71.5301,"6.00000 0.90000 5.60000, 8.05000 0.10000 7.85000"
8,0.0000,Tx-Rx,0,-68.9209,"6.00000 0.90000 5.60000, 7.75000 0.10000 7.85000"
9,0.0000,Tx-Rx,0,-65.6065,"6.00000 0.90000 5.60000, 7.45000 0.10000 7.85000"
10,0.0000,Tx-Rx,0,-62.8140,"6.00000 0.90000 5.60000, 7.15000 0.10000 7.85000"
11,0.0000,Tx-Rx,0,-63.9548,"6.00000 0.90000 5.60000, 6.85000 0.10000 7.85000"
12,0.0000,Tx-Rx,0,-63.9226,"6.00000 0.90000 5.60000, 6.55000 0.10000 7.85000"
13,0.0000,Tx-Rx,0,-61.9692,"6.00000 0.90000 5.60000, 6.25000 0.10000 7.85000"
14,0.0000,Tx-Rx,0,-54.5841,"6.00000 0.90000 5.60000, 5.95000 0.10000 7.85000"
15,0.0000,Tx-Rx,0,-46.0908,"6.00000 0.90000 5.60000, 5.65000 0.10000 7.85000"
16,0.0000,Tx-Rx,0,-46.7630,"6.00000 0.90000 5.60000, 5.35000 0.10000 7.85000"
17,0.0000,Tx-Rx,0,-49.4765,"6.00000 0.90000 5.60000, 5.05000 0.10000 7.85000"
18,0.0000,Tx-Rx,0,-46.2967,"6.00000 0.90000 5.60000, 4.75000 0.10000 7.85000"
19,0.0000,Tx-Rx,0,-46.4173,"6.00000 0.90000 5.60000, 4.45000 0.10000 7.85000"
20,0.0000,Tx-Rx,0,-46.8747,"6.00000 0.90000 5.60000, 4.15000 0.10000 7.85000"
21,0.0000,Tx-Rx,0,-47.2269,"6.00000 0.90000 5.60000, 3.85000 0.10000 7.85000"
22,0.0000,Tx-Rx,0,-47.6627,"6.00000 0.90000 5.60000, 3.55000 0.10000 7.85000"
23,0.0000,Tx-Rx,0,-48.0706,"6.00000 0.90000 5.60000, 3.25000 0.10000 7.85000"
24,0.0000,Tx-Rx,0,-48.5643,"6.00000 0.90000 5.60000, 2.95000 0.10000 7.85000"
25,0.0000,Tx-Rx,0,-49.0681,"6.00000 0.90000 5.60000, 2.65000 0.10000 7.85000"
26,0.0000,Tx-Rx,0,-49.5283,"6.00000 0.90000 5.60000, 2.35000 0.10000 7.85000"
27,0.0000,Tx-Rx,0,-49.8310,"6.00000 0.90000 5.60000, 2.05000 0.10000 7.85000"
28,0.0000,Tx-Rx,0,-50.9875,"6.00000 0.90000 5.60000, 1.75000 0.10000 7.85000"
29,0.0000,Tx-Rx,0,-52.6785,"6.00000 0.90000 5.60000, 1.45000 0.10000 7.85000"
30,0.0000,Tx-Rx,0,-52.5143,"6.00000 0.90000 5.60000, 1.15000 0.10000 7.85000"
31,0.0000,Tx-Rx,0,-52.5127,"6.00000 0.90000 5.60000, 0.85000 0.10000 7.85000"
32,0.0000,Tx-Rx,0,-52.3137,"6.00000 0.90000 5.60000, 0.55000 0.10000 7.85000"
33,0.0000,Tx-Rx,0,-49.2436,"6.00000 0.90000 5.60000, 0.25000 0.10000 7.85000"
34,0.0000,Tx-Rx,0,-54.0284,"6.00000 0.90000 5.60000, -0.05000 0.10000 7.85000"
35,0.0000,Tx-Rx,0,-76.3977,"6.00000 0.90000 5.60000, -0.35000 0.10000 7.85000"
36,0.0000,Tx-Rx,0,-75.7642,"6.00000 0.90000 5.60000, -0.65000 0.10000 7.85000"
37,0.0000,Tx-Rx,0,-75.2854,"6.00000 0.90000 5.60000, -0.95000 0.10000 7.85000"
38,0.0000,Tx-Rx,0,-76.9101,"6.00000 0.90000 5.60000, -1.25000 0.10000 7.85000"
39,0.0000,Tx-Rx,0,-76.2650,"6.00000 0.90000 5.60000, -1.55000 0.10000 7.85000"
40,0.0000,Tx-Rx,0,-75.9314,"6.00000 0.90000 5.60000, -1.85000 0.10000 7.85000"
