Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-47.2686,"6.00000 0.90000 5.60000, 3.00000 1.10000 3.00000"
1,-1.3698,Tx-I-Rx,1,-47.2686,"6.00000 0.90000 5.60000, 5.59841 0.92654 6.07561, 3.00000 1.10000 3.00000"
1,-13.1167,Tx-I-Rx,1,-47.2686,"6.00000 0.90000 5.60000, 8.00000 0.95714 4.85716, 3.00000 1.10000 3.00000"
1,-14.5843,Tx-I-Rx,1,-47.2686,"6.00000 0.90000 5.60000, 4.42502 3.00000 4.23501, 3.00000 1.10000 3.00000"
1,-15.1236,Tx-I-I-Rx,2,-47.2686,"6.00000 0.90000 5.60000, 5.14376 0.76698 7.71205, 5.02705 0.78511 8.00000, 3.00000 1.10000 3.00000"
1,-15.2521,Tx-I-Rx,1,-47.2686,"6.00000 0.90000 5.60000, -0.00000 1.03333 3.86667, 3.00000 1.10000 3.00000"
2,0.0000,Tx-Rx,0,-51.4558,"6.00000 0.90000 5.60000, 1.00000 1.10000 5.50000"
2,-8.6557,Tx-I-Rx,1,-51.4558,"6.00000 0.90000 5.60000, 3.55106 0.99796 8.00000, 1.00000 1.10000 5.50000"
2,-10.9975,Tx-I-Rx,1,-51.4558,"6.00000 0.90000 5.60000, -0.00000 1.07143 5.51429, 1.00000 1.10000 5.50000"
2,-13.1776,Tx-I-Rx,1,-51.4558,"6.00000 0.90000 5.60000, 8.00000 0.94444 5.57778, 1.00000 1.10000 5.50000"
2,-15.7106,Tx-I-Rx,1,-51.4558,"6.00000 0.90000 5.60000, 3.37502 3.00000 5.54750, 1.00000 1.10000 5.50000"
2,-16.0996,Tx-I-I-Rx,2,-51.4558,"6.00000 0.90000 5.60000, 2.57149 0.99796 8.00000, -0.00000 1.07143 6.20001, 1.00000 1.10000 5.50000"
