Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-47.2686,"6.00000 0.90000 5.60000, 3.00000 1.10000 3.00000"
1,-1.3698,Tx-I-Rx,1,-47.2686,"6.00000 0.90000 5.60000, 5.59841 0.92654 6.07561, 3.00000 1.10000 3.00000"
1,-13.1167,Tx-I-Rx,1,-47.2686,"6.00000 0.90000 5.60000, 8.00000 0.95714 4.85716, 3.00000 1.10000 3.00000"
1,-14.5843,Tx-I-Rx,1,-47.2686,"6.00000 0.90000 5.60000, 4.42502 3.00000 4.23501, 3.00000 1.10000 3.00000"
1,-15.1236,Tx-I-I-Rx,2,-47.2686,"6.00000 0.90000 5.60000, 5.14376 0.76698 7.71205, 5.02705 0.78511 8.00000, 3.00000 1.10000 3.00000"
1,-15.2521,Tx-I-Rx,1,-47.2686,"6.00000 0.90000 5.60000, -0.00000 1.03333 3.86667, 3.00000 1.10000 3.00000"
2,0.0000,Tx-I-I-Rx,2,-65.8531,"6.00000 0.90000 5.60000, 0.75002 3.00000 -2.32747, -0.35759 2.55696 -4.00000, -4.00000 1.10000 1.50000"
2,-2.2452,Tx-I-I-I-I-Rx,4,-65.8531,"6.00000 0.90000 5.60000, 1.50008 0.00000 -1.19488, -0.21843 0.34369 -3.78985, -0.22690 0.34538 -3.80262, -0.35759 0.37152 -4.00000, -4.00000 1.10000 1.50000"
2,-2.9495,Tx-I-Rx,1,-65.8531,"6.00000 0.90000 5.60000, -0.00000 1.02000 3.14001, -4.00000 1.10000 1.50000"
2,-6.3857,Tx-I-I-I-I-Rx,4,-65.8531,"6.00000 0.90000 5.60000, 6.31227 0.71958 6.26249, 5.38093 0.55523 8.00000, 2.23434 0.00000 2.13011, -1.05170 0.57978 -4.00000, -4.00000 1.10000 1.50000"
