Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-32.2651,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -4.48836 5.79099 1.00078, -4.32792 7.00000 1.01147, -4.16738 5.79099 1.02217, -3.00000 -3.00000 1.10000"
1,-36.0771,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 3.71421 0.95714, -7.29449 7.00000 0.97730, -4.07363 -8.00000 1.06932, -3.00000 -3.00000 1.10000"
1,-43.7986,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -2.99311 0.94138, -10.00000 1.35172 1.01034, -8.50806 2.00000 1.02063, 0.00000 -1.69654 1.07931, -3.00000 -3.00000 1.10000"
1,-39.4676,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -5.79418 -8.00000 0.91372, -4.61149 5.79099 0.99257, -3.42879 -8.00000 1.07141, -3.00000 -3.00000 1.10000"
1,-40.9803,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -2.85524 5.79099 0.96988, -2.52148 7.00000 0.97730, 0.00000 -2.13322 1.03333, -1.61962 -8.00000 1.06932, -3.00000 -3.00000 1.10000"
1,-51.1496,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -5.15429 0.93429, -8.00000 -4.56000 0.98000, 0.00000 -3.96572 1.02571, -8.00000 -3.37143 1.07143, -3.00000 -3.00000 1.10000"
1,-42.2916,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -0.17604 0.94800, -7.93805 7.00000 1.01150, -8.00000 6.94405 1.01200, 0.00000 -0.28798 1.07600, -3.00000 -3.00000 1.10000"
1,-45.3271,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.42247 -8.00000 0.91283, -1.81283 7.00000 0.99305, 0.00000 -0.53318 1.03333, -1.79678 -8.00000 1.07326, -3.00000 -3.00000 1.10000"
1,-82.8053,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -5.42069 0.91379, 0.00000 -4.70345 0.96897, 8.00000 -3.98621 1.02414, 0.00000 -3.26897 1.07931, -3.00000 -3.00000 1.10000"
1,-47.4433,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.86303 -8.00000 0.90913, -5.07593 5.79099 0.96160, -4.28883 -8.00000 1.01408, -3.50173 5.79099 1.06655, -3.00000 -3.00000 1.10000"
1,-84.4271,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -5.15429 0.93429, 8.00000 -4.56000 0.98000, 0.00000 -3.96572 1.02571, -8.00000 -3.37143 1.07143, -3.00000 -3.00000 1.10000"
1,-34.7845,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -9.20858 0.99214 0.75996, -9.69910 2.00000 0.78136, -10.00000 1.38192 0.79449, -5.43365 -8.00000 0.99379, -3.00000 -3.00000 1.10000"
1,-37.1767,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -4.84049 7.00000 0.12698, -4.65009 4.93095 0.00000, -3.46013 -8.00000 0.79325, -3.00000 -3.00000 1.10000"
1,-38.7907,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 3.71418 0.32857, -7.29448 7.00000 0.12699, -6.85020 4.93095 0.00000, -4.07363 -8.00000 0.79325, -3.00000 -3.00000 1.10000"
1,-43.3989,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -5.37392 0.72609, 0.00000 -4.46956 0.03044, -0.34967 -4.43004 0.00000, -8.00000 -3.56522 0.66521, -3.00000 -3.00000 1.10000"
1,-15.1236,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -5.14376 -7.71205 0.76698, -5.02705 -8.00000 0.78511, -3.00000 -3.00000 1.10000"
1,-34.5271,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -4.77895 0.26843, -2.54984 -4.43002 0.00000, -8.00000 -3.68422 0.57368, -3.00000 -3.00000 1.10000"
1,-33.5618,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -5.20001 0.59232, -4.15018 -4.43004 0.00000, 0.00000 -3.60000 0.63846, -3.00000 -3.00000 1.10000"
1,-43.7994,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -4.97600 0.42002, -5.24989 -4.43001 0.00000, -8.00000 -4.14400 0.22000, 0.00000 -3.31200 0.86000, -3.00000 -3.00000 1.10000"
1,-36.9348,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -7.93681 0.26844, -0.16211 -8.00000 0.25137, -2.54974 -7.07010 0.00000, -8.00000 -4.94738 0.57368, -3.00000 -3.00000 1.10000"
1,-15.1512,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -5.15579 -7.68237 0.76698, -5.02705 -8.00000 0.78687, -3.00000 -3.00000 1.10000"
1,-29.1850,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.18871 -7.60112 0.76698, -5.10972 -7.79596 0.75398, -5.08187 -7.86472 0.75855, -5.02705 -8.00000 0.76754, -3.00000 -3.00000 1.10000"
1,-28.9875,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.22164 -7.51989 0.76698, -5.12160 -7.76670 0.74989, -5.08500 -7.85699 0.74358, -5.02705 -8.00000 0.75349, -3.00000 -3.00000 1.10000"
1,-32.6363,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.40156 -6.09205 0.76698, -3.08111 -8.00000 0.25138, -1.95011 -7.07008 0.00000, 0.00000 -5.46668 0.43333, -3.00000 -3.00000 1.10000"
1,-57.5403,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -5.90648 -5.83067 0.76698, -5.02704 -8.00000 2.01752, -4.33616 -6.29585 3.00000, -3.00000 -3.00000 1.10000"
1,-70.0899,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.71945 -5.83067 0.76698, -3.08112 -8.00000 2.01751, -1.00844 -6.29582 3.00000, 0.00000 -5.46668 2.52202, -3.00000 -3.00000 1.10000"
1,-49.1503,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -5.53450 -2.46843 0.00000, -4.30676 5.79099 2.37360, -3.98278 3.61146 3.00000, -3.00000 -3.00000 1.10000"
1,-48.7499,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.53449 -0.91671 0.00000, -4.86777 5.79099 1.28897, -3.98277 -3.11268 3.00000, -3.49699 -8.00000 2.06084, -3.00000 -3.00000 1.10000"
1,-50.9680,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.40773 -5.51895 0.76698, 0.00000 -4.77895 1.98112, -4.53775 -4.15799 3.00000, -8.00000 -3.68422 2.22265, -3.00000 -3.00000 1.10000"
1,-54.1906,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -6.21820 -5.51895 0.76698, -8.00000 -4.85715 1.85281, -6.11770 -4.15800 3.00000, -3.00000 -3.00000 1.10000"
1,-64.9276,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -6.40524 -5.51895 0.76698, -8.00000 -5.20001 1.29026, -2.78999 -4.15800 3.00000, 0.00000 -3.60000 2.08447, -3.00000 -3.00000 1.10000"
1,-32.1749,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -6.46571 -5.42702 0.76698, -6.51108 -5.41017 0.75398, -8.00000 -4.85715 0.32859, -6.85013 -4.43005 0.00000, -3.00000 -3.00000 1.10000"
1,-36.0182,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -4.42503 6.26468 3.00000, -4.32743 7.00000 2.86986, -4.16695 5.79099 2.65588, -3.00000 -3.00000 1.10000"
1,-15.2521,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -3.86667 1.03333, -3.00000 -3.00000 1.10000"
1,-40.1914,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -4.77895 2.16314, -3.97493 -4.23501 3.00000, -8.00000 -3.68422 2.15264, -3.00000 -3.00000 1.10000"
1,-66.7414,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -4.77894 2.85788, -0.43542 -4.71936 3.00000, -8.00000 -3.68421 0.53160, -6.37104 -3.46130 0.00000, -3.00000 -3.00000 1.10000"
1,-20.8913,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -3.08113 -8.00000 0.96486, 0.00000 -5.46668 1.03333, -3.00000 -3.00000 1.10000"
1,-42.0443,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -7.93682 2.16314, -0.16209 -8.00000 2.19727, -3.97490 -6.51504 3.00000, -8.00000 -4.94738 2.15264, -3.00000 -3.00000 1.10000"
1,-50.2699,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -4.98386 4.62302 3.00000, -4.86777 5.79099 2.76009, -3.53226 -7.64510 0.00000, -3.49699 -8.00000 0.07289, -3.00000 -3.00000 1.10000"
1,-41.8364,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.21169 -8.00000 1.25035, -1.27502 3.98489 3.00000, -0.28467 7.00000 2.55986, 0.00000 6.13349 2.43336, -3.00000 -3.00000 1.10000"
1,-36.2595,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -5.71180 -8.00000 1.28426, -4.42501 2.71546 3.00000, -4.05569 5.79099 2.50758, -3.00000 -3.00000 1.10000"
1,-47.9006,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -4.97600 1.85998, -7.12498 -4.23500 3.00000, -8.00000 -4.14400 2.86001, 0.00000 -3.31200 1.58000, -3.00000 -3.00000 1.10000"
1,-81.0799,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -4.97600 1.85998, 7.12498 -4.23500 3.00000, 8.00000 -4.14400 2.86001, 0.00000 -3.31200 1.58000, -3.00000 -3.00000 1.10000"
1,-41.9354,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -9.69908 2.00000 2.24512, -10.00000 1.38188 2.35452, -8.22508 -2.26482 3.00000, -5.43365 -8.00000 1.98496, -3.00000 -3.00000 1.10000"
1,-26.3488,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -5.20001 0.93077, 0.00000 -3.60000 1.05385, -3.00000 -3.00000 1.10000"
