Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-47.2686,"-6.00000 -5.60000 0.90000, -3.00000 -3.00000 1.10000"
1,-1.3698,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -5.59841 -6.07561 0.92654, -3.00000 -3.00000 1.10000"
1,-13.1167,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -4.85716 0.95714, -3.00000 -3.00000 1.10000"
1,-14.5843,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -4.42502 -4.23501 3.00000, -3.00000 -3.00000 1.10000"
1,-15.1236,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -5.14376 -7.71205 0.76698, -5.02705 -8.00000 0.78511, -3.00000 -3.00000 1.10000"
1,-15.2521,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -3.86667 1.03333, -3.00000 -3.00000 1.10000"
2,0.0000,Tx-Rx,0,-48.3678,"-6.00000 -5.60000 0.90000, -2.50000 -6.50000 1.10000"
2,-9.3156,Tx-I-Rx,1,-48.3678,"-6.00000 -5.60000 0.90000, -3.84618 -8.00000 1.02308, -2.50000 -6.50000 1.10000"
2,-14.4367,Tx-I-Rx,1,-48.3678,"-6.00000 -5.60000 0.90000, -4.16252 -6.07250 3.00000, -2.50000 -6.50000 1.10000"
2,-15.5068,Tx-I-Rx,1,-48.3678,"-6.00000 -5.60000 0.90000, 0.00000 -6.23529 1.04118, -2.50000 -6.50000 1.10000"
2,-18.4743,Tx-I-I-Rx,2,-48.3678,"-6.00000 -5.60000 0.90000, -8.00000 -6.63997 0.95333, -5.38467 -8.00000 1.02308, -2.50000 -6.50000 1.10000"
2,-19.1558,Tx-I-I-Rx,2,-48.3678,"-6.00000 -5.60000 0.90000, -0.76928 -8.00000 1.02308, 0.00000 -7.64707 1.04118, -2.50000 -6.50000 1.10000"
