Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-15.1236,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -5.14376 -7.71205 0.76698, -5.02705 -8.00000 0.78511, -3.00000 -3.00000 1.10000"
1,-15.1512,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -5.15579 -7.68237 0.76698, -5.02705 -8.00000 0.78687, -3.00000 -3.00000 1.10000"
1,-29.1850,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.18871 -7.60112 0.76698, -5.10972 -7.79596 0.75398, -5.08187 -7.86472 0.75855, -5.02705 -8.00000 0.76754, -3.00000 -3.00000 1.10000"
1,-28.9875,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.22164 -7.51989 0.76698, -5.12160 -7.76670 0.74989, -5.08500 -7.85699 0.74358, -5.02705 -8.00000 0.75349, -3.00000 -3.00000 1.10000"
1,-26.3488,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -5.20001 0.93077, 0.00000 -3.60000 1.05385, -3.00000 -3.00000 1.10000"
1,-29.8526,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -6.73844 0.93077, -5.78386 -8.00000 0.96486, 0.00000 -4.70770 1.05385, -3.00000 -3.00000 1.10000"
1,-18.6790,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -4.30677 5.79099 1.01288, -3.00000 -3.00000 1.10000"
1,-29.6956,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -4.77895 0.96316, -8.00000 -3.68422 1.04737, -3.00000 -3.00000 1.10000"
1,-1.3698,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -5.59841 -6.07561 0.92654, -3.00000 -3.00000 1.10000"
1,-1.3698,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -5.60391 -6.07559 0.92732, -3.00000 -3.00000 1.10000"
1,-15.2521,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -3.86667 1.03333, -3.00000 -3.00000 1.10000"
1,-20.8913,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -3.08113 -8.00000 0.96486, 0.00000 -5.46668 1.03333, -3.00000 -3.00000 1.10000"
1,0.0000,Tx-Rx,0,-47.2686,"-6.00000 -5.60000 0.90000, -3.00000 -3.00000 1.10000"
1,-14.5843,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -4.42502 -4.23501 3.00000, -3.00000 -3.00000 1.10000"
1,-24.5545,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -4.98388 -4.71936 3.00000, -3.53226 -3.46129 0.00000, -3.00000 -3.00000 1.10000"
1,-13.1167,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -4.85716 0.95714, -3.00000 -3.00000 1.10000"
1,-27.5096,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -5.93122 -5.54039 0.76698, -5.53450 -5.19656 0.00000, -3.98277 -3.85173 3.00000, -3.00000 -3.00000 1.10000"
