Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-47.4433,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.86303 -8.00000 0.90913, -5.07593 5.79099 0.96160, -4.28883 -8.00000 1.01408, -3.50173 5.79099 1.06655, -3.00000 -3.00000 1.10000"
1,-34.7845,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -9.20857 0.99213 0.75996, -9.69910 2.00000 0.78136, -10.00000 1.38192 0.79449, -5.43365 -8.00000 0.99379, -3.00000 -3.00000 1.10000"
1,-38.7907,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 3.71418 0.32857, -7.29448 7.00000 0.12699, -6.85020 4.93095 0.00000, -4.07363 -8.00000 0.79325, -3.00000 -3.00000 1.10000"
1,-43.3989,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -5.37392 0.72609, 0.00000 -4.46956 0.03044, -0.34967 -4.43004 0.00000, -8.00000 -3.56522 0.66521, -3.00000 -3.00000 1.10000"
1,-15.1236,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -5.14376 -7.71205 0.76698, -5.02705 -8.00000 0.78511, -3.00000 -3.00000 1.10000"
1,-34.5271,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -4.77895 0.26843, -2.54984 -4.43002 0.00000, -8.00000 -3.68422 0.57368, -3.00000 -3.00000 1.10000"
1,-33.5618,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -5.20001 0.59232, -4.15018 -4.43004 0.00000, 0.00000 -3.60000 0.63846, -3.00000 -3.00000 1.10000"
1,-43.7994,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -4.97600 0.42002, -5.24989 -4.43001 0.00000, -8.00000 -4.14400 0.22000, 0.00000 -3.31200 0.86000, -3.00000 -3.00000 1.10000"
1,-15.1512,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -5.15579 -7.68237 0.76698, -5.02705 -8.00000 0.78687, -3.00000 -3.00000 1.10000"
1,-29.1850,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.18871 -7.60112 0.76698, -5.10972 -7.79596 0.75398, -5.08187 -7.86472 0.75855, -5.02705 -8.00000 0.76754, -3.00000 -3.00000 1.10000"
