Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-20.8913,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -3.08113 -8.00000 0.96486, 0.00000 -5.46668 1.03333, -3.00000 -3.00000 1.10000"
1,-26.3488,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -5.20001 0.93077, 0.00000 -3.60000 1.05385, -3.00000 -3.00000 1.10000"
1,-29.8526,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -6.73844 0.93077, -5.78386 -8.00000 0.96486, 0.00000 -4.70770 1.05385, -3.00000 -3.00000 1.10000"
1,-18.6790,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -4.30677 5.79099 1.01288, -3.00000 -3.00000 1.10000"
1,-29.6956,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -4.77895 0.96316, -8.00000 -3.68422 1.04737, -3.00000 -3.00000 1.10000"
1,-15.1236,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -5.14376 -7.71205 0.76698, -5.02705 -8.00000 0.78511, -3.00000 -3.00000 1.10000"
1,-29.1850,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.18871 -7.60112 0.76698, -5.10972 -7.79596 0.75398, -5.08187 -7.86472 0.75855, -5.02705 -8.00000 0.76754, -3.00000 -3.00000 1.10000"
1,-15.1512,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -5.15579 -7.68237 0.76698, -5.02705 -8.00000 0.78687, -3.00000 -3.00000 1.10000"
1,-28.9875,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.22164 -7.51989 0.76698, -5.12160 -7.76670 0.74989, -5.08500 -7.85699 0.74358, -5.02705 -8.00000 0.75349, -3.00000 -3.00000 1.10000"
1,-1.3698,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -5.59841 -6.07561 0.92654, -3.00000 -3.00000 1.10000"
1,-1.3698,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -5.60391 -6.07559 0.92732, -3.00000 -3.00000 1.10000"
1,-15.2521,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -3.86667 1.03333, -3.00000 -3.00000 1.10000"
1,0.0000,Tx-Rx,0,-47.2686,"-6.00000 -5.60000 0.90000, -3.00000 -3.00000 1.10000"
1,-14.5843,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -4.42501 -4.23501 3.00000, -3.00000 -3.00000 1.10000"
1,-24.5545,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -4.98388 -4.71936 3.00000, -3.53226 -3.46129 0.00000, -3.00000 -3.00000 1.10000"
1,-13.1167,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -4.85716 0.95714, -3.00000 -3.00000 1.10000"
1,-27.5096,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -5.93122 -5.54039 0.76698, -5.53450 -5.19656 0.00000, -3.98277 -3.85173 3.00000, -3.00000 -3.00000 1.10000"
1,-29.1084,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.90913 -5.57666 0.76698, -5.38505 -5.44206 0.00000, -5.11824 -5.37358 0.39044, -3.89247 -4.00007 3.00000, -3.00000 -3.00000 1.10000"
2,-10.3896,Tx-I-Rx,1,-51.8914,"-6.00000 -5.60000 0.90000, 0.00000 -0.75202 0.99600, -6.50000 4.50000 1.10000"
2,-23.0961,Tx-I-I-Rx,2,-51.8914,"-6.00000 -5.60000 0.90000, 0.00000 -0.75200 2.81999, -0.56244 -0.29755 3.00000, -6.50000 4.50000 1.10000"
2,-29.9526,Tx-I-I-I-Rx,3,-51.8914,"-6.00000 -5.60000 0.90000, 0.00000 -1.69032 2.44838, -2.13741 -0.29754 3.00000, -8.00000 3.52257 1.48710, -6.50000 4.50000 1.10000"
2,-19.5973,Tx-I-I-Rx,2,-51.8914,"-6.00000 -5.60000 0.90000, -8.00000 -4.37579 0.92424, 0.00000 0.52120 1.02121, -6.50000 4.50000 1.10000"
2,-11.5598,Tx-I-Rx,1,-51.8914,"-6.00000 -5.60000 0.90000, -6.41722 7.00000 1.06689, -6.50000 4.50000 1.10000"
2,-13.4989,Tx-I-I-Rx,2,-51.8914,"-6.00000 -5.60000 0.90000, -8.00000 3.02846 1.01428, -7.07947 7.00000 1.06689, -6.50000 4.50000 1.10000"
2,-24.0407,Tx-I-I-I-Rx,3,-51.8914,"-6.00000 -5.60000 0.90000, -3.50340 -8.00000 0.93221, 0.00000 -4.63228 0.97742, -8.00000 3.05805 1.08065, -6.50000 4.50000 1.10000"
2,-22.0311,Tx-I-I-Rx,2,-51.8914,"-6.00000 -5.60000 0.90000, -6.06030 -8.00000 0.92412, -6.43719 7.00000 1.07487, -6.50000 4.50000 1.10000"
2,-26.7775,Tx-I-I-I-I-Rx,4,-51.8914,"-6.00000 -5.60000 0.90000, 0.00000 -1.69030 0.97742, -2.90663 0.20370 1.01492, -2.93896 0.22476 1.01534, -8.00000 3.52257 1.08065, -6.50000 4.50000 1.10000"
2,-28.5167,Tx-I-I-I-Rx,3,-51.8914,"-6.00000 -5.60000 0.90000, -8.00000 -4.56413 0.92051, 0.00000 -0.42052 1.00256, -8.00000 3.72307 1.08462, -6.50000 4.50000 1.10000"
2,-24.0606,Tx-I-I-I-Rx,3,-51.8914,"-6.00000 -5.60000 0.90000, 0.00000 0.24514 0.97742, -6.93373 7.00000 1.06689, -8.00000 5.96130 1.08064, -6.50000 4.50000 1.10000"
2,-16.3423,Tx-I-I-I-Rx,3,-51.8914,"-6.00000 -5.60000 0.90000, -9.47981 2.00000 0.98840, -10.00000 0.86405 1.00161, -8.85978 -1.62628 1.03057, -6.50000 4.50000 1.10000"
2,-23.9696,Tx-I-I-I-Rx,3,-51.8914,"-6.00000 -5.60000 0.90000, 0.00000 -1.69032 0.12580, -0.97482 -1.05511 0.00000, -8.00000 3.52257 0.90645, -6.50000 4.50000 1.10000"
2,-9.5238,Tx-I-Rx,1,-51.8914,"-6.00000 -5.60000 0.90000, -6.22499 -1.05512 0.00000, -6.50000 4.50000 1.10000"
