Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-47.2686,"-6.00000 -5.60000 0.90000, -3.00000 -3.00000 1.10000"
1,-1.3698,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -5.59841 -6.07561 0.92654, -3.00000 -3.00000 1.10000"
1,-13.1167,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -4.85716 0.95714, -3.00000 -3.00000 1.10000"
1,-14.5843,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -4.42502 -4.23501 3.00000, -3.00000 -3.00000 1.10000"
1,-15.1236,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -5.14376 -7.71205 0.76698, -5.02705 -8.00000 0.78511, -3.00000 -3.00000 1.10000"
1,-15.2521,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -3.86667 1.03333, -3.00000 -3.00000 1.10000"
2,0.0000,Tx-I-I-Rx,2,-65.8531,"-6.00000 -5.60000 0.90000, -0.75002 2.32747 3.00000, 0.35759 4.00000 2.55696, 4.00000 -1.50000 1.10000"
2,-2.2452,Tx-I-I-I-I-Rx,4,-65.8531,"-6.00000 -5.60000 0.90000, -1.50008 1.19488 0.00000, 0.21843 3.78985 0.34369, 0.22690 3.80262 0.34538, 0.35759 4.00000 0.37152, 4.00000 -1.50000 1.10000"
2,-2.9495,Tx-I-Rx,1,-65.8531,"-6.00000 -5.60000 0.90000, 0.00000 -3.14001 1.02000, 4.00000 -1.50000 1.10000"
2,-6.3857,Tx-I-I-I-I-Rx,4,-65.8531,"-6.00000 -5.60000 0.90000, -6.31227 -6.26249 0.71958, -5.38093 -8.00000 0.55523, -2.23434 -2.13011 0.00000, 1.05170 4.00000 0.57978, 4.00000 -1.50000 1.10000"
