Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-18.6790,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -4.30677 5.79099 1.01288, -3.00000 -3.00000 1.10000"
1,-36.4258,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -4.86777 5.79099 2.40964, -4.42503 1.33675 3.00000, -3.49699 -8.00000 1.76265, -3.00000 -3.00000 1.10000"
1,-41.6815,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 3.71419 2.04285, -7.29448 7.00000 2.44601, -6.32508 2.48539 3.00000, -4.07363 -8.00000 1.71350, -3.00000 -3.00000 1.10000"
1,-29.6956,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -4.77895 0.96316, -8.00000 -3.68422 1.04737, -3.00000 -3.00000 1.10000"
1,-49.4951,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -6.33243 -6.39387 1.00252, -5.58544 -6.11465 1.05490, -8.00000 -5.10036 2.30704, -6.66386 -4.53908 3.00000, -3.00000 -3.00000 1.10000"
1,-32.4297,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -7.93683 0.96316, -0.16206 -8.00000 0.96486, -8.00000 -4.94738 1.04737, -3.00000 -3.00000 1.10000"
1,-28.5113,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -5.71180 -8.00000 0.91921, -4.05569 5.79099 1.02962, -3.00000 -3.00000 1.10000"
1,-39.4026,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -5.37392 0.91739, 0.00000 -4.46957 0.98696, -8.00000 -3.56522 1.05652, -3.00000 -3.00000 1.10000"
1,-35.2806,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -5.21170 -8.00000 0.91752, -0.28467 7.00000 1.02701, 0.00000 6.13349 1.03333, -3.00000 -3.00000 1.10000"
1,-44.8775,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.79418 -8.00000 1.17442, -4.61149 5.79099 2.75137, -4.42504 3.61692 3.00000, -3.42879 -8.00000 1.67173, -3.00000 -3.00000 1.10000"
1,-34.3685,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -9.69910 2.00000 0.96726, -10.00000 1.38192 0.97273, -5.43365 -8.00000 1.05575, -3.00000 -3.00000 1.10000"
1,-40.2236,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -2.82764 -8.00000 0.92759, 0.00000 -5.86089 0.95217, -10.00000 1.70433 1.03913, -9.60926 2.00000 1.04253, -3.00000 -3.00000 1.10000"
1,-40.1383,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -4.97600 0.94800, -8.00000 -4.14400 1.01200, 0.00000 -3.31200 1.07600, -3.00000 -3.00000 1.10000"
1,-37.4371,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.74001 -8.00000 0.91733, -5.59317 -6.64452 0.92712, -5.44633 -8.00000 0.93691, -3.95234 5.79099 1.03651, -3.00000 -3.00000 1.10000"
1,-30.1412,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -4.86777 5.79099 0.97548, -3.49699 -8.00000 1.06687, -3.00000 -3.00000 1.10000"
1,-49.4928,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -5.42069 0.91379, 0.00000 -4.70345 0.96897, -8.00000 -3.98621 1.02414, 0.00000 -3.26897 1.07931, -3.00000 -3.00000 1.10000"
1,-73.4892,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -4.97600 0.94800, 8.00000 -4.14400 1.01200, 0.00000 -3.31200 1.07600, -3.00000 -3.00000 1.10000"
1,-32.2651,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -4.48836 5.79099 1.00078, -4.32792 7.00000 1.01147, -4.16738 5.79099 1.02217, -3.00000 -3.00000 1.10000"
1,-36.0771,Tx-I-I-I-Rx,3,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 3.71421 0.95714, -7.29449 7.00000 0.97730, -4.07363 -8.00000 1.06932, -3.00000 -3.00000 1.10000"
1,-43.7986,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -2.99311 0.94138, -10.00000 1.35172 1.01034, -8.50806 2.00000 1.02063, 0.00000 -1.69654 1.07931, -3.00000 -3.00000 1.10000"
1,-32.6363,Tx-I-I-I-I-Rx,4,-47.2686,"-6.00000 -5.60000 0.90000, -5.40156 -6.09205 0.76698, -3.08111 -8.00000 0.25138, -1.95011 -7.07008 0.00000, 0.00000 -5.46668 0.43333, -3.00000 -3.00000 1.10000"
