Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-47.2686,"-6.00000 -5.60000 0.90000, -3.00000 -3.00000 1.10000"
1,-1.3698,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -5.59841 -6.07561 0.92654, -3.00000 -3.00000 1.10000"
1,-13.1167,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -8.00000 -4.85716 0.95714, -3.00000 -3.00000 1.10000"
1,-14.5843,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, -4.42502 -4.23501 3.00000, -3.00000 -3.00000 1.10000"
1,-15.1236,Tx-I-I-Rx,2,-47.2686,"-6.00000 -5.60000 0.90000, -5.14376 -7.71205 0.76698, -5.02705 -8.00000 0.78511, -3.00000 -3.00000 1.10000"
1,-15.2521,Tx-I-Rx,1,-47.2686,"-6.00000 -5.60000 0.90000, 0.00000 -3.86667 1.03333, -3.00000 -3.00000 1.10000"
2,0.0000,Tx-Rx,0,-51.4558,"-6.00000 -5.60000 0.90000, -1.00000 -5.50000 1.10000"
2,-8.6557,Tx-I-Rx,1,-51.4558,"-6.00000 -5.60000 0.90000, -3.55106 -8.00000 0.99796, -1.00000 -5.50000 1.10000"
2,-10.9975,Tx-I-Rx,1,-51.4558,"-6.00000 -5.60000 0.90000, 0.00000 -5.51429 1.07143, -1.00000 -5.50000 1.10000"
2,-13.1776,Tx-I-Rx,1,-51.4558,"-6.00000 -5.60000 0.90000, -8.00000 -5.57778 0.94444, -1.00000 -5.50000 1.10000"
2,-15.7106,Tx-I-Rx,1,-51.4558,"-6.00000 -5.60000 0.90000, -3.37502 -5.54750 3.00000, -1.00000 -5.50000 1.10000"
2,-16.0996,Tx-I-I-Rx,2,-51.4558,"-6.00000 -5.60000 0.90000, -2.57149 -8.00000 0.99796, 0.00000 -6.20001 1.07143, -1.00000 -5.50000 1.10000"
