Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-Rx,1,-58.1229,"-7.60000 1.25000 -2.30000, -6.17914 1.21194 -4.00000, -2.00000 1.10000 1.00000"
1,-5.8205,Tx-I-I-Rx,2,-58.1229,"-7.60000 1.25000 -2.30000, -8.00000 1.24063 -2.71870, -6.77616 1.21194 -4.00000, -2.00000 1.10000 1.00000"
1,-7.7120,Tx-I-I-Rx,2,-58.1229,"-7.60000 1.25000 -2.30000, -5.16423 1.21194 -4.00000, -0.00000 1.13125 -0.39584, -2.00000 1.10000 1.00000"
1,-11.1514,Tx-I-I-Rx,2,-58.1229,"-7.60000 1.25000 -2.30000, -8.00000 1.24423 -2.17309, -0.00000 1.12885 0.36538, -2.00000 1.10000 1.00000"
1,-11.3605,Tx-I-Rx,1,-58.1229,"-7.60000 1.25000 -2.30000, -4.24135 1.16004 7.61976, -2.00000 1.10000 1.00000"
1,-12.1162,Tx-I-I-Rx,2,-58.1229,"-7.60000 1.25000 -2.30000, -4.23245 0.83566 7.49021, -4.19080 0.83048 7.36913, -2.00000 1.10000 1.00000"
1,-14.0811,Tx-I-I-Rx,2,-58.1229,"-7.60000 1.25000 -2.30000, -6.17913 0.65375 -4.00000, -4.62133 0.00000 -2.13624, -2.00000 1.10000 1.00000"
1,-14.1964,Tx-I-I-Rx,2,-58.1229,"-7.60000 1.25000 -2.30000, -8.00000 1.24063 -1.26641, -4.56155 1.16004 7.61976, -2.00000 1.10000 1.00000"
1,-14.9894,Tx-I-I-I-Rx,3,-58.1229,"-7.60000 1.25000 -2.30000, -8.00000 1.20694 -1.28261, -4.55137 0.83566 7.49021, -4.50377 0.83048 7.36913, -2.00000 1.10000 1.00000"
1,-17.6560,Tx-I-I-Rx,2,-58.1229,"-7.60000 1.25000 -2.30000, -4.91508 3.00000 5.99447, -4.26591 2.57689 8.00000, -2.00000 1.10000 1.00000"
1,-18.6214,Tx-I-I-I-Rx,3,-58.1229,"-7.60000 1.25000 -2.30000, -5.60640 1.22921 -1.84273, -8.00000 1.20426 -1.29372, -0.00000 1.12085 0.54126, -2.00000 1.10000 1.00000"
1,-19.5981,Tx-I-I-I-I-Rx,4,-58.1229,"-7.60000 1.25000 -2.30000, -1.88439 1.16069 8.00000, -0.04038 1.13188 4.67695, -0.01926 1.13155 4.63885, -0.00000 1.13125 4.60421, -2.00000 1.10000 1.00000"
1,-19.9619,Tx-I-I-I-I-Rx,4,-58.1229,"-7.60000 1.25000 -2.30000, -5.60640 1.23219 -1.91064, -8.00000 1.21080 -1.44316, -0.00000 1.13932 0.11929, -3.19782 1.11074 0.74384, -2.00000 1.10000 1.00000"
