Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-I-Rx,2,-61.5019,"-7.60000 1.25000 -2.30000, -5.16423 1.21194 -4.00000, -0.00000 1.13125 -0.39584, -2.00000 1.10000 1.00000"
1,-0.3664,Tx-I-I-Rx,2,-61.5019,"-7.60000 1.25000 -2.30000, -5.60640 1.22121 -1.66664, -8.00000 1.18665 -0.90621, -2.00000 1.10000 1.00000"
1,-3.6485,Tx-I-Rx,1,-61.5019,"-7.60000 1.25000 -2.30000, -4.24135 1.16004 7.61976, -2.00000 1.10000 1.00000"
1,-4.4042,Tx-I-I-Rx,2,-61.5019,"-7.60000 1.25000 -2.30000, -4.23245 0.83566 7.49021, -4.19080 0.83048 7.36913, -2.00000 1.10000 1.00000"
1,-6.4844,Tx-I-I-Rx,2,-61.5019,"-7.60000 1.25000 -2.30000, -8.00000 1.24063 -1.26641, -4.56155 1.16004 7.61976, -2.00000 1.10000 1.00000"
1,-6.8769,Tx-I-I-Rx,2,-61.5019,"-7.60000 1.25000 -2.30000, -4.62132 0.00000 0.82441, -3.22697 0.58511 2.28699, -2.00000 1.10000 1.00000"
1,-7.1209,Tx-I-I-I-Rx,3,-61.5019,"-7.60000 1.25000 -2.30000, -3.56750 1.21564 0.25867, -3.39070 1.16267 7.61976, -3.21512 1.11006 0.30848, -2.00000 1.10000 1.00000"
1,-7.2774,Tx-I-I-I-Rx,3,-61.5019,"-7.60000 1.25000 -2.30000, -8.00000 1.20694 -1.28261, -4.55137 0.83566 7.49021, -4.50377 0.83048 7.36913, -2.00000 1.10000 1.00000"
1,-8.7449,Tx-I-I-I-Rx,3,-61.5019,"-7.60000 1.25000 -2.30000, -8.00000 1.24464 -2.18202, -5.60640 1.21254 -1.47595, -8.00000 1.18045 -0.76989, -2.00000 1.10000 1.00000"
1,-9.9440,Tx-I-I-Rx,2,-61.5019,"-7.60000 1.25000 -2.30000, -4.91508 3.00000 5.99447, -4.26591 2.57689 8.00000, -2.00000 1.10000 1.00000"
1,-10.0308,Tx-I-I-I-I-Rx,4,-61.5019,"-7.60000 1.25000 -2.30000, -3.57171 2.05532 0.25123, -3.44213 3.00000 5.84277, -3.39214 2.63557 8.00000, -3.21392 1.33602 0.30780, -2.00000 1.10000 1.00000"
1,-11.2373,Tx-I-I-I-Rx,3,-61.5019,"-7.60000 1.25000 -2.30000, -8.00000 1.10315 -1.93292, -4.99579 0.00000 0.82440, -3.40225 0.58511 2.28699, -2.00000 1.10000 1.00000"
