Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-Rx,1,-58.6353,"3.90000 1.25000 -0.80000, 2.93750 1.14688 8.00000, 2.50000 1.10000 4.00000"
1,-0.6240,Tx-I-Rx,1,-58.6353,"3.90000 1.25000 -0.80000, 10.00000 1.18272 1.35292, 2.50000 1.10000 4.00000"
1,-1.4593,Tx-I-I-Rx,2,-58.6353,"3.90000 1.25000 -0.80000, 2.75430 1.16276 8.00000, 2.08588 1.11187 2.86605, 2.50000 1.10000 4.00000"
1,-6.4000,Tx-I-I-I-Rx,3,-58.6353,"3.90000 1.25000 -0.80000, 8.00000 1.18953 5.30000, 6.18531 1.16276 8.00000, 2.64306 1.11052 2.72981, 2.50000 1.10000 4.00000"
1,-6.8579,Tx-I-I-Rx,2,-58.6353,"3.90000 1.25000 -0.80000, 7.36045 1.19593 -7.00000, 8.00000 1.18594 -5.85425, 2.50000 1.10000 4.00000"
1,-8.3649,Tx-I-I-Rx,2,-58.6353,"3.90000 1.25000 -0.80000, 10.00000 0.19597 1.35294, 8.86623 0.00000 1.75309, 2.50000 1.10000 4.00000"
1,-8.7420,Tx-I-I-I-Rx,3,-58.6353,"3.90000 1.25000 -0.80000, 2.85215 0.00000 7.24839, 2.75430 0.11672 8.00000, 2.08588 0.91408 2.86605, 2.50000 1.10000 4.00000"
1,-8.8178,Tx-I-I-Rx,2,-58.6353,"3.90000 1.25000 -0.80000, 3.15532 0.00000 6.00846, 2.93750 0.36562 8.00000, 2.50000 1.10000 4.00000"
1,-12.3315,Tx-I-I-I-I-Rx,4,-58.6353,"3.90000 1.25000 -0.80000, 2.74135 1.22019 -5.79099, -0.00000 1.14966 6.01733, 0.46026 1.13782 8.00000, 1.62601 1.10782 2.97849, 2.50000 1.10000 4.00000"
1,-12.4056,Tx-I-I-Rx,2,-58.6353,"3.90000 1.25000 -0.80000, -0.00000 1.22266 0.07476, 10.00000 1.15257 2.31774, 2.50000 1.10000 4.00000"
1,-13.6617,Tx-I-I-I-Rx,3,-58.6353,"3.90000 1.25000 -0.80000, 2.95550 3.00000 6.45457, 2.75430 2.62722 8.00000, 2.08588 1.38877 2.86605, 2.50000 1.10000 4.00000"
1,-13.7155,Tx-I-I-Rx,2,-58.6353,"3.90000 1.25000 -0.80000, 10.00000 2.88712 1.35294, 9.57965 3.00000 1.50130, 2.50000 1.10000 4.00000"
