Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-Rx,1,-59.2926,"3.90000 1.25000 -0.80000, -0.00000 1.15859 2.12499, 2.50000 1.10000 4.00000"
1,-6.2434,Tx-I-Rx,1,-59.2926,"3.90000 1.25000 -0.80000, 10.00000 1.18272 1.35292, 2.50000 1.10000 4.00000"
1,-13.9844,Tx-I-I-Rx,2,-59.2926,"3.90000 1.25000 -0.80000, 10.00000 0.19597 1.35294, 8.86623 0.00000 1.75309, 2.50000 1.10000 4.00000"
1,-16.0604,Tx-I-I-I-Rx,3,-59.2926,"3.90000 1.25000 -0.80000, -0.00000 1.21493 0.89656, 3.48262 1.18362 2.41160, 8.00000 1.14591 3.12789, 2.50000 1.10000 4.00000"
1,-18.0250,Tx-I-I-Rx,2,-59.2926,"3.90000 1.25000 -0.80000, -0.00000 1.22266 0.07476, 10.00000 1.15257 2.31774, 2.50000 1.10000 4.00000"
1,-19.3332,Tx-I-I-I-Rx,3,-59.2926,"3.90000 1.25000 -0.80000, 8.00000 1.20788 -5.63012, 6.83725 1.19593 -7.00000, -0.00000 1.12569 1.05478, 2.50000 1.10000 4.00000"
1,-19.3349,Tx-I-I-Rx,2,-59.2926,"3.90000 1.25000 -0.80000, 10.00000 2.88712 1.35294, 9.57965 3.00000 1.50130, 2.50000 1.10000 4.00000"
1,-19.4414,Tx-I-I-I-I-Rx,4,-59.2926,"3.90000 1.25000 -0.80000, 8.00000 1.20973 3.25485, 3.20216 1.16261 8.00000, -0.00000 1.13116 4.83312, 2.19593 1.10959 2.66132, 2.50000 1.10000 4.00000"
1,-21.4744,Tx-I-I-I-Rx,3,-59.2926,"3.90000 1.25000 -0.80000, 2.32541 1.21310 -7.00000, -0.00000 1.15859 2.15614, 1.48412 1.12381 8.00000, 2.50000 1.10000 4.00000"
1,-22.1112,Tx-I-I-I-I-Rx,4,-59.2926,"3.90000 1.25000 -0.80000, -0.00000 0.70066 0.89656, 3.48267 0.21010 2.41161, 5.08893 0.00000 2.66631, 8.00000 0.38070 3.12789, 2.50000 1.10000 4.00000"
1,-22.1163,Tx-I-I-I-Rx,3,-59.2926,"3.90000 1.25000 -0.80000, 8.00000 2.80883 4.66664, 7.49732 3.00000 5.33689, 5.50003 2.24063 8.00000, 2.50000 1.10000 4.00000"
1,-22.2100,Tx-I-I-I-Rx,3,-59.2926,"3.90000 1.25000 -0.80000, 6.26189 1.21310 -7.00000, 8.00000 1.18594 -2.43762, 4.02382 1.12381 8.00000, 2.50000 1.10000 4.00000"
