Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 9.85000 0.10000 7.85000"
2,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 9.55000 0.10000 7.85000"
3,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 9.25000 0.10000 7.85000"
4,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 8.95000 0.10000 7.85000"
5,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 8.65000 0.10000 7.85000"
6,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 8.35000 0.10000 7.85000"
7,0.0000,Tx-Rx,0,-115.9436,"-0.15000 1.10000 4.90000, 8.05000 0.10000 7.85000"
8,0.0000,Tx-Rx,0,-112.0057,"-0.15000 1.10000 4.90000, 7.75000 0.10000 7.85000"
9,0.0000,Tx-Rx,0,-95.5765,"-0.15000 1.10000 4.90000, 7.45000 0.10000 7.85000"
10,0.0000,Tx-Rx,0,-94.2440,"-0.15000 1.10000 4.90000, 7.15000 0.10000 7.85000"
11,0.0000,Tx-Rx,0,-89.2430,"-0.15000 1.10000 4.90000, 6.85000 0.10000 7.85000"
12,0.0000,Tx-Rx,0,-84.2909,"-0.15000 1.10000 4.90000, 6.55000 0.10000 7.85000"
13,0.0000,Tx-Rx,0,-81.0095,"-0.15000 1.10000 4.90000, 6.25000 0.10000 7.85000"
14,0.0000,Tx-Rx,0,-76.9644,"-0.15000 1.10000 4.90000, 5.95000 0.10000 7.85000"
15,0.0000,Tx-Rx,0,-75.5719,"-0.15000 1.10000 4.90000, 5.65000 0.10000 7.85000"
16,0.0000,Tx-Rx,0,-75.5515,"-0.15000 1.10000 4.90000, 5.35000 0.10000 7.85000"
17,0.0000,Tx-Rx,0,-75.3580,"-0.15000 1.10000 4.90000, 5.05000 0.10000 7.85000"
18,0.0000,Tx-Rx,0,-74.3454,"-0.15000 1.10000 4.90000, 4.75000 0.10000 7.85000"
19,0.0000,Tx-Rx,0,-74.6905,"-0.15000 1.10000 4.90000, 4.45000 0.10000 7.85000"
20,0.0000,Tx-Rx,0,-74.3756,"-0.15000 1.10000 4.90000, 4.15000 0.10000 7.85000"
21,0.0000,Tx-Rx,0,-74.3440,"-0.15000 1.10000 4.90000, 3.85000 0.10000 7.85000"
22,0.0000,Tx-Rx,0,-74.6818,"-0.15000 1.10000 4.90000, 3.55000 0.10000 7.85000"
23,0.0000,Tx-Rx,0,-74.5421,"-0.15000 1.10000 4.90000, 3.25000 0.10000 7.85000"
24,0.0000,Tx-Rx,0,-74.4587,"-0.15000 1.10000 4.90000, 2.95000 0.10000 7.85000"
25,0.0000,Tx-Rx,0,-74.1899,"-0.15000 1.10000 4.90000, 2.65000 0.10000 7.85000"
26,0.0000,Tx-Rx,0,-74.7810,"-0.15000 1.10000 4.90000, 2.35000 0.10000 7.85000"
27,0.0000,Tx-Rx,0,-80.9994,"-0.15000 1.10000 4.90000, 2.05000 0.10000 7.85000"
28,0.0000,Tx-Rx,0,-82.6401,"-0.15000 1.10000 4.90000, 1.75000 0.10000 7.85000"
29,0.0000,Tx-Rx,0,-84.1195,"-0.15000 1.10000 4.90000, 1.45000 0.10000 7.85000"
30,0.0000,Tx-Rx,0,-81.8201,"-0.15000 1.10000 4.90000, 1.15000 0.10000 7.85000"
31,0.0000,Tx-Rx,0,-84.5993,"-0.15000 1.10000 4.90000, 0.85000 0.10000 7.85000"
32,0.0000,Tx-Rx,0,-79.1922,"-0.15000 1.10000 4.90000, 0.55000 0.10000 7.85000"
33,0.0000,Tx-Rx,0,-78.0001,"-0.15000 1.10000 4.90000, 0.25000 0.10000 7.85000"
34,0.0000,Tx-Rx,0,-54.3699,"-0.15000 1.10000 4.90000, -0.05000 0.10000 7.85000"
35,0.0000,Tx-Rx,0,-52.9720,"-0.15000 1.10000 4.90000, -0.35000 0.10000 7.85000"
36,0.0000,Tx-Rx,0,-53.3848,"-0.15000 1.10000 4.90000, -0.65000 0.10000 7.85000"
37,0.0000,Tx-Rx,0,-53.6342,"-0.15000 1.10000 4.90000, -0.95000 0.10000 7.85000"
38,0.0000,Tx-Rx,0,-54.0848,"-0.15000 1.10000 4.90000, -1.25000 0.10000 7.85000"
39,0.0000,Tx-Rx,0,-55.5744,"-0.15000 1.10000 4.90000, -1.55000 0.10000 7.85000"
40,0.0000,Tx-Rx,0,-54.6222,"-0.15000 1.10000 4.90000, -1.85000 0.10000 7.85000"
41,0.0000,Tx-Rx,0,-58.0185,"-0.15000 1.10000 4.90000, -2.15000 0.10000 7.85000"
42,0.0000,Tx-Rx,0,-58.6332,"-0.15000 1.10000 4.90000, -2.45000 0.10000 7.85000"
43,0.0000,Tx-Rx,0,-72.3919,"-0.15000 1.10000 4.90000, -2.75000 0.10000 7.85000"
44,0.0000,Tx-Rx,0,-81.8901,"-0.15000 1.10000 4.90000, -3.05000 0.10000 7.85000"
45,0.0000,Tx-Rx,0,-80.8976,"-0.15000 1.10000 4.90000, -3.35000 0.10000 7.85000"
46,0.0000,Tx-Rx,0,-80.0120,"-0.15000 1.10000 4.90000, -3.65000 0.10000 7.85000"
47,0.0000,Tx-Rx,0,-80.9230,"-0.15000 1.10000 4.90000, -3.95000 0.10000 7.85000"
48,0.0000,Tx-Rx,0,-81.7093,"-0.15000 1.10000 4.90000, -4.25000 0.10000 7.85000"
49,0.0000,Tx-Rx,0,-78.8177,"-0.15000 1.10000 4.90000, -4.55000 0.10000 7.85000"
50,0.0000,Tx-Rx,0,-77.0370,"-0.15000 1.10000 4.90000, -4.85000 0.10000 7.85000"
51,0.0000,Tx-Rx,0,-78.3617,"-0.15000 1.10000 4.90000, -5.15000 0.10000 7.85000"
52,0.0000,Tx-Rx,0,-74.6496,"-0.15000 1.10000 4.90000, -5.45000 0.10000 7.85000"
53,0.0000,Tx-Rx,0,-67.7255,"-0.15000 1.10000 4.90000, -5.75000 0.10000 7.85000"
54,0.0000,Tx-Rx,0,-67.5174,"-0.15000 1.10000 4.90000, -6.05000 0.10000 7.85000"
55,0.0000,Tx-Rx,0,-67.4281,"-0.15000 1.10000 4.90000, -6.35000 0.10000 7.85000"
56,0.0000,Tx-Rx,0,-67.5359,"-0.15000 1.10000 4.90000, -6.65000 0.10000 7.85000"
57,0.0000,Tx-Rx,0,-67.1124,"-0.15000 1.10000 4.90000, -6.95000 0.10000 7.85000"
58,0.0000,Tx-Rx,0,-66.8842,"-0.15000 1.10000 4.90000, -7.25000 0.10000 7.85000"
59,0.0000,Tx-Rx,0,-66.3183,"-0.15000 1.10000 4.90000, -7.55000 0.10000 7.85000"
60,0.0000,Tx-Rx,0,-63.8842,"-0.15000 1.10000 4.90000, -7.85000 0.10000 7.85000"
61,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 9.85000 0.10000 7.55000"
62,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 9.55000 0.10000 7.55000"
63,0.0000,Tx-Rx,0,-102.3146,"-0.15000 1.10000 4.90000, 9.25000 0.10000 7.55000"
64,0.0000,Tx-Rx,0,-102.4183,"-0.15000 1.10000 4.90000, 8.95000 0.10000 7.55000"
65,0.0000,Tx-Rx,0,-120.0000,"-0.15000 1.10000 4.90000, 8.65000 0.10000 7.55000"
