Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-Rx,1,-68.8912,"7.00000 0.80000 7.50000, 8.00000 0.81782 5.90981, 3.38900 0.90000 -1.42300"
1,-4.0926,Tx-I-Rx,1,-68.8912,"7.00000 0.80000 7.50000, -0.00000 0.86738 1.48779, 3.38900 0.90000 -1.42300"
1,-6.3956,Tx-I-I-Rx,2,-68.8912,"7.00000 0.80000 7.50000, 7.22692 0.80504 8.00000, 7.44637 0.80991 7.51664, 3.38900 0.90000 -1.42300"
1,-12.1296,Tx-I-I-Rx,2,-68.8912,"7.00000 0.80000 7.50000, 8.00000 0.80807 6.77980, -0.00000 0.87264 1.01789, 3.38900 0.90000 -1.42300"
1,-13.0822,Tx-I-I-Rx,2,-68.8912,"7.00000 0.80000 7.50000, 5.30074 0.00000 -1.94779, 4.39207 0.42777 -7.00000, 3.38900 0.90000 -1.42300"
1,-9.8088,Tx-I-I-Rx,2,-68.8912,"7.00000 0.80000 7.50000, 2.11115 0.00000 3.30102, -0.00000 0.34544 1.48779, 3.38900 0.90000 -1.42300"
1,-6.3894,Tx-I-I-Rx,2,-68.8912,"7.00000 0.80000 7.50000, 7.22588 0.80504 8.00000, 7.44637 0.80996 7.51211, 3.38900 0.90000 -1.42300"
1,-7.4014,Tx-I-Rx,1,-68.8912,"7.00000 0.80000 7.50000, 4.28220 0.87526 -5.79099, 3.38900 0.90000 -1.42300"
1,-9.9979,Tx-I-I-Rx,2,-68.8912,"7.00000 0.80000 7.50000, 8.00000 0.81782 4.35294, 4.77690 0.87526 -5.79099, 3.38900 0.90000 -1.42300"
1,-9.0690,Tx-I-I-Rx,2,-68.8912,"7.00000 0.80000 7.50000, 8.00000 0.79470 6.26738, 2.97323 0.76808 0.07093, 3.38900 0.90000 -1.42300"
2,-5.3706,Tx-I-I-I-Rx,3,-69.0911,"7.00000 0.80000 7.50000, -0.00000 0.19245 4.38878, 2.21698 0.00000 3.40342, 8.51289 0.54642 0.60516, 4.50700 0.90000 -1.35100"
2,-13.9482,Tx-I-I-I-Rx,3,-69.0911,"7.00000 0.80000 7.50000, 8.00000 1.75700 3.01562, 6.70127 3.00000 -2.80870, 5.76667 2.10556 -7.00000, 4.50700 0.90000 -1.35100"
2,-13.6056,Tx-I-I-Rx,2,-69.0911,"7.00000 0.80000 7.50000, 1.11272 3.00000 2.97160, -0.00000 2.58421 2.11573, 4.50700 0.90000 -1.35100"
2,-5.5913,Tx-I-I-Rx,2,-69.0911,"7.00000 0.80000 7.50000, 8.00000 0.80740 6.84474, -0.00000 0.86663 1.60240, 4.50700 0.90000 -1.35100"
2,-10.5547,Tx-I-I-Rx,2,-69.0911,"7.00000 0.80000 7.50000, -0.00000 0.83112 4.74551, 10.00000 0.87558 0.81051, 4.50700 0.90000 -1.35100"
2,-11.4893,Tx-I-I-I-Rx,3,-69.0911,"7.00000 0.80000 7.50000, 8.00000 0.80740 6.00833, -0.00000 0.86663 -5.92569, 0.72013 0.87196 -7.00000, 4.50700 0.90000 -1.35100"
2,-5.7058,Tx-I-I-Rx,2,-69.0911,"7.00000 0.80000 7.50000, 5.82685 0.00000 -1.98167, 5.20595 0.42338 -7.00000, 4.50700 0.90000 -1.35100"
2,-12.0668,Tx-I-I-I-Rx,3,-69.0911,"7.00000 0.80000 7.50000, 7.10621 0.80236 8.00000, 8.00000 0.82226 3.79310, 5.70711 0.87329 -7.00000, 4.50700 0.90000 -1.35100"
2,-7.4835,Tx-I-I-I-Rx,3,-69.0911,"7.00000 0.80000 7.50000, 8.00000 0.42166 3.01561, 6.88570 0.00000 -1.98163, 5.76667 0.42338 -7.00000, 4.50700 0.90000 -1.35100"
2,-3.7604,Tx-I-I-Rx,2,-69.0911,"7.00000 0.80000 7.50000, 8.00000 0.82226 3.01565, 5.76667 0.87196 -7.00000, 4.50700 0.90000 -1.35100"
2,-12.2202,Tx-I-I-Rx,2,-69.0911,"7.00000 0.80000 7.50000, 5.72452 3.00000 -1.57159, 5.13127 1.97676 -5.79099, 4.50700 0.90000 -1.35100"
2,-14.0464,Tx-I-I-I-Rx,3,-69.0911,"7.00000 0.80000 7.50000, 6.94107 0.75981 8.00000, 5.82685 0.00000 -1.45221, 5.17290 0.44592 -7.00000, 4.50700 0.90000 -1.35100"
2,0.0000,Tx-I-Rx,1,-69.0911,"7.00000 0.80000 7.50000, 5.13127 0.87496 -5.79099, 4.50700 0.90000 -1.35100"
2,-5.3705,Tx-I-I-I-Rx,3,-69.0911,"7.00000 0.80000 7.50000, -0.00000 0.19244 4.38855, 2.21687 0.00000 3.40316, 8.51290 0.54644 0.60464, 4.50700 0.90000 -1.35100"
