Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
1,-33.8569,Tx-Rx,2,"5.41700 0.80000 5.73300, 3.38900 0.90000 -1.42300"
1,-67.4369,Tx-I-Rx,3,"5.41700 0.80000 5.73300, 4.37943 3.00000 2.07182, 3.38900 0.90000 -1.42300"
1,-79.3189,Tx-I-Rx,3,"5.41700 0.80000 5.73300, 4.91701 3.00000 8.00000, 3.38900 0.90000 -1.42300"
1,-97.6444,Tx-I-Rx,3,"5.41700 0.80000 5.73300, 3.24594 3.00000 8.00000, 3.38900 0.90000 -1.42300"
1,-95.2367,Tx-I-Rx,3,"5.41700 0.80000 5.73300, 7.19062 3.00000 8.00000, 3.38900 0.90000 -1.42300"
1,-94.6961,Tx-I-Rx,3,"5.41700 0.80000 5.73300, 5.11818 3.00000 8.00000, 3.38900 0.90000 -1.42300"
1,-93.5700,Tx-I-Rx,3,"5.41700 0.80000 5.73300, 4.91949 3.00000 8.00000, 3.38900 0.90000 -1.42300"
2,-33.5047,Tx-Rx,2,"5.41700 0.80000 5.73300, 4.50700 0.90000 -1.35100"
2,-65.1460,Tx-I-Rx,3,"5.41700 0.80000 5.73300, 4.95142 3.00000 2.10866, 4.50700 0.90000 -1.35100"
2,-79.1756,Tx-I-Rx,3,"5.41700 0.80000 5.73300, 5.19141 3.00000 8.00000, 4.50700 0.90000 -1.35100"
3,-30.6848,Tx-Rx,2,"5.41700 0.80000 5.73300, 3.37800 0.90000 0.99100"
3,-54.2145,Tx-I-Rx,3,"5.41700 0.80000 5.73300, 4.37380 3.00000 3.30688, 3.37800 0.90000 0.99100"
3,-77.3510,Tx-I-Rx,3,"5.41700 0.80000 5.73300, 4.80214 3.00000 8.00000, 3.37800 0.90000 0.99100"
4,-29.9843,Tx-Rx,2,"5.41700 0.80000 5.73300, 4.48700 0.90000 1.06300"
4,-51.7276,Tx-I-Rx,3,"5.41700 0.80000 5.73300, 4.94119 3.00000 3.34372, 4.48700 0.90000 1.06300"
4,-77.1647,Tx-I-Rx,3,"5.41700 0.80000 5.73300, 5.13470 3.00000 8.00000, 4.48700 0.90000 1.06300"
5,-37.6940,Tx-Rx,2,"5.41700 0.80000 5.73300, 3.21600 1.56600 -5.60000"
5,-53.0311,Tx-I-Rx,3,"5.41700 0.80000 5.73300, 4.08454 3.00000 -1.12788, 3.21600 1.56600 -5.60000"
6,-32.3538,Tx-Rx,2,"5.41700 0.80000 5.73300, 8.89600 0.80000 0.53300"
6,-59.5846,Tx-I-Rx,3,"5.41700 0.80000 5.73300, 7.15648 3.00000 3.13302, 8.89600 0.80000 0.53300"
