Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-47.2686,"6.00000 0.90000 5.60000, 3.00000 1.10000 3.00000"
1,-1.3698,Tx-I-Rx,1,-47.2686,"6.00000 0.90000 5.60000, 5.59841 0.92654 6.07561, 3.00000 1.10000 3.00000"
1,-13.1167,Tx-I-Rx,1,-47.2686,"6.00000 0.90000 5.60000, 8.00000 0.95714 4.85716, 3.00000 1.10000 3.00000"
1,-14.5843,Tx-I-Rx,1,-47.2686,"6.00000 0.90000 5.60000, 4.42502 3.00000 4.23501, 3.00000 1.10000 3.00000"
1,-15.1236,Tx-I-I-Rx,2,-47.2686,"6.00000 0.90000 5.60000, 5.14376 0.76698 7.71205, 5.02705 0.78511 8.00000, 3.00000 1.10000 3.00000"
1,-15.2521,Tx-I-Rx,1,-47.2686,"6.00000 0.90000 5.60000, -0.00000 1.03333 3.86667, 3.00000 1.10000 3.00000"
2,0.0000,Tx-Rx,0,-48.3678,"6.00000 0.90000 5.60000, 2.50000 1.10000 6.50000"
2,-9.3156,Tx-I-Rx,1,-48.3678,"6.00000 0.90000 5.60000, 3.84618 1.02308 8.00000, 2.50000 1.10000 6.50000"
2,-14.4367,Tx-I-Rx,1,-48.3678,"6.00000 0.90000 5.60000, 4.16252 3.00000 6.07250, 2.50000 1.10000 6.50000"
2,-15.5068,Tx-I-Rx,1,-48.3678,"6.00000 0.90000 5.60000, -0.00000 1.04118 6.23529, 2.50000 1.10000 6.50000"
2,-18.4743,Tx-I-I-Rx,2,-48.3678,"6.00000 0.90000 5.60000, 8.00000 0.95333 6.63997, 5.38467 1.02308 8.00000, 2.50000 1.10000 6.50000"
2,-19.1558,Tx-I-I-Rx,2,-48.3678,"6.00000 0.90000 5.60000, 0.76928 1.02308 8.00000, -0.00000 1.04118 7.64707, 2.50000 1.10000 6.50000"
