Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
150,0.0000,Tx-I-Rx,1,-270.0000,"-0.00000 10.00000 -0.00000, -35.89874 60.00000 -29.37787, -50.00000 1.50000 55.00000"
212,0.0000,Tx-I-Rx,1,-270.0000,"-0.00000 10.00000 -0.00000, -35.89074 60.00000 -29.38038, -50.00000 1.50000 45.00000"
242,0.0000,Tx-I-Rx,1,-270.0000,"-0.00000 10.00000 -0.00000, -33.75719 60.00000 -30.04925, -45.00000 1.50000 40.00000"
243,0.0000,Tx-I-Rx,1,-270.0000,"-0.00000 10.00000 -0.00000, -35.86011 60.00000 -29.38998, -50.00000 1.50000 40.00000"
273,0.0000,Tx-I-Rx,1,-270.0000,"-0.00000 10.00000 -0.00000, -33.66168 60.00000 -30.07920, -45.00000 1.50000 35.00000"
274,0.0000,Tx-I-Rx,1,-270.0000,"-0.00000 10.00000 -0.00000, -35.80695 60.00000 -29.40664, -50.00000 1.50000 35.00000"
303,0.0000,Tx-I-Rx,1,-270.0000,"-0.00000 10.00000 -0.00000, -31.38248 60.00000 -30.79373, -40.00000 1.50000 30.00000"
304,0.0000,Tx-I-Rx,1,-270.0000,"-0.00000 10.00000 -0.00000, -33.54049 60.00000 -30.11719, -45.00000 1.50000 30.00000"
305,0.0000,Tx-I-Rx,1,-270.0000,"-0.00000 10.00000 -0.00000, -35.72700 60.00000 -29.43171, -50.00000 1.50000 30.00000"
332,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, -30.00000 1.50000 25.00000"
334,0.0000,Tx-I-Rx,1,-69.5572,"-0.00000 10.00000 -0.00000, -31.19114 60.00000 -30.85372, -40.00000 1.50000 25.00000"
335,0.0000,Tx-I-Rx,1,-270.0000,"-0.00000 10.00000 -0.00000, -33.38938 60.00000 -30.16456, -45.00000 1.50000 25.00000"
336,0.0000,Tx-I-Rx,1,-270.0000,"-0.00000 10.00000 -0.00000, -35.61539 60.00000 -29.46670, -50.00000 1.50000 25.00000"
347,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 50.00000 1.50000 20.00000"
361,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, -20.00000 1.50000 20.00000"
362,0.0000,Tx-Rx,0,-58.7526,"-0.00000 10.00000 -0.00000, -25.00000 1.50000 20.00000"
365,0.0000,Tx-I-Rx,1,-270.0000,"-0.00000 10.00000 -0.00000, -30.96717 60.00000 -30.92393, -40.00000 1.50000 20.00000"
366,0.0000,Tx-I-Rx,1,-270.0000,"-0.00000 10.00000 -0.00000, -33.20358 60.00000 -30.22281, -45.00000 1.50000 20.00000"
367,0.0000,Tx-I-Rx,1,-270.0000,"-0.00000 10.00000 -0.00000, -35.46676 60.00000 -29.51330, -50.00000 1.50000 20.00000"
379,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 45.00000 1.50000 15.00000"
380,0.0000,Tx-Rx,0,-73.5041,"-0.00000 10.00000 -0.00000, 40.00000 1.50000 15.00000"
389,0.0000,Tx-Rx,0,-62.8914,"-0.00000 10.00000 -0.00000, -5.00000 1.50000 15.00000"
390,0.0000,Tx-Rx,0,-62.3824,"-0.00000 10.00000 -0.00000, -10.00000 1.50000 15.00000"
391,0.0000,Tx-Rx,0,-83.6236,"-0.00000 10.00000 -0.00000, -15.00000 1.50000 15.00000"
392,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, -20.00000 1.50000 15.00000"
410,0.0000,Tx-Rx,0,-71.9272,"-0.00000 10.00000 -0.00000, 45.00000 1.50000 10.00000"
411,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 40.00000 1.50000 10.00000"
412,0.0000,Tx-Rx,0,-59.7573,"-0.00000 10.00000 -0.00000, 35.00000 1.50000 10.00000"
413,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 30.00000 1.50000 10.00000"
414,0.0000,Tx-Rx,0,-61.0493,"-0.00000 10.00000 -0.00000, 25.00000 1.50000 10.00000"
417,0.0000,Tx-Rx,0,-63.2777,"-0.00000 10.00000 -0.00000, 10.00000 1.50000 10.00000"
418,0.0000,Tx-Rx,0,-59.2129,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 10.00000"
419,0.0000,Tx-Rx,0,-59.3483,"-0.00000 10.00000 -0.00000, -0.00000 1.50000 10.00000"
420,0.0000,Tx-Rx,0,-57.9221,"-0.00000 10.00000 -0.00000, -5.00000 1.50000 10.00000"
421,0.0000,Tx-Rx,0,-58.9449,"-0.00000 10.00000 -0.00000, -10.00000 1.50000 10.00000"
422,0.0000,Tx-Rx,0,-62.4865,"-0.00000 10.00000 -0.00000, -15.00000 1.50000 10.00000"
423,0.0000,Tx-Rx,0,-61.7679,"-0.00000 10.00000 -0.00000, -20.00000 1.50000 10.00000"
442,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 40.00000 1.50000 5.00000"
443,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 35.00000 1.50000 5.00000"
444,0.0000,Tx-Rx,0,-60.5572,"-0.00000 10.00000 -0.00000, 30.00000 1.50000 5.00000"
445,0.0000,Tx-Rx,0,-93.6022,"-0.00000 10.00000 -0.00000, 25.00000 1.50000 5.00000"
446,0.0000,Tx-Rx,0,-82.8884,"-0.00000 10.00000 -0.00000, 20.00000 1.50000 5.00000"
447,0.0000,Tx-Rx,0,-57.5390,"-0.00000 10.00000 -0.00000, 15.00000 1.50000 5.00000"
448,0.0000,Tx-Rx,0,-60.8341,"-0.00000 10.00000 -0.00000, 10.00000 1.50000 5.00000"
449,0.0000,Tx-Rx,0,-56.6443,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 5.00000"
450,0.0000,Tx-Rx,0,-56.7955,"-0.00000 10.00000 -0.00000, -0.00000 1.50000 5.00000"
451,0.0000,Tx-Rx,0,-56.5347,"-0.00000 10.00000 -0.00000, -5.00000 1.50000 5.00000"
452,0.0000,Tx-Rx,0,-59.6198,"-0.00000 10.00000 -0.00000, -10.00000 1.50000 5.00000"
453,0.0000,Tx-Rx,0,-59.9544,"-0.00000 10.00000 -0.00000, -15.00000 1.50000 5.00000"
454,0.0000,Tx-Rx,0,-63.3052,"-0.00000 10.00000 -0.00000, -20.00000 1.50000 5.00000"
455,0.0000,Tx-Rx,0,-75.1558,"-0.00000 10.00000 -0.00000, -25.00000 1.50000 5.00000"
473,0.0000,Tx-Rx,0,-60.0405,"-0.00000 10.00000 -0.00000, 40.00000 1.50000 -0.00000"
474,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 35.00000 1.50000 -0.00000"
475,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 30.00000 1.50000 -0.00000"
476,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 25.00000 1.50000 -0.00000"
477,0.0000,Tx-Rx,0,-82.0947,"-0.00000 10.00000 -0.00000, 20.00000 1.50000 -0.00000"
478,0.0000,Tx-Rx,0,-57.8245,"-0.00000 10.00000 -0.00000, 15.00000 1.50000 -0.00000"
479,0.0000,Tx-Rx,0,-58.0846,"-0.00000 10.00000 -0.00000, 10.00000 1.50000 -0.00000"
480,0.0000,Tx-Rx,0,-55.4212,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 -0.00000"
481,0.0000,Tx-Rx,0,-55.1080,"-0.00000 10.00000 -0.00000, -0.00000 1.50000 -0.00000"
482,0.0000,Tx-Rx,0,-56.8004,"-0.00000 10.00000 -0.00000, -5.00000 1.50000 -0.00000"
483,0.0000,Tx-Rx,0,-56.9212,"-0.00000 10.00000 -0.00000, -10.00000 1.50000 -0.00000"
484,0.0000,Tx-Rx,0,-77.6834,"-0.00000 10.00000 -0.00000, -15.00000 1.50000 -0.00000"
485,0.0000,Tx-Rx,0,-62.1852,"-0.00000 10.00000 -0.00000, -20.00000 1.50000 -0.00000"
486,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, -25.00000 1.50000 -0.00000"
504,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 40.00000 1.50000 -5.00000"
505,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 35.00000 1.50000 -5.00000"
506,0.0000,Tx-Rx,0,-85.0505,"-0.00000 10.00000 -0.00000, 30.00000 1.50000 -5.00000"
507,0.0000,Tx-Rx,0,-76.7917,"-0.00000 10.00000 -0.00000, 25.00000 1.50000 -5.00000"
508,0.0000,Tx-Rx,0,-62.0371,"-0.00000 10.00000 -0.00000, 20.00000 1.50000 -5.00000"
509,0.0000,Tx-Rx,0,-62.8841,"-0.00000 10.00000 -0.00000, 15.00000 1.50000 -5.00000"
510,0.0000,Tx-Rx,0,-63.3518,"-0.00000 10.00000 -0.00000, 10.00000 1.50000 -5.00000"
511,0.0000,Tx-Rx,0,-56.9853,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 -5.00000"
512,0.0000,Tx-Rx,0,-57.0614,"-0.00000 10.00000 -0.00000, -0.00000 1.50000 -5.00000"
513,0.0000,Tx-Rx,0,-57.0013,"-0.00000 10.00000 -0.00000, -5.00000 1.50000 -5.00000"
514,0.0000,Tx-Rx,0,-57.5579,"-0.00000 10.00000 -0.00000, -10.00000 1.50000 -5.00000"
515,0.0000,Tx-Rx,0,-62.8957,"-0.00000 10.00000 -0.00000, -15.00000 1.50000 -5.00000"
516,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, -20.00000 1.50000 -5.00000"
517,0.0000,Tx-Rx,0,-85.5372,"-0.00000 10.00000 -0.00000, -25.00000 1.50000 -5.00000"
532,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 55.00000 1.50000 -10.00000"
533,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 50.00000 1.50000 -10.00000"
534,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 45.00000 1.50000 -10.00000"
535,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 40.00000 1.50000 -10.00000"
536,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 35.00000 1.50000 -10.00000"
537,0.0000,Tx-Rx,0,-83.0967,"-0.00000 10.00000 -0.00000, 30.00000 1.50000 -10.00000"
538,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 25.00000 1.50000 -10.00000"
539,0.0000,Tx-Rx,0,-85.6267,"-0.00000 10.00000 -0.00000, 20.00000 1.50000 -10.00000"
540,0.0000,Tx-Rx,0,-62.5584,"-0.00000 10.00000 -0.00000, 15.00000 1.50000 -10.00000"
541,0.0000,Tx-Rx,0,-60.1867,"-0.00000 10.00000 -0.00000, 10.00000 1.50000 -10.00000"
542,0.0000,Tx-Rx,0,-57.3629,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 -10.00000"
543,0.0000,Tx-Rx,0,-59.3775,"-0.00000 10.00000 -0.00000, -0.00000 1.50000 -10.00000"
544,0.0000,Tx-Rx,0,-60.9238,"-0.00000 10.00000 -0.00000, -5.00000 1.50000 -10.00000"
545,0.0000,Tx-Rx,0,-63.0380,"-0.00000 10.00000 -0.00000, -10.00000 1.50000 -10.00000"
546,0.0000,Tx-Rx,0,-62.4926,"-0.00000 10.00000 -0.00000, -15.00000 1.50000 -10.00000"
547,0.0000,Tx-Rx,0,-61.7756,"-0.00000 10.00000 -0.00000, -20.00000 1.50000 -10.00000"
548,0.0000,Tx-Rx,0,-57.0863,"-0.00000 10.00000 -0.00000, -25.00000 1.50000 -10.00000"
561,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 65.00000 1.50000 -15.00000"
562,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 60.00000 1.50000 -15.00000"
563,0.0000,Tx-Rx,0,-56.5794,"-0.00000 10.00000 -0.00000, 55.00000 1.50000 -15.00000"
564,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 50.00000 1.50000 -15.00000"
565,0.0000,Tx-Rx,0,-71.3995,"-0.00000 10.00000 -0.00000, 45.00000 1.50000 -15.00000"
566,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 40.00000 1.50000 -15.00000"
567,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 35.00000 1.50000 -15.00000"
568,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 30.00000 1.50000 -15.00000"
569,0.0000,Tx-Rx,0,-72.6440,"-0.00000 10.00000 -0.00000, 25.00000 1.50000 -15.00000"
570,0.0000,Tx-Rx,0,-61.3408,"-0.00000 10.00000 -0.00000, 20.00000 1.50000 -15.00000"
571,0.0000,Tx-Rx,0,-61.9648,"-0.00000 10.00000 -0.00000, 15.00000 1.50000 -15.00000"
572,0.0000,Tx-Rx,0,-58.5525,"-0.00000 10.00000 -0.00000, 10.00000 1.50000 -15.00000"
573,0.0000,Tx-Rx,0,-54.0801,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 -15.00000"
574,0.0000,Tx-Rx,0,-62.8771,"-0.00000 10.00000 -0.00000, -0.00000 1.50000 -15.00000"
575,0.0000,Tx-Rx,0,-59.9485,"-0.00000 10.00000 -0.00000, -5.00000 1.50000 -15.00000"
576,0.0000,Tx-Rx,0,-62.4802,"-0.00000 10.00000 -0.00000, -10.00000 1.50000 -15.00000"
577,0.0000,Tx-Rx,0,-83.6817,"-0.00000 10.00000 -0.00000, -15.00000 1.50000 -15.00000"
578,0.0000,Tx-Rx,0,-56.1130,"-0.00000 10.00000 -0.00000, -20.00000 1.50000 -15.00000"
590,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 75.00000 1.50000 -20.00000"
591,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 70.00000 1.50000 -20.00000"
592,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 65.00000 1.50000 -20.00000"
593,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 60.00000 1.50000 -20.00000"
594,0.0000,Tx-Rx,0,-67.9531,"-0.00000 10.00000 -0.00000, 55.00000 1.50000 -20.00000"
595,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 50.00000 1.50000 -20.00000"
596,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 45.00000 1.50000 -20.00000"
597,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 40.00000 1.50000 -20.00000"
598,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 35.00000 1.50000 -20.00000"
602,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 15.00000 1.50000 -20.00000"
603,0.0000,Tx-Rx,0,-61.7081,"-0.00000 10.00000 -0.00000, 10.00000 1.50000 -20.00000"
604,0.0000,Tx-Rx,0,-62.0720,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 -20.00000"
606,0.0000,Tx-Rx,0,-87.2557,"-0.00000 10.00000 -0.00000, -5.00000 1.50000 -20.00000"
607,0.0000,Tx-Rx,0,-61.7435,"-0.00000 10.00000 -0.00000, -10.00000 1.50000 -20.00000"
608,0.0000,Tx-Rx,0,-61.9791,"-0.00000 10.00000 -0.00000, -15.00000 1.50000 -20.00000"
609,0.0000,Tx-Rx,0,-60.8569,"-0.00000 10.00000 -0.00000, -20.00000 1.50000 -20.00000"
621,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 75.00000 1.50000 -25.00000"
622,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 70.00000 1.50000 -25.00000"
623,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 65.00000 1.50000 -25.00000"
624,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 60.00000 1.50000 -25.00000"
625,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 55.00000 1.50000 -25.00000"
626,0.0000,Tx-Rx,0,-57.2814,"-0.00000 10.00000 -0.00000, 50.00000 1.50000 -25.00000"
627,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 45.00000 1.50000 -25.00000"
634,0.0000,Tx-Rx,0,-94.1354,"-0.00000 10.00000 -0.00000, 10.00000 1.50000 -25.00000"
635,0.0000,Tx-Rx,0,-56.6484,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 -25.00000"
652,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 75.00000 1.50000 -30.00000"
653,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 70.00000 1.50000 -30.00000"
654,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 65.00000 1.50000 -30.00000"
655,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 60.00000 1.50000 -30.00000"
665,0.0000,Tx-Rx,0,-83.0222,"-0.00000 10.00000 -0.00000, 10.00000 1.50000 -30.00000"
666,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 -30.00000"
683,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 75.00000 1.50000 -35.00000"
684,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 70.00000 1.50000 -35.00000"
696,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 10.00000 1.50000 -35.00000"
697,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 -35.00000"
728,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 -40.00000"
759,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 -45.00000"
790,0.0000,Tx-Rx,0,-65.6229,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 -50.00000"
821,0.0000,Tx-Rx,0,-58.0830,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 -55.00000"
852,0.0000,Tx-Rx,0,-270.0000,"-0.00000 10.00000 -0.00000, 5.00000 1.50000 -60.00000"
