Rx_Number,Path_Power,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
1,-38.7978,Tx-R-R-Rx,4,"-2.48996 0.30000 4.85594, -5.65853 0.71850 6.78889, -4.64635 0.85219 7.40635, 0.25833 1.50000 4.41431"
1,-39.9718,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.71154 0.28298 4.99028, -5.65853 0.68761 6.78833, -4.64559 0.82668 7.40635, 0.25833 1.50000 4.41431"
1,-40.1192,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -0.72691 3.02001 4.57263, 0.25833 1.50000 4.41431"
1,-40.6157,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -5.34440 0.89244 4.70538, 0.25833 1.50000 4.41431"
1,-40.6897,Tx-R-Rx,3,"-2.48996 0.30000 4.85594, -5.39468 0.70731 4.70604, 0.25833 1.50000 4.41431"
1,-42.4543,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.71154 0.28298 4.84483, -5.48989 0.67954 4.70455, 0.25833 1.50000 4.41431"
1,-42.9267,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.71154 0.28298 4.84448, -5.34644 0.85020 4.70542, 0.25833 1.50000 4.41431"
1,-46.5561,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.39468 0.70277 4.70607, 0.25833 1.50000 4.41431"
1,-46.8037,Tx-R-R-D-Rx,5,"-2.48996 0.30000 4.85594, -5.65853 0.55314 6.75323, -4.56779 0.64028 7.40635, -1.45557 0.88892 5.54281, 0.25833 1.50000 4.41431"
1,-46.9995,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34309 0.91963 4.70516, 0.25833 1.50000 4.41431"
1,-47.1244,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -2.27939 0.50857 4.83887, -0.69848 3.02001 4.57438, 0.25833 1.50000 4.41431"
1,-47.1528,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -5.28096 0.37212 6.54036, -5.65853 0.43978 6.77179, -4.62323 0.62529 7.40635, 0.25833 1.50000 4.41431"
1,-47.2741,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.93748 0.28298 5.12611, -5.28096 0.37212 6.54082, -5.65853 0.43978 6.77222, -4.62381 0.62519 7.40635, 0.25833 1.50000 4.41431"
1,-47.3429,Tx-D-Rx,3,"-2.48996 0.30000 4.85594, -5.34616 0.92337 4.70507, 0.25833 1.50000 4.41431"
1,-48.0135,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30877 0.28993 4.96217, -2.71154 0.28298 5.19638, -5.65853 0.68761 6.92591, -4.83989 0.80001 7.40635, 0.25833 1.50000 4.41431"
1,-50.2574,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30556 0.40252 5.00081, -5.65853 0.79949 6.95316, -4.88021 0.89164 7.40635, 0.25833 1.50000 4.41431"
1,-50.332,Tx-D-R-Rx,4,"-2.48996 0.30000 4.85594, -5.28096 0.37212 4.71669, -5.48989 0.41168 4.70609, 0.25833 1.50000 4.41431"
1,-50.4525,Tx-R-D-R-Rx,5,"-2.48996 0.30000 4.85594, -2.93748 0.28298 4.83361, -5.28096 0.37212 4.71666, -5.48989 0.41168 4.70605, 0.25833 1.50000 4.41431"
1,-51.3226,Tx-D-R-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30847 0.30597 4.96231, -5.65853 0.73762 6.92749, -4.84221 0.84281 7.40635, 0.25833 1.50000 4.41431"
1,-51.5732,Tx-R-D-R-R-Rx,6,"-2.48996 0.30000 4.85594, -2.30938 0.25821 4.96184, -2.97029 0.13187 5.34367, -5.65853 0.55927 6.92277, -4.83528 0.69016 7.40635, 0.25833 1.50000 4.41431"
1,-51.6453,Tx-R-D-R-Rx,5,"-2.48996 0.30000 4.85594, -2.30861 0.28993 4.84775, -2.71154 0.28298 4.82838, -5.48989 0.67954 4.69345, 0.25833 1.50000 4.41431"
