Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-Rx,1,-77.4672,"-3.50000 0.50000 5.00000, -5.27848 3.00000 0.82096, -6.55900 0.90000 -2.18800"
1,-7.3730,Tx-I-I-I-I-Rx,4,-77.4672,"-3.50000 0.50000 5.00000, -2.69338 0.45730 4.60946, -0.00000 0.59976 3.30543, -8.00000 1.02298 -0.56789, -5.60640 1.14960 -1.72678, -6.55900 0.90000 -2.18800"
1,-5.3653,Tx-I-I-I-Rx,3,-77.4672,"-3.50000 0.50000 5.00000, -0.10228 1.96961 1.33198, -2.45277 3.00000 -1.26870, -4.92130 1.91791 -4.00000, -6.55900 0.90000 -2.18800"
2,0.0000,Tx-I-Rx,1,-76.1268,"-3.50000 0.50000 5.00000, -0.00000 0.73651 2.57140, -6.85900 0.90000 -2.18800"
2,-9.3688,Tx-I-I-I-I-Rx,4,-76.1268,"-3.50000 0.50000 5.00000, -2.54184 0.45730 4.11319, -0.10550 0.56578 1.85827, -6.28153 0.84403 -4.00000, -7.49173 0.89854 -2.85213, -6.85900 0.90000 -2.18800"
2,-2.1703,Tx-I-I-Rx,2,-76.1268,"-3.50000 0.50000 5.00000, -2.93720 0.45730 4.60948, -0.00000 0.67996 2.57140, -6.85900 0.90000 -2.18800"
3,0.0000,Tx-I-Rx,1,-76.5886,"-3.50000 0.50000 5.00000, -0.00000 0.72985 2.63976, -7.15900 0.90000 -2.18800"
3,-2.4630,Tx-I-I-I-I-Rx,4,-76.5886,"-3.50000 0.50000 5.00000, -2.73279 0.45730 4.27240, -0.10503 0.60343 1.78033, -6.05238 0.93814 -4.00000, -7.51700 1.02055 -2.57658, -7.15900 0.90000 -2.18800"
4,0.0000,Tx-I-Rx,1,-76.1783,"-3.50000 0.50000 5.00000, -0.00000 0.72356 2.70437, -7.45900 0.90000 -2.18800"
5,-0.1564,Tx-I-I-Rx,2,-80.7957,"-3.50000 0.50000 5.00000, -0.10474 0.71332 1.73390, -5.92096 1.08313 -4.00000, -7.75900 0.90000 -2.18800"
5,0.0000,Tx-I-Rx,1,-80.7957,"-3.50000 0.50000 5.00000, -0.00000 0.71760 2.76554, -7.75900 0.90000 -2.18800"
6,-8.2458,Tx-I-Rx,1,-77.9934,"-3.50000 0.50000 5.00000, -8.00000 3.00000 -0.32503, -8.05900 0.90000 -2.18800"
6,0.0000,Tx-I-Rx,1,-77.9934,"-3.50000 0.50000 5.00000, -8.00000 0.83928 3.03305, -8.05900 0.90000 -2.18800"
7,-5.6094,Tx-I-I-I-Rx,3,-79.0085,"-3.50000 0.50000 5.00000, -0.10290 1.96989 1.43384, -2.45277 3.00000 -1.09428, -5.15359 1.81608 -4.00000, -6.55900 0.90000 -2.48800"
7,-1.6617,Tx-I-Rx,1,-79.0085,"-3.50000 0.50000 5.00000, -5.27848 3.00000 0.64654, -6.55900 0.90000 -2.48800"
7,-9.8461,Tx-I-I-I-I-I-Rx,5,-79.0085,"-3.50000 0.50000 5.00000, -2.53231 0.45730 4.59937, -0.00000 0.56895 3.55100, -2.51374 0.67980 2.51031, -0.10339 0.78609 1.51242, -8.00000 1.13612 -1.87064, -6.55900 0.90000 -2.48800"
7,0.0000,Tx-I-I-Rx,2,-79.0085,"-3.50000 0.50000 5.00000, -4.49260 0.61695 6.87899, -8.00000 1.03021 0.23977, -6.55900 0.90000 -2.48800"
7,-7.3575,Tx-I-I-I-I-Rx,4,-79.0085,"-3.50000 0.50000 5.00000, -2.69338 0.45730 4.59316, -0.00000 0.59976 3.23470, -8.00000 1.02298 -0.80028, -5.60640 1.14961 -2.00753, -6.55900 0.90000 -2.48800"
8,0.0000,Tx-I-Rx,1,-77.0014,"-3.50000 0.50000 5.00000, -5.45289 3.00000 0.64654, -6.85900 0.90000 -2.48800"
8,-8.9332,Tx-I-I-Rx,2,-77.0014,"-3.50000 0.50000 5.00000, -5.07403 3.00000 1.49111, -6.53316 0.68249 -1.76164, -6.85900 0.90000 -2.48800"
8,-2.9115,Tx-I-I-I-Rx,3,-77.0014,"-3.50000 0.50000 5.00000, -0.10356 1.92654 1.54021, -2.62718 3.00000 -1.09428, -5.41061 1.81608 -4.00000, -6.85900 0.90000 -2.48800"
9,0.0000,Tx-I-Rx,1,-74.0051,"-3.50000 0.50000 5.00000, -0.00000 0.72985 2.54125, -7.15900 0.90000 -2.48800"
9,-0.8144,Tx-I-I-I-Rx,3,-74.0051,"-3.50000 0.50000 5.00000, -0.10557 0.66320 1.86988, -6.31663 0.96527 -4.00000, -7.51764 1.02366 -2.86502, -7.15900 0.90000 -2.48800"
10,0.0000,Tx-I-Rx,1,-73.8930,"-3.50000 0.50000 5.00000, -0.00000 0.72356 2.60856, -7.45900 0.90000 -2.48800"
11,-7.2636,Tx-I-I-Rx,2,-75.7719,"-3.50000 0.50000 5.00000, -0.00000 0.70867 2.76783, -8.00000 1.18563 -2.33430, -7.75900 0.90000 -2.48800"
11,0.0000,Tx-I-Rx,1,-75.7719,"-3.50000 0.50000 5.00000, -0.00000 0.71760 2.67228, -7.75900 0.90000 -2.48800"
12,-4.5529,Tx-I-Rx,1,-75.9098,"-3.50000 0.50000 5.00000, -8.00000 0.74599 6.03305, -8.05900 0.90000 -2.48800"
12,0.0000,Tx-I-Rx,1,-75.9098,"-3.50000 0.50000 5.00000, -8.00000 0.82953 3.03305, -8.05900 0.90000 -2.48800"
13,0.0000,Tx-I-Rx,1,-81.5561,"-3.50000 0.50000 5.00000, -5.27848 3.00000 0.47212, -6.55900 0.90000 -2.78800"
13,-2.3160,Tx-I-I-I-Rx,3,-81.5561,"-3.50000 0.50000 5.00000, -0.10353 1.97016 1.53574, -2.45276 3.00000 -0.91986, -5.39948 1.70829 -4.00000, -6.55900 0.90000 -2.78800"
13,-6.0431,Tx-I-I-I-I-I-Rx,5,-81.5561,"-3.50000 0.50000 5.00000, -2.81555 0.45730 4.15486, -0.00000 0.63280 0.67827, -3.78869 0.86901 -4.00000, -5.33847 0.96563 -2.08633, -6.21685 1.02038 -3.17099, -6.55900 0.90000 -2.78800"
13,-4.6835,Tx-I-I-I-I-Rx,4,-81.5561,"-3.50000 0.50000 5.00000, -0.00000 0.68849 0.67827, -3.78869 0.89253 -4.00000, -5.33846 0.97599 -2.08633, -6.21732 1.02331 -3.17157, -6.55900 0.90000 -2.78800"
14,0.0000,Tx-I-I-Rx,2,-75.8264,"-3.50000 0.50000 5.00000, -0.10416 0.73227 1.63911, -5.66402 1.11726 -4.00000, -6.85900 0.90000 -2.78800"
15,0.0000,Tx-I-I-Rx,2,-75.7106,"-3.50000 0.50000 5.00000, -0.10476 0.72562 1.73658, -5.92855 1.11726 -4.00000, -7.15900 0.90000 -2.78800"
16,0.0000,Tx-I-I-Rx,2,-75.1834,"-3.50000 0.50000 5.00000, -0.10532 0.71933 1.82904, -6.19317 1.11726 -4.00000, -7.45900 0.90000 -2.78800"
17,-1.9120,Tx-I-Rx,1,-80.6528,"-3.50000 0.50000 5.00000, -5.97615 3.00000 0.47212, -7.75900 0.90000 -2.78800"
17,-9.4623,Tx-I-I-I-Rx,3,-80.6528,"-3.50000 0.50000 5.00000, -4.53374 3.00000 3.10971, -5.77423 0.00000 0.84135, -7.01470 3.00000 -1.42698, -7.75900 0.90000 -2.78800"
17,0.0000,Tx-I-I-I-I-Rx,4,-80.6528,"-3.50000 0.50000 5.00000, -2.86803 0.45730 4.59093, -0.00000 0.65092 2.73448, -8.00000 1.19108 -2.44388, -7.60919 1.21752 -2.69623, -7.75900 0.90000 -2.78800"
17,-9.1284,Tx-I-I-Rx,2,-80.6528,"-3.50000 0.50000 5.00000, -6.25635 3.00000 0.47212, -8.00000 1.41859 -2.39210, -7.75900 0.90000 -2.78800"
18,-7.2274,Tx-I-Rx,1,-78.0928,"-3.50000 0.50000 5.00000, -8.00000 3.00000 -0.76953, -8.05900 0.90000 -2.78800"
18,0.0000,Tx-I-Rx,1,-78.0928,"-3.50000 0.50000 5.00000, -8.00000 0.82032 3.03305, -8.05900 0.90000 -2.78800"
19,0.0000,Tx-I-I-Rx,2,-76.4016,"-3.50000 0.50000 5.00000, -0.10415 0.73937 1.63808, -5.66025 1.13586 -4.00000, -6.55900 0.90000 -3.08800"
20,-0.9305,Tx-I-Rx,1,-80.0129,"-3.50000 0.50000 5.00000, -5.45289 3.00000 0.29771, -6.85900 0.90000 -3.08800"
20,-9.3481,Tx-I-I-I-Rx,3,-80.0129,"-3.50000 0.50000 5.00000, -4.31529 3.00000 3.03689, -5.29364 0.00000 0.68116, -6.27199 3.00000 -1.67455, -6.85900 0.90000 -3.08800"
20,-1.4250,Tx-I-I-I-Rx,3,-80.0129,"-3.50000 0.50000 5.00000, -0.00000 1.86984 2.57879, -2.88753 3.00000 0.58125, -7.54910 1.17556 -2.64348, -6.85900 0.90000 -3.08800"
20,-1.4257,Tx-I-I-I-Rx,3,-80.0129,"-3.50000 0.50000 5.00000, -0.00000 1.86983 2.57898, -2.88758 3.00000 0.58156, -7.54911 1.17559 -2.64289, -6.85900 0.90000 -3.08800"
20,-8.0165,Tx-I-I-I-Rx,3,-80.0129,"-3.50000 0.50000 5.00000, -0.00000 1.69056 2.76062, -3.84935 3.00000 0.29770, -8.00000 1.58813 -2.35796, -6.85900 0.90000 -3.08800"
20,-1.4259,Tx-I-I-I-Rx,3,-80.0129,"-3.50000 0.50000 5.00000, -0.00000 1.86986 2.57890, -2.88742 3.00000 0.58152, -7.54909 1.17549 -2.64314, -6.85900 0.90000 -3.08800"
20,0.0000,Tx-I-I-I-Rx,3,-80.0129,"-3.50000 0.50000 5.00000, -0.10477 1.92706 1.73808, -2.62718 3.00000 -0.74543, -5.93270 1.59400 -4.00000, -6.85900 0.90000 -3.08800"
